onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.34481783381489	5	12.3448178338149	1	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.577	0.2015	17.7785	1	reading aloud	1	word	congruent	babouche	b a b ou che	1	0.8415	2.64	8	5	1.6	2
20.3121	0.2017	20.5138	1	reading aloud	2	pseudoword	incongruent	oipeau	o ip ea u	1	1.15	n/a	6	4	1.5	2
24.9796	0.2018	25.1814	1	reading aloud	3	pseudoword	incongruent	baichoîte	ba ic ho ît e	1	1.1268	n/a	9	6	1.5	2
27.412	0.2015	27.6135	1	reading aloud	4	pseudoword	congruent	chousou	ch ou s ou	1	0.911	n/a	7	4	1.75	2
30.0912	0.2015	30.2928	1	reading aloud	5	word	congruent	chapiteau	ch a p i t eau	1	0.6886	3.45	9	6	1.5	3
32.4509	0.2023	32.6533	1	reading aloud	6	pseudoword	congruent	détouille	d é t ou ille	1	0.8017	n/a	9	5	1.8	2
34.8311	0.2016	35.0327	1	reading aloud	7	word	congruent	poignant	p oi gn ant	1	0.7701	6.22	8	5	1.6	2
37.29	0.2016	37.4916	1	reading aloud	8	pseudoword	incongruent	canreau	ca n re au	0	n/a	n/a	7	4	1.75	2
39.9697	0.2015	40.1712	1	reading aloud	9	pseudoword	incongruent	indantant	i nda n ta nt	0	n/a	n/a	9	5	1.8	3
42.3257	0.2016	42.5272	1	reading aloud	10	word	incongruent	conseiller	co n s ei lle r	1	0.8715	19.32	10	6	1.667	3
47.015	0.2025	47.2175	1	reading aloud	11	pseudoword	incongruent	psougeuse	p so u ge u se	0	n/a	n/a	9	6	1.5	2
49.7517	0.2016	49.9534	1	reading aloud	12	pseudoword	congruent	ransaise	r an s ai se	1	0.9223	n/a	8	5	1.6	2
52.1297	0.2006	52.3303	1	reading aloud	13	word	incongruent	houleuse	ho ule us e	1	0.82	2.16	8	4	2	2
54.7877	0.2019	54.9895	1	reading aloud	14	pseudoword	congruent	frangne	f r an gne	1	0.7953	n/a	7	4	1.75	1
57.168	0.2013	57.3694	1	reading aloud	15	pseudoword	incongruent	voussette	vo u sse tte	1	0.8156	n/a	9	5	1.8	2
59.5285	0.2013	59.7298	1	reading aloud	16	pseudoword	congruent	cauchette	c au ch ette	1	1.0273	n/a	9	5	1.8	2
61.909	0.202	62.111	1	reading aloud	17	word	congruent	faiblesse	f ai b l esse	1	0.8123	31.62	9	6	1.5	2
64.2678	0.2017	64.4695	1	reading aloud	18	word	incongruent	chauffant	c ha uffa nt	1	0.7778	0.41	9	4	2.25	2
66.6482	0.2016	66.8498	1	reading aloud	19	pseudoword	incongruent	chon	c ho n	1	0.6887	n/a	4	2	2	1
76.22	0.2015	76.4215	1	reading aloud	20	word	congruent	bambou	b am b ou	1	0.7769	6.15	6	4	1.5	2
81.2135	0.2015	81.415	1	reading aloud	21	pseudoword	incongruent	enchose	e nc ho se	1	1.0544	n/a	7	4	1.75	2
83.6488	0.2015	83.8503	1	reading aloud	22	word	incongruent	planche	p la nc he	1	0.8717	41.55	7	4	1.75	1
86.011	0.2026	86.2136	1	reading aloud	23	word	incongruent	maîtresse	ma ît re s se	1	0.7304	53.92	9	6	1.5	2
88.3912	0.2016	88.5927	1	reading aloud	24	word	incongruent	tailleuse	t ai lle us e	1	0.8761	0.07	9	5	1.8	2
90.7698	0.2015	90.9713	1	reading aloud	25	pseudoword	congruent	vencouge	v en c ou ge	1	0.984	n/a	8	5	1.6	2
93.1273	0.2022	93.3295	1	reading aloud	26	pseudoword	congruent	gainple	g ain p le	1	0.8485	n/a	7	4	1.75	1
95.5103	0.2022	95.7126	1	reading aloud	27	word	congruent	rougissant	r ou g i ss ant	1	0.8491	2.16	10	6	1.667	3
100.171	0.2016	100.3726	1	reading aloud	28	pseudoword	incongruent	moûtant	mo ût a nt	1	0.8129	n/a	7	4	1.75	2
102.6312	0.2013	102.8325	1	reading aloud	29	word	congruent	mouvement	m ou v e m ent	1	0.6336	182.97	9	6	1.5	3
105.3873	0.2013	105.5885	1	reading aloud	30	word	incongruent	caillou	c ai llo u	1	0.677	38.58	7	4	1.75	2
107.7467	0.2014	107.9481	1	reading aloud	31	word	congruent	embrouille	em b r ou ille	1	0.7196	4.39	10	5	2	2
110.4258	0.2013	110.6272	1	reading aloud	32	word	incongruent	haillon	h ai llo n	1	0.5924	3.78	7	3	2.333	2
115.0915	0.2025	115.294	1	reading aloud	33	word	congruent	coussin	c ou ss in	1	0.7346	22.7	7	4	1.75	2
117.4464	0.2015	117.6479	1	reading aloud	34	pseudoword	incongruent	condein	co n de in	1	0.8588	n/a	7	4	1.75	2
119.8091	0.2019	120.011	1	reading aloud	35	pseudoword	incongruent	bachechon	b ach ec ho n	0	n/a	n/a	9	6	1.5	3
122.4881	0.2016	122.6896	1	reading aloud	36	pseudoword	incongruent	haillai	h ai lla i	1	1.0008	n/a	7	3	2.333	2
124.8466	0.2022	125.0488	1	reading aloud	37	pseudoword	congruent	hossant	ho ss ant	1	0.8889	n/a	7	4	1.75	2
127.5274	0.2016	127.729	1	reading aloud	38	word	congruent	instant	in s t ant	1	0.673	340.2	7	4	1.75	2
132.1917	0.2015	132.3932	1	reading aloud	39	pseudoword	congruent	mounnon	m ou nn on	1	0.8956	n/a	7	4	1.75	2
134.6269	0.2015	134.8284	1	reading aloud	40	pseudoword	incongruent	dallin	d a lli n	1	0.9117	n/a	6	4	1.5	2
137.0074	0.2019	137.2093	1	reading aloud	41	word	incongruent	saison	sa i so n	1	0.6683	49.59	6	4	1.5	2
139.3894	0.2022	139.5916	1	reading aloud	42	pseudoword	congruent	groussant	g r ou ss ant	1	0.9045	n/a	9	5	1.8	2
142.0497	0.2015	142.2512	1	reading aloud	43	word	incongruent	moussante	mo us sa nt e	1	0.7274	0.61	9	5	1.8	2
144.7056	0.2021	144.9077	1	reading aloud	44	pseudoword	congruent	ouplant	ou p l ant	1	0.9814	n/a	7	4	1.75	2
147.3864	0.2015	147.5879	1	reading aloud	45	word	incongruent	train	t rai n	1	0.6926	288.65	5	3	1.667	1
149.7496	0.2015	149.9511	1	reading aloud	46	word	incongruent	citrouille	c it ro ui l le	1	0.7164	2.91	10	6	1.667	2
152.1256	0.2015	152.3271	1	reading aloud	47	pseudoword	congruent	gachain	g a ch ain	1	0.8937	n/a	7	4	1.75	2
154.5075	0.2013	154.7088	1	reading aloud	48	word	congruent	inventeur	in v en t eu r	1	0.7535	2.03	9	6	1.5	3
159.4685	0.2017	159.6702	1	reading aloud	49	word	congruent	auteur	au t eu r	1	0.736	41.89	6	4	1.5	2
166.812	0.2018	167.0138	1	reading aloud	50	pseudoword	incongruent	hompeule	ho m pe ule	1	1.251	n/a	8	4	2	2
169.5262	0.2016	169.7278	1	reading aloud	51	word	incongruent	ampoule	a mpo u le	1	0.7019	19.12	7	4	1.75	2
174.4891	0.2015	174.6906	1	reading aloud	52	pseudoword	incongruent	prouche	p ro uc he	1	0.8284	n/a	7	4	1.75	1
177.2266	0.2016	177.4281	1	reading aloud	53	word	congruent	allégeance	a ll é ge an ce	1	0.607	1.42	10	6	1.667	3
182.2099	0.202	182.4119	1	reading aloud	54	pseudoword	congruent	incequant	in c e qu ant	1	1.2966	n/a	9	5	1.8	3
186.8518	0.2031	187.055	1	reading aloud	55	word	incongruent	chouquette	c ho uq ue tte	1	0.7264	0.07	10	5	2	2
189.1862	0.2015	189.3877	1	reading aloud	56	pseudoword	incongruent	chougnon	cho u gno n	1	0.712	n/a	8	4	2	2
191.5657	0.2021	191.7678	1	reading aloud	57	word	incongruent	endeuillée	e nde ui llé e	1	0.7515	1.35	10	5	2	3
193.9247	0.2016	194.1263	1	reading aloud	58	pseudoword	incongruent	taillance	t ai lla nc e	1	0.8884	n/a	9	5	1.8	2
196.3056	0.2018	196.5073	1	reading aloud	59	pseudoword	incongruent	anrouille	a nro ui lle	1	1.0167	n/a	9	4	2.25	2
201.2714	0.2017	201.4731	1	reading aloud	60	word	incongruent	contraire	co n t ra i re	1	0.7302	126.01	9	6	1.5	2
204.0037	0.2015	204.2053	1	reading aloud	61	pseudoword	incongruent	beinf	be i nf	1	0.7846	n/a	5	3	1.667	1
206.3843	0.2013	206.5856	1	reading aloud	62	pseudoword	congruent	bombin	b om b in 	1	0.9615	n/a	6	4	1.5	2
209.0449	0.2016	209.2465	1	reading aloud	63	word	incongruent	offensant	o ffe ns a nt	1	0.769	1.01	9	5	1.8	3
211.4258	0.2015	211.6272	1	reading aloud	64	pseudoword	congruent	maisance	m ai s an ce	1	0.7843	n/a	8	5	1.6	2
216.3873	0.2013	216.5886	1	reading aloud	65	word	congruent	pendant	p en d ant	1	1.601	12.5	7	4	1.75	2
219.1239	0.2015	219.3254	1	reading aloud	66	pseudoword	congruent	lointeau	l oin t eau	1	0.7588	n/a	8	5	1.6	2
221.804	0.2015	222.0055	1	reading aloud	67	pseudoword	congruent	hindet	hin d et	1	0.6448	n/a	6	3	2	2
227.0695	0.2016	227.271	1	reading aloud	68	word	incongruent	causant	ca u sa nt	1	0.9164	1.96	7	4	1.75	2
229.4042	0.2017	229.6058	1	reading aloud	69	pseudoword	congruent	auceur	au c eur	1	0.8147	n/a	6	4	1.5	2
231.7842	0.2016	231.9857	1	reading aloud	70	word	congruent	hindou	hin d ou	1	0.9154	2.03	6	3	2	2
234.4402	0.2021	234.6424	1	reading aloud	71	pseudoword	congruent	cain	c ain	0	n/a	n/a	4	2	2	1
237.1036	0.2016	237.3052	1	reading aloud	72	pseudoword	incongruent	breuil	b re ui l	1	0.652	n/a	6	4	1.5	2
239.7831	0.2016	239.9847	1	reading aloud	73	pseudoword	congruent	treussant	t r eu ss ant	1	0.7261	n/a	9	5	1.8	2
242.2426	0.2015	242.4441	1	reading aloud	74	word	incongruent	raisin	ra i si n	1	0.786	9.53	6	4	1.5	2
244.9224	0.2016	245.124	1	reading aloud	75	word	incongruent	chaud	c ha ud	1	0.6732	113.31	5	2	2.5	1
247.582	0.202	247.784	1	reading aloud	76	pseudoword	incongruent	trant	t ra nt	1	0.6908	n/a	5	3	1.667	1
250.2647	0.2015	250.4662	1	reading aloud	77	word	congruent	couveuse	c ou v eu se	1	0.7661	0.95	8	5	1.6	2
252.9242	0.2015	253.1258	1	reading aloud	78	word	incongruent	gourmand	go ur m a nd	1	0.8195	9.86	8	5	1.6	2
255.5846	0.2016	255.7862	1	reading aloud	79	word	congruent	soucoupe	s ou c ou pe	1	0.7095	8.85	8	5	1.6	2
257.9623	0.2014	258.1637	1	reading aloud	80	word	incongruent	andouille	a ndo ui lle	1	0.8171	6.28	9	4	2.25	2
262.6453	0.2014	262.8467	1	reading aloud	81	word	incongruent	neuve	ne u ve	0	n/a	113.18	5	3	1.667	1
265.0821	0.2014	265.2835	1	reading aloud	82	word	congruent	sanguin	s an gu in	1	0.54	3.78	7	4	1.75	2
267.4411	0.2013	267.6424	1	reading aloud	83	pseudoword	incongruent	offouzant	o ffo uz a nt	1	0.867	n/a	9	5	1.8	3
269.8213	0.2018	270.0231	1	reading aloud	84	pseudoword	incongruent	essant	e ssan t	1	0.7019	n/a	6	3	2	2
272.2007	0.2016	272.4023	1	reading aloud	85	pseudoword	congruent	aite	ai te	1	0.6772	n/a	4	2	2	1
279.57	0.2015	279.7715	1	reading aloud	86	pseudoword	incongruent	enteuillon	e nte ui llo n	1	0.8932	n/a	10	5	2	3
282.2828	0.2017	282.4844	1	reading aloud	87	word	congruent	rengaine	r en g ai ne	1	0.7722	4.59	8	5	1.6	2
284.6431	0.2018	284.8449	1	reading aloud	88	pseudoword	congruent	entouce	en t ou ce	1	0.7495	n/a	7	4	1.75	2
287.0247	0.2019	287.2267	1	reading aloud	89	pseudoword	congruent	sourorant	s ou r o r ant	1	0.6735	n/a	9	6	1.5	3
289.381	0.2015	289.5826	1	reading aloud	90	pseudoword	congruent	emblon	em b l on	1	0.7462	n/a	6	4	1.5	2
292.0618	0.2015	292.2633	1	reading aloud	91	word	congruent	chanson	ch an s on	1	0.6554	46.55	7	4	1.75	2
294.7237	0.2022	294.9258	1	reading aloud	92	word	congruent	enchantée	en ch an t ée	1	0.6202	7.97	9	5	1.8	3
297.1055	0.2016	297.3071	1	reading aloud	93	word	incongruent	baleineau	b al e in ea u	1	0.6251	0	9	6	1.5	3
299.7611	0.2015	299.9626	1	reading aloud	94	word	congruent	mouche	m ou che	1	0.5686	46.89	6	3	2	1
302.1426	0.2019	302.3445	1	reading aloud	95	pseudoword	incongruent	angnage	a ng na ge	1	0.7334	n/a	7	4	1.75	2
304.5014	0.2016	304.703	1	reading aloud	96	word	incongruent	vaisselle	va i sse lle	1	0.7478	25.95	9	5	1.8	2
306.8824	0.2017	307.0841	1	reading aloud	97	pseudoword	incongruent	coupeiller	co u p ei lle r	1	0.632	n/a	10	6	1.667	3
309.261	0.2017	309.4627	1	reading aloud	98	word	congruent	enfance	en f an ce	1	0.8913	103.99	7	4	1.75	2
311.6221	0.2015	311.8236	1	reading aloud	99	pseudoword	congruent	rangessant	r an g e ss ant	0	n/a	n/a	10	6	1.667	3
313.9982	0.2013	314.1996	1	reading aloud	100	word	incongruent	neige	ne ige	1	0.7851	80.88	5	3	1.667	1
319.0631	0.202	319.2651	1	reading aloud	101	word	congruent	emprunt	em p r unt	1	0.7107	4.73	7	4	1.75	2
321.4004	0.2016	321.6021	1	reading aloud	102	word	incongruent	chapeau	c ha pea u	1	0.6865	88.04	7	4	1.75	2
324.0844	0.2016	324.2859	1	reading aloud	103	pseudoword	congruent	allachauce	a ll a ch au ce	0	n/a	n/a	10	6	1.667	3
326.4415	0.202	326.6435	1	reading aloud	104	pseudoword	congruent	blondeau	b l on d eau	1	0.7473	n/a	8	5	1.6	2
329.1191	0.2019	329.321	1	reading aloud	105	pseudoword	incongruent	noumon	no u mo n	1	0.564	n/a	6	4	1.5	2
331.4809	0.2016	331.6825	1	reading aloud	106	pseudoword	congruent	éphon	é ph on	1	0.7144	n/a	5	3	1.667	2
333.8591	0.2015	334.0606	1	reading aloud	107	word	congruent	hauteur	hau t eur	1	0.7501	77.7	7	4	1.75	2
336.2226	0.2015	336.4241	1	reading aloud	108	pseudoword	incongruent	bitoumeau	b it o um ea u	1	0.7101	n/a	9	6	1.5	3
338.6004	0.202	338.8024	1	reading aloud	109	word	incongruent	château	c hâ tea u	1	0.7567	74.12	7	4	1.75	2
340.981	0.2016	341.1826	1	reading aloud	110	word	congruent	nouveau	n ou v eau	1	0.6522	292.43	7	4	1.75	2
343.4391	0.2015	343.6406	1	reading aloud	111	word	incongruent	mourant	mo ur a nt	1	0.7014	5.74	7	4	1.75	2
