onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.232098178455999	5	5.232098178456	3	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.0527	0.2013	13.2539	3	reading aloud	1	word	congruent	faiblesse	f ai b l esse	1	0.8125	31.62	9	6	1.5	2
15.8519	0.2015	16.0534	3	reading aloud	2	pseudoword	incongruent	tanchant	ta nc ha nt	1	0.8969	n/a	8	4	2	2
18.229	0.2014	18.4304	3	reading aloud	3	word	incongruent	poignant	po ig na nt	1	0.7542	6.22	8	5	1.6	2
20.5893	0.2014	20.7907	3	reading aloud	4	pseudoword	incongruent	guessier	g u es sie r	1	0.7281	n/a	8	5	1.6	2
23.2706	0.2015	23.4721	3	reading aloud	5	pseudoword	congruent	mounnon	m ou nn on	1	0.6204	n/a	7	4	1.75	2
25.6327	0.2018	25.8345	3	reading aloud	6	pseudoword	incongruent	coudraince	co u d rai nc e	0	n/a	n/a	10	6	1.667	2
28.3102	0.2015	28.5117	3	reading aloud	7	word	incongruent	terreau	t er rea u	1	0.9954	3.78	7	4	1.75	2
30.6689	0.2015	30.8704	3	reading aloud	8	word	congruent	sanguin	s an gu in	1	0.6289	3.78	7	4	1.75	2
33.0519	0.2016	33.2535	3	reading aloud	9	word	congruent	impatient	im p a t i ent	1	0.6128	16.76	9	6	1.5	3
38.1151	0.2018	38.3169	3	reading aloud	10	word	incongruent	couteau	co ut ea u	1	0.9136	52.64	7	4	1.75	2
42.8564	0.2017	43.0581	3	reading aloud	11	pseudoword	congruent	consouse	c on s ou se	1	1.494	n/a	8	5	1.6	2
45.5898	0.2016	45.7914	3	reading aloud	12	word	congruent	château	ch â t eau	1	0.6766	74.12	7	4	1.75	2
47.9709	0.2015	48.1724	3	reading aloud	13	pseudoword	incongruent	trambeau	tr a mb ea u	1	0.8209	n/a	8	5	1.6	2
55.2578	0.2021	55.4599	3	reading aloud	14	word	congruent	caisson	c ai ss on	1	0.6616	3.04	7	4	1.75	2
