onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.242807915323283	5	5.24280791532328	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5446	0.2013	10.7459	5	reading aloud	1	word	incongruent	embauche	e mba uc he	1	0.8296	2.97	8	4	2	2
13.2929	0.2015	13.4945	5	reading aloud	2	pseudoword	incongruent	naidant	na id an t	1	0.7212	n/a	7	4	1.75	2
15.95	0.2013	16.1513	5	reading aloud	3	pseudoword	congruent	taillance	t a ill an ce	1	0.7031	n/a	9	5	1.8	2
23.2419	0.2016	23.4436	5	reading aloud	4	pseudoword	congruent	raisissant	r ai s i ss ant	1	1.0573	n/a	10	6	1.667	3
25.9316	0.2016	26.1332	5	reading aloud	5	pseudoword	incongruent	entrouille	e nt ro ui lle	1	0.8286	n/a	10	5	2	2
28.3114	0.2015	28.5129	5	reading aloud	6	word	congruent	desséchant	d e ss é ch ant	1	0.7451	0.2	10	6	1.667	3
30.6699	0.202	30.8719	5	reading aloud	7	word	congruent	conjoint	c on j oint	1	0.551	0.95	8	5	1.6	2
33.3523	0.2017	33.554	5	reading aloud	8	pseudoword	congruent	banquace	b an qu a ce	0	n/a	n/a	8	5	1.6	2
35.7126	0.2015	35.9141	5	reading aloud	9	pseudoword	incongruent	sonffreite	so n ff re it e	0	n/a	n/a	10	6	1.667	2
38.3936	0.2015	38.5951	5	reading aloud	10	word	incongruent	rencontre	re n co n t re	1	0.8582	81.76	9	6	1.5	2
41.0514	0.2016	41.253	5	reading aloud	11	pseudoword	congruent	beillement	b e ill e m ent	1	0.8686	n/a	10	6	1.667	3
43.7293	0.2015	43.9308	5	reading aloud	12	pseudoword	incongruent	douvant	do u va nt	1	0.7484	n/a	7	4	1.75	2
46.4907	0.2016	46.6923	5	reading aloud	13	pseudoword	incongruent	peuleau	pe u lea u	0	n/a	n/a	7	4	1.75	2
48.9302	0.2015	49.1317	5	reading aloud	14	pseudoword	incongruent	feurchille	fe ur c hi lle	0	n/a	n/a	10	6	1.667	2
51.6281	0.2015	51.8296	5	reading aloud	15	word	congruent	banquet	b an qu et	1	0.7983	5.88	7	4	1.75	2
53.9897	0.2014	54.1912	5	reading aloud	16	pseudoword	incongruent	taigeanse	ta ig ea ns e	0	n/a	n/a	9	5	1.8	2
56.369	0.2017	56.5707	5	reading aloud	17	pseudoword	congruent	cambant	c am b ant	0	n/a	n/a	7	4	1.75	2
58.7522	0.2016	58.9538	5	reading aloud	18	pseudoword	incongruent	incerdant	i nc e rd a nt	1	0.816	n/a	9	6	1.5	3
61.5084	0.2013	61.7097	5	reading aloud	19	pseudoword	congruent	voussette	v ou ss ette	1	0.7956	n/a	9	5	1.8	2
64.1668	0.2015	64.3683	5	reading aloud	20	pseudoword	incongruent	donche	do nc he	1	0.7627	n/a	6	3	2	1
66.5476	0.2013	66.7489	5	reading aloud	21	pseudoword	incongruent	asseinse	a sse i nse	0	n/a	n/a	8	4	2	2
68.9255	0.2017	69.1273	5	reading aloud	22	pseudoword	incongruent	oeur	o eur	0	n/a	n/a	4	2	2	1
71.2872	0.2013	71.4885	5	reading aloud	23	word	incongruent	bouquet	bo uq ue t	1	0.6211	37.09	7	4	1.75	2
76.5755	0.2015	76.777	5	reading aloud	24	word	incongruent	lendemain	le n de m ai n	1	0.7415	149.26	9	6	1.5	3
79.2876	0.2015	79.489	5	reading aloud	25	word	incongruent	bûche	b ûc he	1	0.561	13.18	5	3	1.667	1
83.9738	0.2015	84.1753	5	reading aloud	26	word	congruent	nourrisson	n ou rr i ss on	1	0.5601	4.53	10	6	1.667	3
86.7098	0.202	86.9118	5	reading aloud	27	word	incongruent	contrainte	co n t rai nt e	1	0.8233	5.81	10	6	1.667	2
89.0886	0.2015	89.2901	5	reading aloud	28	word	incongruent	dansant	da n sa nt	1	0.6625	6.89	7	4	1.75	2
91.4478	0.2015	91.6493	5	reading aloud	29	word	incongruent	hautain	ha ut ai n	1	0.6493	10.88	7	3	2.333	2
93.8284	0.2015	94.0299	5	reading aloud	30	word	incongruent	instance	i ns ta n ce	1	0.7389	4.59	8	5	1.6	2
96.4889	0.2015	96.6904	5	reading aloud	31	pseudoword	incongruent	veillouse	v ei l lo use	1	0.6925	n/a	9	5	1.8	2
101.4706	0.2016	101.6721	5	reading aloud	32	word	congruent	nymphe	n ym phe	1	0.7177	5.81	6	3	2	1
