onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
n/a	n/a	n/a	1	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.9995	0.1847	15.1842	2	word	regular	high	marin	1	0.5934	22.03	5	4	2	4.6226
17.4273	0.1846	17.6119	3	word	regular	low	oxyde	1	0.6333	4.61	5	5	2	2.1321
19.806	0.185	19.991	4	word	regular	high	forêt	1	0.6906	72.39	5	4	2	4.8679
22.1667	0.1847	22.3515	5	word	regular	high	hors	1	0.6832	88.74	4	2	1	1.8113
24.5474	0.1848	24.7323	6	word	regular	low	moisi	1	0.5953	2.94	5	5	2	4.0189
26.9275	0.1849	27.1124	7	word	irregular	low	lichen	1	0.7461	1.42	6	5	2	4.3019
29.2862	0.1849	29.4711	8	word	irregular	low	laser	1	0.5971	0.77	5	5	2	4.3585
31.9669	0.2015	32.1684	9	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.3242	0.2015	34.5257	10	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.7066	0.1848	36.8914	11	word	irregular	high	ville	1	0.6318	227.16	5	3	1	4.3396
n/a	n/a	n/a	12	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	13	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.2064	0.1848	44.3912	14	word	irregular	low	parasol	1	0.6393	2.32	7	7	3	4.8679
46.886	0.1858	47.0718	15	word	irregular	low	placenta	1	0.6246	1.42	8	7	3	3.717
49.2456	0.1854	49.4311	16	word	irregular	low	faisan	1	0.6358	1	6	4	2	4.5472
51.6256	0.1849	51.8105	17	word	irregular	high	sens	1	0.5873	335.77	4	2	1	2.0755
54.2864	0.1855	54.4718	18	word	regular	low	parvis	1	0.6929	3.58	6	5	2	3.9434
56.6637	0.2017	56.8654	19	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.3258	0.1849	59.5107	20	word	regular	low	piloter	1	0.6503	1.19	7	6	3	3.5283
n/a	n/a	n/a	21	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.3653	0.1846	64.5499	22	word	regular	high	faim	1	0.5886	46.71	4	2	1	2.5283
66.7447	0.1847	66.9293	23	word	regular	high	mer	1	0.5658	216.9	3	3	1	4.7925
69.105	0.1846	69.2896	24	word	regular	high	meilleur	1	0.5293	52.32	8	5	2	2.1698
71.7837	0.1847	71.9684	25	word	regular	high	fouet	1	0.6353	10.35	5	3	1	4.8491
n/a	n/a	n/a	26	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
76.8227	0.2015	77.0242	27	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	28	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
81.5658	0.1855	81.7513	29	word	irregular	high	équateur	1	0.5016	5.84	8	7	3	3.8679
83.9426	0.2015	84.1441	30	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
86.3045	0.1848	86.4894	31	word	irregular	high	aiguille	1	0.552	16.16	8	5	2	4.9057
88.685	0.1848	88.8699	32	word	regular	high	adresse	1	0.5815	44	7	5	2	3.1509
91.0443	0.1854	91.2297	33	word	regular	high	aveu	1	0.6122	10.52	4	3	2	1.6226
93.7239	0.1849	93.9088	34	word	irregular	high	compte	1	0.5865	249.23	6	3	1	2.3208
n/a	n/a	n/a	35	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
