onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5799	0.1848	12.7647	1	word	irregular	high	compte	1	0.7035	249.23	6	3	1	2.3208
15.3477	0.1848	15.5326	2	word	regular	low	faucon	1	0.5651	1.58	6	4	2	4.8113
18.0283	0.185	18.2133	3	word	irregular	high	examen	1	0.6335	58.74	6	6	3	3.434
20.6871	0.1849	20.8721	4	word	regular	high	bleu	1	0.7086	99.03	4	3	1	4.6226
23.0671	0.1849	23.252	5	word	regular	low	oxyde	1	0.6009	4.61	5	5	2	2.1321
25.4274	0.1851	25.6125	6	word	irregular	high	mille	1	0.5779	124.9	5	3	1	2.5849
27.808	0.2014	28.0094	7	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.1862	0.1849	30.3711	8	word	regular	low	saule	1	0.5484	1.65	5	3	1	4.434
32.8475	0.1848	33.0323	9	word	irregular	high	hier	1	0.6582	64.68	4	3	1	2.1321
35.5068	0.1848	35.6916	10	word	regular	high	mer	1	0.5943	216.9	3	3	1	4.7925
37.8838	0.2015	38.0853	11	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.2667	0.1848	40.4515	12	word	regular	low	caboteur	1	0.7088	0.52	8	7	3	1.8302
n/a	n/a	n/a	13	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.3062	0.1848	45.491	14	word	regular	low	octroi	1	0.6154	4.9	6	6	2	1.283
47.6669	0.1848	47.8517	15	word	regular	low	parvis	1	0.6621	3.58	6	5	2	3.9434
50.047	0.185	50.232	16	word	regular	low	aval	1	0.6121	4.03	4	4	2	2.3585
52.4053	0.1847	52.59	17	word	regular	high	bureau	1	0.7196	97.77	6	4	2	4.7358
54.7852	0.1848	54.97	18	word	irregular	high	ville	1	0.683	227.16	5	3	1	4.3396
n/a	n/a	n/a	19	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.5254	0.1846	59.71	20	word	regular	high	coeur	1	0.6939	274.94	5	3	1	4.7547
61.903	0.2013	62.1042	21	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.2644	0.185	64.4494	22	word	irregular	high	estomac	1	1.0368	22.97	7	6	3	4.3019
66.9431	0.2016	67.1447	23	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.3043	0.1849	69.4892	24	word	irregular	low	scout	1	0.5981	1.84	5	4	1	4.5849
71.6859	0.1848	71.8707	25	word	regular	low	carnage	1	0.7009	2.16	7	6	2	3.4717
