onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.245585637198928	5	5.24558563719893	3	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.8535	0.2014	13.0549	3	reading aloud	1	pseudoword	congruent	semphle	s em ph le	1	0.8039	n/a	7	4	1.75	1
15.336	0.2013	15.5373	3	reading aloud	2	word	incongruent	mouche	mo uc he	1	0.6289	46.89	6	3	2	1
18.0302	0.2013	18.2315	3	reading aloud	3	pseudoword	incongruent	preinte	pr ei n te	1	0.7138	n/a	7	4	1.75	1
22.6954	0.2015	22.8969	3	reading aloud	4	word	congruent	ouvrant	ou v r ant	1	0.6719	3.18	7	4	1.75	2
25.4291	0.2015	25.6306	3	reading aloud	5	word	congruent	embout	em b out	1	0.7489	0.81	6	3	2	2
30.4152	0.2015	30.6167	3	reading aloud	6	word	incongruent	vengeance	ve ng ea n ce	1	0.6343	17.03	9	5	1.8	2
32.8491	0.2015	33.0506	3	reading aloud	7	word	congruent	nymphe	n ym phe	1	0.7852	5.81	6	3	2	1
35.2301	0.202	35.4321	3	reading aloud	8	pseudoword	incongruent	mengement	me ng e me nt	1	0.7338	n/a	9	6	1.5	3
37.8914	0.2022	38.0936	3	reading aloud	9	word	congruent	guirlande	gu i r l an de	1	0.5595	9.05	9	6	1.5	2
40.2705	0.2016	40.4721	3	reading aloud	10	pseudoword	incongruent	traichant	t ra ic ha nt	0	n/a	n/a	9	5	1.8	2
45.2364	0.2016	45.438	3	reading aloud	11	pseudoword	incongruent	ascenmien	as ce n m ie n	1	0.9119	n/a	9	6	1.5	3
47.9687	0.2016	48.1702	3	reading aloud	12	word	incongruent	bouée	bo ué e	1	0.7327	5.47	5	3	1.667	1
50.6293	0.2023	50.8316	3	reading aloud	13	word	congruent	ampoule	am p ou le	1	0.7837	19.12	7	4	1.75	2
53.0089	0.2015	53.2104	3	reading aloud	14	word	incongruent	hauteur	ha ute ur	1	0.7628	77.7	7	4	1.75	2
55.3913	0.2015	55.5928	3	reading aloud	15	pseudoword	congruent	bronguille	b r on gu ille	1	0.6284	n/a	10	6	1.667	2
58.047	0.2015	58.2485	3	reading aloud	16	pseudoword	incongruent	chain	c ha in	1	0.6264	n/a	5	2	2.5	1
60.4288	0.2013	60.6301	3	reading aloud	17	pseudoword	congruent	frouche	f r ou che	1	0.7707	n/a	7	4	1.75	1
62.7904	0.2013	62.9918	3	reading aloud	18	word	congruent	entourage	en t ou r a ge	1	1.1116	10.74	9	6	1.5	3
65.1687	0.2014	65.3701	3	reading aloud	19	word	incongruent	allégeance	a ll ég ea n ce	1	0.879	1.42	10	6	1.667	3
67.5263	0.2013	67.7276	3	reading aloud	20	pseudoword	congruent	auceur	au c eur	1	0.859	n/a	6	4	1.5	2
69.9086	0.2015	70.11	3	reading aloud	21	word	incongruent	tranchant	t ra nc ha nt	1	0.9264	5.27	9	5	1.8	2
72.5691	0.2016	72.7706	3	reading aloud	22	pseudoword	incongruent	anrouille	a nro ui lle	1	0.8318	n/a	9	4	2.25	2
75.2486	0.2016	75.4502	3	reading aloud	23	pseudoword	congruent	élanffant	é l an ff ant	1	0.8538	n/a	9	5	1.8	3
77.6084	0.2015	77.8099	3	reading aloud	24	pseudoword	incongruent	banqueur	ba nq ue u r	1	0.8475	n/a	8	5	1.6	2
80.2909	0.2015	80.4925	3	reading aloud	25	pseudoword	incongruent	fouillomon	fo ui llo m o n	1	0.7733	n/a	10	6	1.667	3
82.6481	0.2015	82.8497	3	reading aloud	26	pseudoword	incongruent	emblon	e mb lo n	1	0.9574	n/a	6	4	1.5	2
85.3288	0.2021	85.531	3	reading aloud	27	pseudoword	incongruent	encansin	e nc a nsi n	0	n/a	n/a	8	5	1.6	3
87.6886	0.2015	87.89	3	reading aloud	28	pseudoword	congruent	deuillou	d eu ill ou	1	0.8953	n/a	8	4	2	2
90.0701	0.2025	90.2726	3	reading aloud	29	pseudoword	incongruent	alaissée	a la is s ée	1	1.1637	n/a	8	5	1.6	3
92.7308	0.2015	92.9323	3	reading aloud	30	pseudoword	congruent	ingutient	in g u t i ent	0	n/a	n/a	9	6	1.5	3
