onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.25302842475412	5	5.25302842475412	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5589	0.2014	10.7603	5	reading aloud	1	word	congruent	néant	n é ant	1	0.75	23.99	5	3	1.667	2
15.5963	0.2014	15.7977	5	reading aloud	2	pseudoword	incongruent	treussant	tre us sa n t	1	0.8427	n/a	9	5	1.8	2
17.9306	0.2014	18.132	5	reading aloud	3	word	incongruent	neige	ne ige	1	0.8569	80.88	5	3	1.667	1
20.3103	0.202	20.5123	5	reading aloud	4	word	incongruent	nouveau	no uv ea u	1	0.7833	292.43	7	4	1.75	2
22.7719	0.2017	22.9735	5	reading aloud	5	pseudoword	congruent	soussant	s ou ss ant	1	0.7105	n/a	8	4	2	2
25.1518	0.2016	25.3535	5	reading aloud	6	word	incongruent	pendant	pe n da nt	1	0.7953	12.5	7	4	1.75	2
27.5111	0.2015	27.7126	5	reading aloud	7	pseudoword	incongruent	alléchauce	a ll éc ha u ce	1	1.1607	n/a	10	6	1.667	3
34.7972	0.202	34.9992	5	reading aloud	8	pseudoword	congruent	mounnon	m ou nn on	1	0.7054	n/a	7	4	1.75	2
37.4911	0.2016	37.6927	5	reading aloud	9	word	congruent	impatient	im p a t i ent	1	1.02	16.76	9	6	1.5	3
40.1719	0.202	40.3739	5	reading aloud	10	pseudoword	incongruent	liondain	l io nd ai n	1	1.1767	n/a	8	5	1.6	2
42.5318	0.202	42.7338	5	reading aloud	11	pseudoword	congruent	canvonant	c an v o nant	1	1.2232	n/a	9	6	1.5	3
44.911	0.2015	45.1125	5	reading aloud	12	word	incongruent	manquant	ma nq ua nt	1	0.6128	2.23	8	4	2	2
47.2699	0.2016	47.4715	5	reading aloud	13	word	congruent	chouquette	ch ou qu ette	1	0.5852	0.07	10	5	2	2
49.9503	0.2015	50.1518	5	reading aloud	14	pseudoword	congruent	neuquant	n eu qu ant	1	0.6912	n/a	8	4	2	2
52.6112	0.2017	52.8129	5	reading aloud	15	pseudoword	incongruent	imbrante	i mb ra n te	1	0.7384	n/a	8	5	1.6	2
55.2916	0.2015	55.4931	5	reading aloud	16	pseudoword	congruent	ovougeade	o v ou ge a de	0	n/a	n/a	9	6	1.5	3
57.6504	0.2016	57.852	5	reading aloud	17	word	incongruent	rangement	ra ng e me nt	1	1.0195	2.16	9	6	1.5	3
60.0313	0.2017	60.233	5	reading aloud	18	word	congruent	teigneuse	t ei gn eu se	1	0.7984	2.84	9	5	1.8	2
62.3904	0.2014	62.5917	5	reading aloud	19	pseudoword	incongruent	ronteau	ro n tea u	1	0.7958	n/a	7	4	1.75	2
67.0752	0.2013	67.2765	5	reading aloud	20	word	congruent	souterrain	s ou t e rr ain	1	0.5961	13.04	10	6	1.667	3
69.5069	0.2013	69.7082	5	reading aloud	21	word	congruent	fourche	f ou r che	1	0.9605	8.18	7	4	1.75	1
71.8868	0.2014	72.0882	5	reading aloud	22	pseudoword	congruent	empout	em p out	1	1.06	n/a	6	3	2	2
74.248	0.2015	74.4495	5	reading aloud	23	pseudoword	congruent	chanffaim	ch an ff aim	1	0.9304	n/a	9	5	1.8	2
76.6276	0.2025	76.8302	5	reading aloud	24	word	congruent	lointain	l oin t ain	1	1.2663	91.96	8	5	1.6	2
79.0096	0.2017	79.2112	5	reading aloud	25	word	congruent	fondant	f on d ant	1	0.9	2.7	7	4	1.75	2
81.3672	0.2014	81.5687	5	reading aloud	26	word	incongruent	champ	c ha mp	1	0.7489	106.49	5	2	2.5	1
86.0518	0.2015	86.2534	5	reading aloud	27	pseudoword	incongruent	hompeule	ho m pe ule	1	1.2188	n/a	8	4	2	2
88.7887	0.2018	88.9905	5	reading aloud	28	pseudoword	incongruent	encousse	e nco us se	1	0.7272	n/a	8	4	2	2
91.4477	0.2015	91.6492	5	reading aloud	29	word	incongruent	frein	f rei n	1	0.7607	13.18	5	3	1.667	1
94.1294	0.2015	94.3309	5	reading aloud	30	pseudoword	incongruent	harcheuse	h ar c he use	1	0.7343	n/a	9	5	1.8	2
96.4899	0.2015	96.6914	5	reading aloud	31	pseudoword	incongruent	soncieuse	so nc ie u s e	1	0.8184	n/a	9	6	1.5	2
98.8678	0.2015	99.0693	5	reading aloud	32	pseudoword	incongruent	chougnon	cho u gno n	1	0.9743	n/a	8	4	2	2
101.5266	0.202	101.7285	5	reading aloud	33	word	congruent	essaim	e ss aim	1	0.7672	4.53	6	3	2	2
