onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5525	0.2013	12.7538	1	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.9882	0.1846	15.1728	2	word	irregular	high	outil	1	0.6584	11.94	5	3	2	4.0755
17.3264	0.1846	17.511	3	word	regular	high	chic	1	0.5827	9.13	4	3	1	3.283
19.7089	0.1848	19.8937	4	word	regular	low	cloître	1	0.6595	4	7	6	1	3.9623
22.0673	0.1849	22.2522	5	word	irregular	low	machisme	1	0.553	0.13	8	7	2	2.3208
24.4467	0.1848	24.6315	6	word	irregular	high	hiver	1	0.5896	70.39	5	4	2	4.3208
26.8256	0.2014	27.027	7	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.4879	0.1868	29.6747	8	word	regular	low	cursif	1	0.6739	0.23	6	6	2	1.6981
32.1446	0.2017	32.3463	9	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.528	0.1849	34.7129	10	word	regular	high	coeur	1	0.6841	274.94	5	3	1	4.7547
37.1876	0.1861	37.3736	11	word	irregular	low	paon	1	0.6552	2.84	4	2	1	4.9057
39.5658	0.1848	39.7507	12	word	irregular	low	minus	1	0.5948	1.61	5	5	2	2.3208
41.9439	0.2015	42.1454	13	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.6077	0.1848	44.7925	14	word	regular	low	golf	1	0.7296	4.65	4	4	1	4.6415
46.9863	0.186	47.1724	15	word	irregular	high	aiguille	1	0.7182	16.16	8	5	2	4.9057
49.346	0.1849	49.5309	16	word	irregular	high	aspect	1	0.648	77.52	6	4	2	1.3962
51.7276	0.1848	51.9124	17	word	irregular	low	coyote	1	0.6604	0.35	6	5	2	4.3774
54.0856	0.2027	54.2883	18	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.4662	0.1848	56.651	19	word	regular	low	moisi	1	0.6508	2.94	5	5	2	4.0189
58.8461	0.1847	59.0308	20	word	regular	high	approche	1	0.7114	42.68	8	5	2	1.7736
61.2049	0.1851	61.39	21	word	regular	high	faim	1	0.5936	46.71	4	2	1	2.5283
63.5847	0.1852	63.7699	22	word	irregular	low	appendice	1	0.6308	2.45	9	6	3	3.2075
65.9451	0.1847	66.1299	23	word	irregular	low	accroc	1	0.7585	1.52	6	4	2	2.717
68.3228	0.2014	68.5242	24	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.7073	0.1848	70.8921	25	word	regular	high	nul	1	0.6483	55.1	3	3	1	2.2642
73.366	0.185	73.5511	26	word	regular	low	pastel	1	0.6321	1.74	6	6	2	3.7925
n/a	n/a	n/a	27	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.405	0.1848	78.5899	28	word	irregular	low	pastis	1	0.7223	2.55	6	6	2	4.4151
80.7845	0.1852	80.9697	29	word	regular	high	fouet	1	0.7037	10.35	5	3	1	4.8491
83.4454	0.1848	83.6302	30	word	regular	low	faucon	1	0.6755	1.58	6	4	2	4.8113
85.8251	0.1849	86.01	31	word	regular	low	saule	1	0.6416	1.65	5	3	1	4.434
