onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.246396057871607	5	5.24639605787161	3	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.4403	0.2014	10.6417	3	reading aloud	1	pseudoword	incongruent	rymphe	ry mp he	0	n/a	n/a	6	3	2	1
13.19	0.2015	13.3915	3	reading aloud	2	pseudoword	congruent	aucience	au c i en ce	0	n/a	n/a	8	5	1.6	2
15.8579	0.2013	16.0592	3	reading aloud	3	word	incongruent	vainqueur	v ai n q ue ur	1	0.6393	11.35	9	5	1.8	2
18.2336	0.2017	18.4354	3	reading aloud	4	word	incongruent	gourmande	go ur m a n de	1	0.7791	9.86	9	6	1.5	2
20.8905	0.2016	21.092	3	reading aloud	5	word	congruent	chignon	ch i gn on	1	0.5647	12.77	7	4	1.75	2
23.271	0.2015	23.4725	3	reading aloud	6	word	congruent	engouement	en g oue m ent	1	0.717	1.55	10	5	2	3
25.6308	0.2015	25.8323	3	reading aloud	7	pseudoword	incongruent	fanrrouse	fa nr ro u se	1	0.7958	n/a	9	5	1.8	2
28.311	0.2019	28.5129	3	reading aloud	8	pseudoword	incongruent	bauillet	ba ui lle t	1	0.9747	n/a	8	4	2	2
33.2772	0.2019	33.4791	3	reading aloud	9	word	congruent	bouleau	b ou l eau	1	0.6414	4.05	7	4	1.75	2
36.0088	0.2026	36.2114	3	reading aloud	10	pseudoword	congruent	proune	p r ou ne	1	0.7912	n/a	6	4	1.5	1
38.6917	0.2026	38.8943	3	reading aloud	11	pseudoword	congruent	souperrant	s ou p e rr ant	0	n/a	n/a	10	6	1.667	3
41.3478	0.2015	41.5493	3	reading aloud	12	pseudoword	incongruent	cain	ca in	1	0.7289	n/a	4	2	2	1
43.7311	0.202	43.9331	3	reading aloud	13	pseudoword	incongruent	beillement	b ei ll e me nt	1	0.931	n/a	10	6	1.667	3
46.0857	0.202	46.2877	3	reading aloud	14	pseudoword	congruent	hossant	ho ss ant	1	0.7282	n/a	7	4	1.75	2
51.3752	0.2022	51.5774	3	reading aloud	15	word	incongruent	banquier	ba nq u ie r	1	0.7573	12.7	8	5	1.6	2
53.812	0.2015	54.0135	3	reading aloud	16	pseudoword	congruent	chindron	ch in d r on	1	0.672	n/a	8	5	1.6	2
56.468	0.2014	56.6694	3	reading aloud	17	word	congruent	dépeint	d é p eint	1	0.7972	0.41	7	4	1.75	2
58.8476	0.2013	59.049	3	reading aloud	18	pseudoword	congruent	encrunt	en c r unt	0	n/a	n/a	7	4	1.75	2
61.2084	0.2013	61.4097	3	reading aloud	19	word	congruent	manteau	m an t eau	1	0.7508	68.11	7	4	1.75	2
63.5869	0.202	63.789	3	reading aloud	20	pseudoword	congruent	désaint	d é s aint	0	n/a	n/a	7	4	1.75	2
66.0472	0.2016	66.2488	3	reading aloud	21	word	incongruent	champ	c ha mp	1	0.6851	106.49	5	2	2.5	1
68.4318	0.2015	68.6333	3	reading aloud	22	pseudoword	incongruent	intratait	i nt ra ta i t	0	n/a	n/a	9	6	1.5	3
70.7899	0.2019	70.9918	3	reading aloud	23	word	congruent	rouleau	r ou l eau	1	0.816	19.19	7	4	1.75	2
73.469	0.2015	73.6705	3	reading aloud	24	pseudoword	congruent	ensaiement	en s aie m ent	0	n/a	n/a	10	5	2	3
76.2301	0.2015	76.4316	3	reading aloud	25	pseudoword	incongruent	sonffreite	so n ff re it e	1	1.2357	n/a	10	6	1.667	2
