onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5581	0.1846	12.7427	1	word	irregular	low	bacille	1	0.6709	1.74	7	5	2	3.0189
14.9676	0.2013	15.169	2	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	3	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.7085	0.1848	19.8933	4	word	regular	high	créature	1	0.6064	12.19	8	7	3	3.2453
22.0668	0.1855	22.2523	5	word	regular	low	caviar	1	0.6446	2.35	6	6	2	4.434
24.7468	0.1848	24.9316	6	word	irregular	low	lichen	0	n/a	1.42	6	5	2	4.3019
27.4046	0.1848	27.5894	7	word	regular	low	duo	1	0.6904	2.06	3	3	1	3.4528
30.0875	0.1854	30.2729	8	word	irregular	high	granit	1	0.6085	5.97	6	6	2	4.0377
n/a	n/a	n/a	9	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.1267	0.1848	35.3115	10	word	regular	low	saule	1	0.6027	1.65	5	3	1	4.434
37.4861	0.2015	37.6876	11	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.1651	0.2015	40.3666	12	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
42.5261	0.1848	42.7109	13	word	irregular	low	oasis	1	0.6531	4.32	5	5	3	4.6792
45.2074	0.1848	45.3923	14	word	irregular	high	femme	1	0.6265	400.52	5	3	1	4.8302
47.9595	0.1855	48.145	15	word	regular	high	﻿abri	1	0.7557	35.52	4	4	2	4
50.3469	0.1848	50.5316	16	word	regular	high	bureau	1	0.7027	97.77	6	4	2	4.7358
52.705	0.2015	52.9066	17	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.0869	0.1851	55.2719	18	word	irregular	low	barman	1	0.7332	5.13	6	6	2	4.6792
n/a	n/a	n/a	19	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.8237	0.1847	60.0084	20	word	regular	high	sultan	1	0.6118	13.42	6	5	2	4.0943
62.4812	0.2013	62.6825	21	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	22	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.5235	0.1846	67.7081	23	word	regular	high	marin	1	0.6381	22.03	5	4	2	4.6226
69.9052	0.1848	70.09	24	word	regular	low	spire	1	0.6327	1.39	5	4	1	1.9811
72.5639	0.2023	72.7662	25	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.9454	0.1849	75.1303	26	word	irregular	low	transit	1	0.7217	4.03	7	5	2	2.3208
77.3249	0.1849	77.5098	27	word	irregular	high	équateur	1	0.6534	5.84	8	7	3	3.8679
79.6858	0.1848	79.8706	28	word	regular	low	pneumonie	1	0.8115	1.13	9	7	3	2.8868
82.066	0.1849	82.2509	29	word	irregular	high	aiguille	1	0.6545	16.16	8	5	2	4.9057
84.7238	0.1848	84.9087	30	word	regular	high	force	1	0.5404	205.97	5	4	1	2.717
n/a	n/a	n/a	31	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.8649	0.1853	90.0502	32	word	regular	high	carnet	1	0.6637	14.19	6	5	2	4.8302
n/a	n/a	n/a	33	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
94.9055	0.1848	95.0903	34	word	regular	low	échiquier	1	0.6487	2.61	9	6	3	4.9057
97.5837	0.2015	97.7853	35	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	36	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.3228	0.2016	102.5244	37	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.9861	0.1849	105.171	38	word	irregular	high	août	1	0.8321	37.77	4	2	1	2.7358
107.364	0.1847	107.5487	39	word	irregular	low	pouls	1	0.8946	5.06	5	2	1	3.1887
109.7207	0.2013	109.922	40	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
112.1019	0.1846	112.2864	41	word	irregular	high	virus	1	0.8273	28.61	5	5	2	3.7547
n/a	n/a	n/a	42	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.1433	0.185	117.3284	43	word	irregular	low	papaye	1	0.892	0.06	6	5	2	4.3208
n/a	n/a	n/a	44	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.8834	0.1848	122.0682	45	word	regular	low	oie	1	0.7213	3.48	3	2	1	4.9623
124.2641	0.185	124.4491	46	word	regular	low	bouquiner	0	n/a	0.52	8	6	3	3.8113
126.6232	0.1849	126.8081	47	word	irregular	low	cacahuète	1	0.824	0.39	9	7	3	4.8679
129.0038	0.1849	129.1887	48	word	irregular	high	net	1	0.7974	29.26	3	3	1	2.6226
131.3631	0.2015	131.5647	49	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
134.0436	0.1848	134.2285	50	word	irregular	low	orchidée	1	0.8355	0.87	8	6	3	4.7925
136.7022	0.1849	136.8871	51	word	irregular	high	aspect	1	0.6946	77.52	6	4	2	1.3962
139.3834	0.1848	139.5682	52	word	irregular	low	aquarelle	1	0.7696	3.35	9	7	3	4.3019
141.7431	0.1848	141.9279	53	word	regular	high	piège	1	0.8061	13.39	5	4	1	3.7547
144.4199	0.2015	144.6213	54	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
