onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.233076639880892	5	5.23307663988089	3	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.4279	0.2014	10.6292	3	lexical decision	1	word	incongruent	vengeance	ve ng ea n ce	1	0.8689	17.03	9	5	1.8	2
13.0905	0.2014	13.2919	3	lexical decision	2	word	congruent	instant	in s t ant	1	0.9451	340.2	7	4	1.75	2
18.0576	0.2018	18.2594	3	lexical decision	3	pseudoword	incongruent	santeuse	sa n te u se	1	1.1649	n/a	8	5	1.6	2
20.6944	0.2015	20.896	3	lexical decision	4	word	incongruent	angoissant	a ngo is sa nt	1	0.7891	4.19	10	6	1.667	3
23.371	0.2017	23.5726	3	lexical decision	5	word	incongruent	chanson	c ha nso n	1	1.2384	46.55	7	4	1.75	2
25.7329	0.2015	25.9344	3	lexical decision	6	pseudoword	congruent	cauglant	c au g l ant	1	0.9345	n/a	8	5	1.6	2
28.1116	0.2016	28.3133	3	lexical decision	7	word	incongruent	gain	gai n	1	0.7477	5.88	4	2	2	1
30.4706	0.202	30.6726	3	lexical decision	8	word	congruent	cinglant	c in g l ant	1	0.9927	2.77	8	5	1.6	2
32.8498	0.2015	33.0513	3	lexical decision	9	word	incongruent	vaisselle	va i sse lle	1	0.8103	25.95	9	5	1.8	2
35.1925	0.2016	35.3941	3	lexical decision	10	word	incongruent	houleuse	ho ule us e	1	0.9505	2.16	8	4	2	2
37.5904	0.202	37.7924	3	lexical decision	11	word	congruent	fougueuse	f ou gu eu se	1	0.8798	3.45	9	5	1.8	2
40.2889	0.2015	40.4904	3	lexical decision	12	word	congruent	chiffon	ch i ff on	1	0.6901	18.99	7	4	1.75	2
42.9318	0.2016	43.1334	3	lexical decision	13	pseudoword	incongruent	liondain	l io nd ai n	1	1.1061	n/a	8	5	1.6	2
45.5887	0.2009	45.7896	3	lexical decision	14	pseudoword	incongruent	trant	t ra nt	1	0.9992	n/a	5	3	1.667	1
47.9687	0.2015	48.1702	3	lexical decision	15	word	incongruent	avant	a va nt	1	0.7153	21.35	5	3	1.667	2
50.3518	0.2016	50.5533	3	lexical decision	16	word	incongruent	banquier	ba nq u ie r	1	0.802	12.7	8	5	1.6	2
52.7125	0.2015	52.914	3	lexical decision	17	pseudoword	congruent	bitoumeau	b i t ou m eau	1	1.3122	n/a	9	6	1.5	3
55.1134	0.2015	55.315	3	lexical decision	18	word	congruent	bambou	b am b ou	1	0.8042	6.15	6	4	1.5	2
57.4493	0.2014	57.6506	3	lexical decision	19	word	congruent	enchanteur	en ch an t eur	1	0.8494	2.64	10	6	1.667	3
62.1306	0.2015	62.3322	3	lexical decision	20	pseudoword	congruent	beinf	b ein f	1	0.9158	n/a	5	3	1.667	1
64.4709	0.2013	64.6722	3	lexical decision	21	word	incongruent	souffrance	so u ff ra nc e	1	1.0485	47.16	10	6	1.667	2
69.4296	0.2015	69.6312	3	lexical decision	22	word	congruent	compagne	c om p a gne	1	1.0897	80	8	5	1.6	2
72.0605	0.2017	72.2622	3	lexical decision	23	pseudoword	incongruent	maillouge	ma i llo ug e	1	1.1337	n/a	9	5	1.8	2
77.052	0.202	77.2541	3	lexical decision	24	pseudoword	congruent	tanchant	t an ch ant	0	0.7051	n/a	8	4	2	2
79.3879	0.2015	79.5894	3	lexical decision	25	pseudoword	incongruent	hompeule	ho m pe ule	1	1.2393	n/a	8	4	2	2
84.3232	0.2026	84.5257	3	lexical decision	26	word	incongruent	bandeau	ba nd ea u	1	0.9058	6.49	7	4	1.75	2
86.7057	0.2016	86.9072	3	lexical decision	27	pseudoword	incongruent	adait	a da it	0	1.1362	n/a	5	3	1.667	2
89.049	0.2015	89.2505	3	lexical decision	28	pseudoword	incongruent	meillot	m ei llo t	1	1.0629	n/a	7	4	1.75	2
93.7544	0.2015	93.956	3	lexical decision	29	pseudoword	congruent	vessouillé	v e ss ou ill é	1	1.0023	n/a	10	6	1.667	3
96.0881	0.2017	96.2899	3	lexical decision	30	word	congruent	chauffant	ch au ff ant	1	0.6497	0.41	9	4	2.25	2
98.7677	0.2016	98.9694	3	lexical decision	31	pseudoword	incongruent	fourmand	fo ur m a nd	1	1.1449	n/a	8	5	1.6	2
101.4286	0.2015	101.6301	3	lexical decision	32	word	incongruent	allégeance	a ll ég ea n ce	1	0.805	1.42	10	6	1.667	3
103.8409	0.2017	104.0426	3	lexical decision	33	pseudoword	congruent	pansonce	p an s on ce	0	1.9806	n/a	8	5	1.6	2
106.1642	0.2014	106.3656	3	lexical decision	34	pseudoword	incongruent	cain	cai n	0	0.5163	n/a	4	2	2	1
108.5455	0.2014	108.7469	3	lexical decision	35	word	congruent	linge	l in ge	1	0.6541	47.3	5	3	1.667	1
110.9498	0.2015	111.1513	3	lexical decision	36	pseudoword	congruent	fairnouse	f ai r n ou se	1	1.1287	n/a	9	6	1.5	2
113.2851	0.2013	113.4864	3	lexical decision	37	pseudoword	incongruent	canreau	ca n re au	1	0.9123	n/a	7	4	1.75	2
115.9291	0.2013	116.1304	3	lexical decision	38	pseudoword	congruent	enquanseur	en qu an s eur	1	1.1651	n/a	10	6	1.667	3
118.3272	0.2016	118.5288	3	lexical decision	39	pseudoword	congruent	lanceteau	l an c e t eau	0	0.9121	n/a	9	6	1.5	3
120.6823	0.2019	120.8841	3	lexical decision	40	word	incongruent	empreinte	e mp rei nt e	1	0.7678	15.61	9	5	1.8	2
123.3661	0.2016	123.5677	3	lexical decision	41	word	congruent	penchant	p en ch ant	1	1.7729	5.27	8	4	2	2
128.064	0.2015	128.2655	3	lexical decision	42	word	incongruent	assassin	as sa ssi n	1	0.7281	20.34	8	5	1.6	3
130.6884	0.2016	130.8899	3	lexical decision	43	pseudoword	incongruent	fouillomon	fo ui llo m o n	1	0.9785	n/a	10	6	1.667	3
133.0464	0.2018	133.2482	3	lexical decision	44	pseudoword	congruent	gainple	g ain p le	1	1.1425	n/a	7	4	1.75	1
135.4337	0.2028	135.6365	3	lexical decision	45	pseudoword	incongruent	vanrreau	va nr rea u	1	0.9051	n/a	8	4	2	2
137.7734	0.2015	137.9749	3	lexical decision	46	pseudoword	incongruent	rymphe	ry mp he	1	0.7595	n/a	6	3	2	1
142.7668	0.2022	142.969	3	lexical decision	47	word	congruent	nain	n ain	1	0.6838	8.99	4	2	2	1
145.1046	0.202	145.3066	3	lexical decision	48	word	incongruent	lointain	loi n tai n	1	0.6981	91.96	8	5	1.6	2
147.4859	0.2015	147.6874	3	lexical decision	49	pseudoword	congruent	bombin	b om b in 	0	1.6456	n/a	6	4	1.5	2
152.4491	0.2022	152.6513	3	lexical decision	50	pseudoword	incongruent	auvaid	a uva id	1	0.7723	n/a	6	3	2	2
154.7844	0.2021	154.9865	3	lexical decision	51	pseudoword	congruent	fantresse	f an t r esse	1	1.125	n/a	9	6	1.5	2
157.1644	0.2014	157.3657	3	lexical decision	52	word	incongruent	confondant	co n fo n da nt	1	1.1839	0.95	10	6	1.667	3
159.8231	0.2013	160.0245	3	lexical decision	53	pseudoword	congruent	pranquain	p r an qu ain	1	0.9942	n/a	9	5	1.8	2
164.8063	0.2017	165.008	3	lexical decision	54	word	congruent	dauphin	d au ph in	1	0.7969	11.82	7	4	1.75	2
169.4487	0.2016	169.6503	3	lexical decision	55	pseudoword	congruent	coupoint	c ou p oint	1	0.9323	n/a	8	5	1.6	2
171.7834	0.2015	171.9849	3	lexical decision	56	pseudoword	congruent	manron	m an r on	1	1.0766	n/a	6	4	1.5	2
174.4255	0.2014	174.6269	3	lexical decision	57	word	congruent	montant	m on t ant	1	1.4384	12.84	7	4	1.75	2
176.8275	0.2018	177.0293	3	lexical decision	58	word	congruent	confident	c on f i d ent	1	0.7684	5.54	9	6	1.5	3
179.204	0.2016	179.4056	3	lexical decision	59	pseudoword	congruent	breuil	b r eu il	0	1.1127	n/a	6	4	1.5	2
181.5455	0.2026	181.7481	3	lexical decision	60	pseudoword	congruent	tronchalle	t r on ch a lle	0	1.3784	n/a	10	6	1.667	2
184.2315	0.2015	184.433	3	lexical decision	61	word	congruent	choquante	ch o qu an te	1	0.9522	1.69	9	5	1.8	2
186.6017	0.2016	186.8033	3	lexical decision	62	pseudoword	incongruent	tougne	to ug ne	1	1.5579	n/a	6	3	2	1
188.9931	0.2016	189.1948	3	lexical decision	63	word	incongruent	endeuillé	e n de ui llé	0	1.9514	1.35	9	5	1.8	3
191.3541	0.2015	191.5556	3	lexical decision	64	pseudoword	incongruent	chougnon	cho u gno n	0	1.4444	n/a	8	4	2	2
193.725	0.2015	193.9264	3	lexical decision	65	word	congruent	baleineau	b a l ei n eau	1	1.1626	0	9	6	1.5	3
196.1232	0.202	196.3253	3	lexical decision	66	word	congruent	ambiance	am b i an ce	1	0.7972	11.55	8	5	1.6	2
198.4654	0.2015	198.667	3	lexical decision	67	word	congruent	soucieuse	s ou c i eu se	1	1.23	16.62	9	6	1.5	2
200.8711	0.2015	201.0726	3	lexical decision	68	pseudoword	incongruent	entouce	e nto uc e	1	0.9012	n/a	7	4	1.75	2
203.2799	0.2015	203.4814	3	lexical decision	69	word	congruent	rougissant	r ou g i ss ant	1	0.8153	2.16	10	6	1.667	3
205.6816	0.202	205.8836	3	lexical decision	70	pseudoword	incongruent	congon	co n go n	1	0.8337	n/a	6	4	1.5	2
208.3144	0.2013	208.5157	3	lexical decision	71	word	incongruent	coupon	co u po n	1	1.8517	2.09	6	4	1.5	2
210.713	0.2019	210.9149	3	lexical decision	72	pseudoword	incongruent	échille	éc hi lle	0	0.7791	n/a	7	4	1.75	2
213.1007	0.2014	213.3021	3	lexical decision	73	word	incongruent	reine	re i ne	1	1.0422	33.78	5	3	1.667	1
215.4616	0.2014	215.663	3	lexical decision	74	word	congruent	méchant	m é ch ant	1	0.6575	34.05	7	4	1.75	2
218.1416	0.2015	218.3431	3	lexical decision	75	word	congruent	chatouille	ch a t ou ille	1	1.1553	0.54	10	5	2	2
220.8006	0.2016	221.0022	3	lexical decision	76	word	incongruent	bouée	bo ué e	1	0.7313	5.47	5	3	1.667	1
223.4826	0.2016	223.6843	3	lexical decision	77	pseudoword	congruent	pentouet	p en t ou et	1	0.8972	n/a	8	5	1.6	2
226.1385	0.2015	226.34	3	lexical decision	78	pseudoword	congruent	janguelle	j an gu elle	1	0.9592	n/a	9	5	1.8	2
228.4997	0.2018	228.7015	3	lexical decision	79	word	incongruent	bouleau	bo u lea u	1	0.964	4.05	7	4	1.75	2
230.8814	0.2015	231.0829	3	lexical decision	80	pseudoword	congruent	cansant	c an s ant	1	1.3642	n/a	7	4	1.75	2
233.2543	0.2016	233.4558	3	lexical decision	81	word	congruent	plaine	p l ai ne	1	0.7003	39.86	6	4	1.5	1
235.6208	0.2017	235.8225	3	lexical decision	82	pseudoword	congruent	bigne	b i gne	1	1.3026	n/a	5	3	1.667	1
237.9402	0.202	238.1423	3	lexical decision	83	pseudoword	congruent	tanleau	t an l eau	1	1.8322	n/a	7	4	1.75	2
242.864	0.2015	243.0655	3	lexical decision	84	pseudoword	incongruent	haurravant	ha u rra va nt	1	1.0793	n/a	10	5	2	3
245.2382	0.2025	245.4406	3	lexical decision	85	word	congruent	mensonge	m en s on ge	1	0.6351	35.41	8	5	1.6	2
247.5791	0.2015	247.7806	3	lexical decision	86	word	incongruent	rousse	ro us se	1	0.4572	40.41	6	3	2	1
249.9592	0.2022	250.1614	3	lexical decision	87	word	congruent	tombant	t om b ant	1	0.6589	9.12	7	4	1.75	2
252.3212	0.2019	252.5231	3	lexical decision	88	pseudoword	incongruent	orrigninse	o r ri gni n se	1	0.7269	n/a	10	6	1.667	3
254.6996	0.2015	254.9012	3	lexical decision	89	word	congruent	pince	p in ce	1	0.6554	14.73	5	3	1.667	1
257.0376	0.2025	257.2401	3	lexical decision	90	pseudoword	incongruent	entouillé	e n to ui llé	1	1.1873	n/a	9	5	1.8	3
259.4396	0.2013	259.6409	3	lexical decision	91	word	incongruent	gourmand	go ur m a nd	1	0.7755	9.86	8	5	1.6	2
261.764	0.2013	261.9653	3	lexical decision	92	pseudoword	congruent	banrraie	b an rr aie	1	1.2029	n/a	8	4	2	2
264.3755	0.2018	264.5773	3	lexical decision	93	pseudoword	incongruent	cain	ca in	1	1.9132	n/a	4	2	2	1
