onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.578	0.1849	12.7628	1	word	regular	low	levain	1	0.8898	1.29	6	4	2	2.8868
14.9672	0.2015	15.1687	2	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.3268	0.1848	17.5117	3	word	regular	high	marin	1	0.7544	22.03	5	4	2	4.6226
n/a	n/a	n/a	4	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	5	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.7462	0.1849	24.9311	6	word	irregular	low	bacille	1	0.9189	1.74	7	5	2	3.0189
27.1063	0.186	27.2924	7	word	irregular	low	aquarelle	1	0.7975	3.35	9	7	3	4.3019
29.4859	0.1849	29.6708	8	word	irregular	high	ville	1	0.763	227.16	5	3	1	4.3396
31.8653	0.1849	32.0502	9	word	irregular	high	super	1	0.7122	13.19	5	5	2	1.9245
34.2239	0.2015	34.4254	10	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.607	0.1854	36.7924	11	word	regular	high	jaloux	1	0.8279	12.42	6	4	2	2.4151
38.9658	0.1849	39.1507	12	word	regular	low	trachée	1	1.3097	1.03	7	5	2	4.0189
41.3468	0.1849	41.5316	13	word	irregular	high	tabac	1	0.8568	25.45	5	4	2	4.3774
43.7269	0.1855	43.9124	14	word	regular	low	magma	1	0.9659	2.9	5	5	2	4.3774
n/a	n/a	n/a	15	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.4659	0.1849	48.6507	16	word	regular	high	cheval	1	0.8219	76.77	6	5	2	4.9623
50.8252	0.1848	51.01	17	word	irregular	low	azimut	1	0.8657	0.48	6	6	3	1.6415
53.2019	0.2012	53.4031	18	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.8632	0.1847	56.0479	19	word	irregular	high	million	1	0.8346	11.58	7	5	2	2.5283
58.5417	0.1846	58.7263	20	word	regular	high	taper	1	0.8504	10	5	4	2	3.8113
61.2051	0.1847	61.3898	21	word	irregular	high	septième	1	0.8527	9.06	8	6	2	2.434
63.8819	0.2015	64.0835	22	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	23	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	24	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.9846	0.1858	71.1704	25	word	irregular	high	poêle	0	n/a	9.68	5	4	1	4.9057
73.3638	0.1849	73.5487	26	word	irregular	low	chorale	1	0.7188	1.97	7	5	2	4.5472
76.0248	0.1849	76.2097	27	word	regular	low	piloter	1	0.7774	1.19	7	6	3	3.5283
n/a	n/a	n/a	28	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
81.363	0.1848	81.5479	29	word	regular	high	malin	1	0.8119	11.29	5	4	2	2.0943
83.7444	0.1848	83.9292	30	word	irregular	low	dolmen	1	0.7482	0.61	6	6	2	4.3585
86.404	0.1855	86.5895	31	word	regular	low	blaguer	1	0.7148	0.39	7	5	2	2.5849
88.7842	0.1849	88.9691	32	word	regular	low	golf	1	0.7715	4.65	4	4	1	4.6415
91.1445	0.1849	91.3294	33	word	irregular	low	bluffer	1	0.6912	0.35	7	5	2	2.0566
93.5238	0.1854	93.7092	34	word	regular	high	hors	1	0.6848	88.74	4	2	1	1.8113
96.1834	0.1848	96.3682	35	word	irregular	low	croc	1	0.7623	1.32	4	3	1	4.2264
98.5626	0.185	98.7475	36	word	regular	low	nef	1	0.7533	4.52	3	3	1	3.7925
101.2217	0.1851	101.4068	37	word	regular	high	nul	1	0.6621	55.1	3	3	1	2.2642
103.8999	0.2013	104.1012	38	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
106.5615	0.1848	106.7462	39	word	regular	high	onze	1	0.829	25.58	4	2	1	3.434
n/a	n/a	n/a	40	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
