onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.34046995840617	5	12.3404699584062	1	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5688	0.2016	17.7703	1	lexical decision	1	pseudoword	incongruent	dapheau	da p hea u	1	1.3048	n/a	7	4	1.75	2
19.9565	0.2018	20.1583	1	lexical decision	2	pseudoword	congruent	étoupante	é t ou p ante	1	1.0441	n/a	9	6	1.5	3
22.3728	0.2019	22.5747	1	lexical decision	3	pseudoword	congruent	roupentre	r ou p en t re	1	1.6656	n/a	9	6	1.5	2
24.7094	0.2015	24.911	1	lexical decision	4	word	incongruent	chapeau	c ha pea u	1	0.793	88.04	7	4	1.75	2
30.0157	0.2015	30.2172	1	lexical decision	5	word	congruent	louange	l ou an ge	1	0.8756	6.35	7	4	1.75	1
32.651	0.2015	32.8525	1	lexical decision	6	word	incongruent	pinceau	pi nc ea u	1	0.9923	17.91	7	4	1.75	2
35.0577	0.2021	35.2598	1	lexical decision	7	word	incongruent	bondissant	bo n d is sa nt	1	0.8965	2.77	10	6	1.667	3
37.3886	0.2015	37.5901	1	lexical decision	8	word	incongruent	auvent	a uve nt	1	1.3735	6.89	6	3	2	2
39.7972	0.2015	39.9987	1	lexical decision	9	word	congruent	chercheuse	ch e r ch eu se	1	0.9849	3.78	10	6	1.667	2
46.8175	0.2019	47.0194	1	lexical decision	10	pseudoword	congruent	indantant	in d an t ant	1	1.7534	n/a	9	5	1.8	3
51.5023	0.2018	51.7041	1	lexical decision	11	pseudoword	congruent	fairche	f ai r che	1	1.5215	n/a	7	4	1.75	1
53.8836	0.2014	54.085	1	lexical decision	12	pseudoword	incongruent	chirant	c hi ran t	1	1.7091	n/a	7	4	1.75	2
58.8822	0.2014	59.0835	1	lexical decision	13	pseudoword	congruent	poute	p ou te	1	1.2754	n/a	5	3	1.667	1
61.2086	0.2013	61.4099	1	lexical decision	14	pseudoword	incongruent	conteilant	co n te i la nt	1	1.965	n/a	10	6	1.667	3
66.2037	0.2028	66.4065	1	lexical decision	15	word	incongruent	joueuse	jo ue us e	1	0.7568	19.86	7	4	1.75	1
68.8304	0.2017	69.0321	1	lexical decision	16	word	congruent	penseuse	p en s eu se	1	0.831	3.92	8	5	1.6	2
71.1905	0.2015	71.392	1	lexical decision	17	pseudoword	incongruent	trambeau	tr a mb ea u	0	2.0898	n/a	8	5	1.6	2
73.898	0.2016	74.0995	1	lexical decision	18	pseudoword	congruent	maubeau	m au b eau	1	1.1433	n/a	7	4	1.75	2
78.8312	0.2016	79.0328	1	lexical decision	19	pseudoword	incongruent	encousse	e nco us se	1	1.251	n/a	8	4	2	2
81.1684	0.2025	81.3709	1	lexical decision	20	word	congruent	conjoint	c on j oint	1	0.7787	0.95	8	5	1.6	2
83.5459	0.2016	83.7476	1	lexical decision	21	word	congruent	aimant	ai m ant	1	0.6511	2.97	6	3	2	2
