onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.2445479799444	5	5.2445479799444	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.4496	0.2013	10.6509	5	reading aloud	1	pseudoword	congruent	souperrant	s ou p e rr ant	1	0.9723	n/a	10	6	1.667	3
12.8911	0.2014	13.0925	5	reading aloud	2	pseudoword	congruent	donche	d on che	1	0.7206	n/a	6	3	2	1
15.3517	0.2014	15.5531	5	reading aloud	3	word	congruent	gain	g ain	1	0.8736	5.88	4	2	2	1
17.7299	0.2014	17.9313	5	reading aloud	4	word	congruent	gloussant	g l ou ss ant	1	0.7107	0.54	9	5	1.8	2
20.1083	0.2021	20.3104	5	reading aloud	5	pseudoword	incongruent	chetant	c he tan t	1	0.706	n/a	7	4	1.75	2
25.4775	0.2015	25.679	5	reading aloud	6	word	incongruent	rampant	ra m pa nt	1	0.8419	2.84	7	4	1.75	2
28.2098	0.2015	28.4112	5	reading aloud	7	pseudoword	incongruent	semphle	se mp hl e	1	0.7578	n/a	7	4	1.75	1
30.8709	0.2021	31.073	5	reading aloud	8	pseudoword	incongruent	fouillomon	fo ui llo m o n	0	n/a	n/a	10	6	1.667	3
33.2489	0.2015	33.4505	5	reading aloud	9	pseudoword	incongruent	souson	so u so n	1	0.7412	n/a	6	4	1.5	2
35.6101	0.2015	35.8116	5	reading aloud	10	pseudoword	incongruent	auvaid	a uva id	1	0.7855	n/a	6	3	2	2
38.2939	0.2015	38.4953	5	reading aloud	11	pseudoword	incongruent	veincheur	v ei n c he ur	1	0.7377	n/a	9	5	1.8	2
42.9593	0.2014	43.1607	5	reading aloud	12	pseudoword	incongruent	vessouillé	v es so ui ll é	1	0.9704	n/a	10	6	1.667	3
45.6901	0.202	45.8921	5	reading aloud	13	word	incongruent	plaine	p la i ne	1	0.7003	39.86	6	4	1.5	1
48.0698	0.2015	48.2713	5	reading aloud	14	word	incongruent	terreau	t er rea u	1	0.8897	3.78	7	4	1.75	2
53.1353	0.2015	53.3369	5	reading aloud	15	word	incongruent	atteinte	a tte i nte	1	0.9171	7.97	8	4	2	2
57.8906	0.2015	58.0921	5	reading aloud	16	word	congruent	franche	f r an che	1	1.0915	23.45	7	4	1.75	1
60.3291	0.2013	60.5305	5	reading aloud	17	word	incongruent	louveteau	lo uv et ea u	1	0.7782	2.36	9	6	1.5	3
64.9907	0.2018	65.1925	5	reading aloud	18	word	congruent	couchette	c ou ch ette	1	1.0186	6.28	9	5	1.8	2
67.7275	0.2013	67.9288	5	reading aloud	19	pseudoword	congruent	mougnette	m ou gn ette	1	0.6887	n/a	9	5	1.8	2
70.1087	0.2013	70.31	5	reading aloud	20	pseudoword	congruent	antoiffant	an t oi ff ant	1	0.905	n/a	10	6	1.667	3
72.7695	0.2029	72.9724	5	reading aloud	21	pseudoword	incongruent	retouffant	r e to uf fa nt	1	0.7835	n/a	10	6	1.667	3
75.1482	0.202	75.3502	5	reading aloud	22	word	incongruent	boeuf	bo e uf	1	0.7148	21.01	5	3	1.667	1
77.6122	0.2016	77.8138	5	reading aloud	23	word	incongruent	encombrant	e nco m b ra nt	1	0.725	6.08	10	6	1.667	3
80.2904	0.2015	80.4919	5	reading aloud	24	word	incongruent	oiseau	o is ea u	1	0.6025	113.04	6	4	1.5	2
82.6483	0.2015	82.8498	5	reading aloud	25	word	incongruent	araignée	a ra ig n ée	1	0.648	17.84	8	5	1.6	3
85.0306	0.2016	85.2322	5	reading aloud	26	pseudoword	congruent	détouenant	d é t oue n ant	0	n/a	n/a	10	6	1.667	3
87.4096	0.2015	87.6111	5	reading aloud	27	pseudoword	congruent	plochant	p l o ch ant	1	0.7163	n/a	8	5	1.6	2
94.3762	0.2018	94.5781	5	reading aloud	28	word	incongruent	emphase	e mp ha se	1	0.903	5.27	7	4	1.75	2
96.7886	0.2015	96.9901	5	reading aloud	29	word	congruent	géant	g é ant	1	0.7287	22.91	5	3	1.667	2
99.1708	0.2015	99.3723	5	reading aloud	30	word	congruent	condiment	c on d i m ent	1	0.8287	0.61	9	6	1.5	3
101.5275	0.202	101.7295	5	reading aloud	31	pseudoword	incongruent	échille	éc hi lle	1	0.8948	n/a	7	4	1.75	2
104.2076	0.2015	104.4091	5	reading aloud	32	pseudoword	incongruent	beugnet	be ug ne t	1	0.6607	n/a	7	4	1.75	2
106.5673	0.2025	106.7698	5	reading aloud	33	pseudoword	incongruent	oufrence	o uf re n ce	1	0.7254	n/a	8	5	1.6	2
108.9479	0.2015	109.1494	5	reading aloud	34	pseudoword	incongruent	maissanle	ma is sa nl e	1	0.7323	n/a	9	5	1.8	2
111.4073	0.2014	111.6086	5	reading aloud	35	pseudoword	congruent	lausseur	l au ss eur	1	0.7665	n/a	8	5	1.6	2
113.7896	0.2014	113.991	5	reading aloud	36	word	incongruent	ignorance	ig no ra n c e	1	0.8352	16.82	9	6	1.5	3
116.5478	0.2015	116.7493	5	reading aloud	37	word	incongruent	vainqueur	v ai n q ue ur	1	0.6664	11.35	9	5	1.8	2
118.926	0.2014	119.1274	5	reading aloud	38	pseudoword	congruent	croiffend	c r oi ff end	1	0.9024	n/a	9	6	1.5	2
121.2865	0.2013	121.4878	5	reading aloud	39	word	congruent	mensonge	m en s on ge	1	0.876	35.41	8	5	1.6	2
123.9679	0.2015	124.1694	5	reading aloud	40	word	congruent	bandeau	b an d eau	1	0.626	6.49	7	4	1.75	2
128.9318	0.2024	129.1343	5	reading aloud	41	word	incongruent	bouquin	bo uq ui n	1	0.8107	27.7	7	4	1.75	2
133.5697	0.2015	133.7712	5	reading aloud	42	pseudoword	congruent	beuge	b eu ge	1	0.7652	n/a	5	3	1.667	1
135.9286	0.2015	136.1301	5	reading aloud	43	pseudoword	incongruent	chandisson	c ha nd is so n	0	n/a	n/a	10	6	1.667	3
138.3876	0.2018	138.5894	5	reading aloud	44	pseudoword	congruent	haurravant	hau rr a v ant	1	0.8867	n/a	10	5	2	3
140.768	0.2015	140.9695	5	reading aloud	45	word	congruent	endeuillé	en d eu ill é	1	0.8222	1.35	9	5	1.8	3
143.1279	0.2015	143.3294	5	reading aloud	46	word	incongruent	composant	co m p os a nt	1	0.8044	1.49	9	6	1.5	3
145.8075	0.2016	146.0091	5	reading aloud	47	word	congruent	dénouement	d é n oue m ent	1	0.693	4.05	10	6	1.667	3
148.1668	0.2016	148.3683	5	reading aloud	48	word	incongruent	troupeau	tr o up ea u	1	0.932	25.54	8	5	1.6	2
150.8454	0.2025	151.0478	5	reading aloud	49	pseudoword	incongruent	nousse	no us se	1	0.6733	n/a	6	3	2	1
153.2089	0.2019	153.4108	5	reading aloud	50	word	incongruent	repoussant	r e po us sa nt	1	0.8028	2.57	10	6	1.667	3
158.1915	0.2017	158.3932	5	reading aloud	51	pseudoword	incongruent	gourneau	go ur n e au	0	n/a	n/a	8	5	1.6	2
160.5257	0.2016	160.7273	5	reading aloud	52	pseudoword	congruent	enquandée	en qu an d ée	1	0.7489	n/a	9	5	1.8	3
168.0917	0.2019	168.2936	5	reading aloud	53	pseudoword	congruent	poigeain	p oi ge ain	1	1.1098	n/a	8	5	1.6	2
170.8041	0.2015	171.0055	5	reading aloud	54	word	congruent	ouvrant	ou v r ant	1	0.7388	3.18	7	4	1.75	2
173.1865	0.2014	173.3879	5	reading aloud	55	word	congruent	émouvante	é m ou v an te	1	0.7504	14.05	9	6	1.5	3
175.9487	0.2015	176.1502	5	reading aloud	56	word	incongruent	verrouillé	v er ro ui ll é	1	0.6953	1.08	10	6	1.667	3
180.9121	0.2015	181.1136	5	reading aloud	57	word	congruent	souplesse	s ou p l esse	1	1.0095	9.86	9	6	1.5	2
183.646	0.2015	183.8475	5	reading aloud	58	pseudoword	incongruent	endombrain	e ndo m b ra in	0	n/a	n/a	10	6	1.667	3
186.0243	0.2023	186.2265	5	reading aloud	59	word	incongruent	chou	c ho u	1	0.677	21.96	4	2	2	1
188.3887	0.2016	188.5903	5	reading aloud	60	pseudoword	congruent	serchouffe	s e r ch ou ffe	1	0.6446	n/a	10	6	1.667	2
191.0645	0.2016	191.266	5	reading aloud	61	word	congruent	lointain	l oin t ain	1	1.1677	91.96	8	5	1.6	2
193.4243	0.2028	193.6271	5	reading aloud	62	pseudoword	congruent	consouse	c on s ou se	0	n/a	n/a	8	5	1.6	2
200.7138	0.2016	200.9154	5	reading aloud	63	pseudoword	congruent	chossemain	ch o ss e m ain	1	0.8688	n/a	10	6	1.667	3
