onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5607	0.2013	12.762	1	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	2	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.0535	0.1846	18.2381	3	word	irregular	low	clerc	1	0.7426	4.52	5	4	1	3.2264
20.3843	0.2013	20.5856	4	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.0647	0.1853	23.2501	5	word	regular	high	bleu	1	0.5689	99.03	4	3	1	4.6226
n/a	n/a	n/a	6	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.8068	0.185	27.9918	7	word	irregular	high	femme	1	0.7433	400.52	5	3	1	4.8302
30.4669	0.1848	30.6517	8	word	irregular	low	tempo	0	n/a	0.77	5	5	2	2.4717
33.1473	0.1856	33.333	9	word	regular	low	levain	1	0.5639	1.29	6	4	2	2.8868
35.5061	0.1851	35.6912	10	word	regular	low	bovin	1	0.5792	1.45	5	4	2	4.3019
37.8864	0.185	38.0714	11	word	irregular	low	laser	1	0.658	0.77	5	5	2	4.3585
40.5463	0.1858	40.7322	12	word	irregular	low	saoul	0	n/a	4.84	5	2	1	3.8302
42.9264	0.185	43.1114	13	word	irregular	low	quartz	1	0.7215	5.35	6	6	1	3.5094
45.3059	0.1848	45.4908	14	word	regular	high	képi	1	0.6447	6.52	4	4	2	4.6792
47.9649	0.2015	48.1664	15	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.3471	0.1849	50.532	16	word	regular	low	parvis	1	0.8042	3.58	6	5	2	3.9434
52.7056	0.1848	52.8904	17	word	regular	low	échiquier	1	0.7005	2.61	9	6	3	4.9057
55.3859	0.1848	55.5707	18	word	irregular	high	août	1	0.7101	37.77	4	2	1	2.7358
58.045	0.1851	58.2301	19	word	regular	low	label	1	0.5846	0.87	5	5	2	2.4528
60.7032	0.2015	60.9047	20	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.3837	0.1847	63.5684	21	word	irregular	high	tabac	1	0.8273	25.45	5	4	2	4.3774
66.044	0.1846	66.2286	22	word	irregular	high	septième	1	0.6033	9.06	8	6	2	2.434
68.7238	0.185	68.9089	23	word	regular	high	onze	1	0.6328	25.58	4	2	1	3.434
71.0823	0.1847	71.267	24	word	regular	high	aveu	1	0.6501	10.52	4	3	2	1.6226
73.4624	0.2013	73.6637	25	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	26	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	27	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
80.5837	0.1848	80.7685	28	word	regular	low	bambou	1	0.7754	2.55	6	4	2	4.8679
n/a	n/a	n/a	29	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.325	0.1852	85.5102	30	word	irregular	high	ville	1	0.728	227.16	5	3	1	4.3396
87.6835	0.1849	87.8684	31	word	irregular	low	dolmen	1	0.7982	0.61	6	6	2	4.3585
90.0647	0.1848	90.2495	32	word	irregular	low	placenta	1	0.7228	1.42	8	7	3	3.717
92.7242	0.1855	92.9097	33	word	regular	low	muret	1	0.6748	1.58	5	4	2	4.5472
95.1035	0.1849	95.2884	34	word	regular	high	piège	1	0.6372	13.39	5	4	1	3.7547
n/a	n/a	n/a	35	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.8439	0.185	100.0289	36	word	regular	low	oxyde	1	0.7949	4.61	5	5	2	2.1321
n/a	n/a	n/a	37	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.8817	0.1849	105.0666	38	word	irregular	low	bis	1	0.6888	4.55	3	3	1	1.8491
