onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.250836287232232	5	5.25083628723223	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.4278	0.2015	10.6293	5	reading aloud	1	word	incongruent	gain	gai n	1	0.6965	5.88	4	2	2	1
15.1989	0.2014	15.4003	5	reading aloud	2	pseudoword	incongruent	neuquant	ne uq ua nt	1	0.7884	n/a	8	4	2	2
17.5309	0.2014	17.7323	5	reading aloud	3	word	incongruent	occurrence	o c cu rre n ce	1	0.7803	7.43	10	6	1.667	3
19.9097	0.2018	20.1115	5	reading aloud	4	pseudoword	incongruent	maubeau	ma u bea u	1	0.8049	n/a	7	4	1.75	2
24.5757	0.2016	24.7773	5	reading aloud	5	word	congruent	enfance	en f an ce	1	0.6374	103.99	7	4	1.75	2
27.0359	0.2017	27.2376	5	reading aloud	6	pseudoword	incongruent	choucetant	c ho uc e ta n t	1	0.7585	n/a	10	6	1.667	3
31.6964	0.2028	31.8993	5	reading aloud	7	word	congruent	maillon	m a ill on	1	0.5785	3.18	7	4	1.75	2
36.7364	0.2015	36.9379	5	reading aloud	8	pseudoword	congruent	soichante	s oi ch an te	0	n/a	n/a	9	6	1.5	2
39.1699	0.2015	39.3714	5	reading aloud	9	pseudoword	congruent	ranfant	r an f ant	1	0.7771	n/a	7	4	1.75	2
41.5489	0.2015	41.7504	5	reading aloud	10	word	incongruent	quai	qua i	1	0.7	73.99	4	2	2	1
44.2093	0.2021	44.4114	5	reading aloud	11	word	incongruent	lambeau	la mb ea u	0	n/a	14.26	7	4	1.75	2
46.5913	0.2015	46.7928	5	reading aloud	12	word	congruent	manquement	m an qu e m ent	1	0.8372	1.55	10	6	1.667	3
49.2499	0.202	49.452	5	reading aloud	13	word	incongruent	oiseau	o is ea u	1	0.662	113.04	6	4	1.5	2
53.9365	0.2016	54.1382	5	reading aloud	14	word	congruent	intension	in t en s i on	1	0.6223	0	9	6	1.5	3
56.3724	0.2015	56.5739	5	reading aloud	15	word	incongruent	repoussant	r e po us sa nt	1	0.5778	2.57	10	6	1.667	3
61.6348	0.2014	61.8362	5	reading aloud	16	word	congruent	gourmande	g ou r m an de	1	0.6701	9.86	9	6	1.5	2
66.6721	0.2013	66.8734	5	reading aloud	17	pseudoword	congruent	fenteau	f en t eau	1	0.7151	n/a	7	4	1.75	2
69.407	0.2014	69.6084	5	reading aloud	18	pseudoword	congruent	paisin	p ai s in	1	0.8431	n/a	6	4	1.5	2
71.79	0.2013	71.9913	5	reading aloud	19	pseudoword	congruent	sengeonie	s en ge o n ie	0	n/a	n/a	9	6	1.5	3
74.4522	0.2018	74.654	5	reading aloud	20	word	incongruent	chouquette	c ho uq ue tte	1	0.6051	0.07	10	5	2	2
76.8298	0.2015	77.0313	5	reading aloud	21	pseudoword	incongruent	auvaid	a uva id	0	n/a	n/a	6	3	2	2
82.0952	0.2015	82.2967	5	reading aloud	22	pseudoword	congruent	mouquetant	m ou qu e t ant	1	0.6362	n/a	10	6	1.667	3
84.4278	0.202	84.6298	5	reading aloud	23	pseudoword	incongruent	haumeur	ha ume ur	1	0.7708	n/a	7	4	1.75	2
86.807	0.2015	87.0085	5	reading aloud	24	pseudoword	incongruent	aivant	a iva nt	1	0.7637	n/a	6	3	2	2
89.4689	0.2015	89.6704	5	reading aloud	25	word	incongruent	fantaisie	fa n ta i si e	1	0.7149	16.89	9	6	1.5	3
94.1527	0.2015	94.3542	5	reading aloud	26	pseudoword	congruent	canvonant	c an v o nant	1	1.0023	n/a	9	6	1.5	3
96.5897	0.2026	96.7923	5	reading aloud	27	pseudoword	incongruent	conteilant	co n te i la nt	0	n/a	n/a	10	6	1.667	3
98.9682	0.2018	99.17	5	reading aloud	28	pseudoword	congruent	anrouille	an r ou ille	1	0.7359	n/a	9	4	2.25	2
101.3295	0.2015	101.531	5	reading aloud	29	word	congruent	engouement	en g oue m ent	0	n/a	1.55	10	5	2	3
104.0092	0.2017	104.2109	5	reading aloud	30	word	incongruent	touchant	to uc ha nt	1	0.8042	9.73	8	4	2	2
106.3677	0.2015	106.5692	5	reading aloud	31	pseudoword	incongruent	châssin	c hâ ssi n	0	n/a	n/a	7	4	1.75	2
111.0515	0.2016	111.2531	5	reading aloud	32	word	incongruent	aimant	a ima nt	1	0.7045	2.97	6	3	2	2
113.4877	0.2027	113.6904	5	reading aloud	33	pseudoword	congruent	taillance	t a ill an ce	0	n/a	n/a	9	5	1.8	2
115.8662	0.2013	116.0675	5	reading aloud	34	word	incongruent	saison	sa i so n	1	0.8951	49.59	6	4	1.5	2
120.5301	0.2016	120.7317	5	reading aloud	35	pseudoword	incongruent	lonteau	lo nt ea u	1	0.8096	n/a	7	4	1.75	2
123.2685	0.2014	123.4699	5	reading aloud	36	pseudoword	congruent	sonffreite	s on ff r ei te	0	n/a	n/a	10	6	1.667	2
125.9462	0.2016	126.1478	5	reading aloud	37	word	congruent	néant	n é ant	1	0.8145	23.99	5	3	1.667	2
128.3068	0.2017	128.5085	5	reading aloud	38	pseudoword	congruent	enreinte	en r ein te	1	0.8034	n/a	8	4	2	2
130.9873	0.2022	131.1895	5	reading aloud	39	word	congruent	nouveau	n ou v eau	1	0.6653	292.43	7	4	1.75	2
133.749	0.202	133.951	5	reading aloud	40	word	congruent	innocence	i nn o c en ce	1	0.803	20	9	6	1.5	3
136.1245	0.2021	136.3265	5	reading aloud	41	pseudoword	incongruent	cain	ca in	1	0.6738	n/a	4	2	2	1
138.4857	0.2022	138.6879	5	reading aloud	42	word	congruent	agneau	a gn eau	1	0.6829	8.78	6	3	2	2
141.1672	0.2016	141.3688	5	reading aloud	43	pseudoword	incongruent	érainpant	é rai n pa nt	1	0.7611	n/a	9	5	1.8	3
148.4344	0.2025	148.637	5	reading aloud	44	pseudoword	incongruent	fanseuil	fa ns e ui l	1	0.6935	n/a	8	5	1.6	2
150.8478	0.2016	151.0494	5	reading aloud	45	pseudoword	congruent	intampieau	in t am p i eau	0	n/a	n/a	10	6	1.667	3
153.2043	0.2018	153.4061	5	reading aloud	46	pseudoword	congruent	aite	ai te	1	0.7084	n/a	4	2	2	1
155.8863	0.202	156.0883	5	reading aloud	47	word	incongruent	maintien	m ai n ti en	0	n/a	10.14	8	5	1.6	2
158.5457	0.2015	158.7472	5	reading aloud	48	pseudoword	incongruent	baiffier	ba if f ie r	1	0.801	n/a	8	5	1.6	2
160.9251	0.2015	161.1266	5	reading aloud	49	word	incongruent	humain	hu mai n	1	0.5885	111.55	6	3	2	2
163.588	0.2014	163.7894	5	reading aloud	50	pseudoword	incongruent	orrigninse	o r ri gni n se	0	n/a	n/a	10	6	1.667	3
165.9626	0.2018	166.1643	5	reading aloud	51	pseudoword	incongruent	quau	qua u	1	0.7346	n/a	4	2	2	1
168.3263	0.2013	168.5277	5	reading aloud	52	word	incongruent	maîtresse	ma ît re s se	1	0.6703	53.92	9	6	1.5	2
171.0064	0.2014	171.2078	5	reading aloud	53	word	congruent	balluchon	b a ll u ch on	1	0.7261	0.54	9	6	1.5	3
176.0678	0.2017	176.2694	5	reading aloud	54	pseudoword	congruent	beuillant	b eu ill ant	1	0.6395	n/a	9	4	2.25	2
181.1079	0.2015	181.3094	5	reading aloud	55	word	incongruent	auvent	a uve nt	1	0.585	6.89	6	3	2	2
186.4492	0.2016	186.6508	5	reading aloud	56	word	congruent	enceinte	en c ein te	1	0.6887	12.43	8	4	2	2
188.8849	0.2016	189.0865	5	reading aloud	57	pseudoword	congruent	douvant	d ou v ant	1	0.5987	n/a	7	4	1.75	2
191.5658	0.202	191.7678	5	reading aloud	58	word	congruent	penseuse	p en s eu se	1	0.751	3.92	8	5	1.6	2
196.2271	0.2015	196.4286	5	reading aloud	59	pseudoword	incongruent	bauillet	ba ui lle t	1	0.8205	n/a	8	4	2	2
198.9665	0.2015	199.168	5	reading aloud	60	word	incongruent	gourmand	go ur m a nd	1	0.6178	9.86	8	5	1.6	2
201.3435	0.2015	201.545	5	reading aloud	61	pseudoword	congruent	queute	qu eu te	1	0.6683	n/a	6	3	2	1
203.7048	0.2025	203.9073	5	reading aloud	62	pseudoword	congruent	aitance	ai t an ce	1	0.6738	n/a	7	4	1.75	2
206.3846	0.2015	206.5861	5	reading aloud	63	word	congruent	quinte	qu in te	1	0.6329	4.86	6	3	2	1
208.7459	0.2017	208.9476	5	reading aloud	64	word	congruent	euphorie	eu ph o r ie	1	0.6432	8.11	8	5	1.6	3
211.123	0.2017	211.3246	5	reading aloud	65	pseudoword	incongruent	maisance	ma i sa n ce	0	n/a	n/a	8	5	1.6	2
213.5024	0.2014	213.7038	5	reading aloud	66	pseudoword	congruent	nonte	n on te	1	0.7758	n/a	5	3	1.667	1
215.8643	0.2015	216.0658	5	reading aloud	67	pseudoword	incongruent	incerdant	i nc e rd a nt	1	0.7417	n/a	9	6	1.5	3
218.5456	0.2014	218.747	5	reading aloud	68	pseudoword	incongruent	soncieuse	so nc ie u s e	0	n/a	n/a	9	6	1.5	2
221.3019	0.2013	221.5032	5	reading aloud	69	word	incongruent	vaisselle	va i sse lle	1	0.5766	25.95	9	5	1.8	2
223.7622	0.2013	223.9635	5	reading aloud	70	pseudoword	congruent	dallin	d a ll in	1	0.7303	n/a	6	4	1.5	2
226.4451	0.2016	226.6467	5	reading aloud	71	pseudoword	incongruent	chodouille	c ho do ui lle	0	n/a	n/a	10	5	2	2
231.4103	0.202	231.6124	5	reading aloud	72	word	congruent	desséchant	d e ss é ch ant	1	0.7021	0.2	10	6	1.667	3
234.1472	0.2016	234.3488	5	reading aloud	73	word	incongruent	bâillement	b âi ll e me nt	1	0.6522	4.19	10	6	1.667	3
236.5236	0.2015	236.7251	5	reading aloud	74	pseudoword	congruent	eussopie	eu ss o p ie	1	0.5889	n/a	8	5	1.6	3
238.8823	0.2015	239.0838	5	reading aloud	75	pseudoword	incongruent	choutre	c ho ut re	1	0.7185	n/a	7	4	1.75	1
241.2633	0.2015	241.4648	5	reading aloud	76	pseudoword	congruent	deuillou	d eu ill ou	1	0.7856	n/a	8	4	2	2
243.6416	0.202	243.8436	5	reading aloud	77	pseudoword	congruent	hulour	hu l our	1	0.6241	n/a	6	4	1.5	2
248.606	0.2018	248.8079	5	reading aloud	78	word	congruent	embout	em b out	1	0.6411	0.81	6	3	2	2
250.946	0.2017	251.1477	5	reading aloud	79	word	incongruent	saignement	sa ig n em e nt	1	0.5651	0.54	10	6	1.667	3
255.6279	0.2017	255.8296	5	reading aloud	80	word	congruent	poumon	p ou m on	1	0.6744	21.55	6	4	1.5	2
258.0639	0.2015	258.2654	5	reading aloud	81	word	congruent	champignon	ch am p i gn on	1	0.5669	12.97	10	6	1.667	3
260.443	0.2015	260.6445	5	reading aloud	82	word	incongruent	rangement	ra ng e me nt	1	0.7333	2.16	9	6	1.5	3
262.8012	0.2015	263.0027	5	reading aloud	83	pseudoword	incongruent	pausson	pa us so n	1	0.6412	n/a	7	4	1.75	2
265.1808	0.2013	265.382	5	reading aloud	84	word	incongruent	bouillon	bo ui llo n	1	0.7034	8.92	8	4	2	2
267.5403	0.2018	267.7421	5	reading aloud	85	pseudoword	incongruent	pentouet	pe n to ue t	1	0.6538	n/a	8	5	1.6	2
269.9204	0.2014	270.1218	5	reading aloud	86	word	congruent	enseignant	en s ei gn ant	1	0.6409	1.69	10	5	2	3
272.3612	0.2013	272.5625	5	reading aloud	87	pseudoword	incongruent	raivement	ra iv e me nt	1	0.6758	n/a	9	6	1.5	3
274.7606	0.2013	274.962	5	reading aloud	88	word	incongruent	ouvrant	o uv ra nt	1	0.6173	3.18	7	4	1.75	2
277.4215	0.2024	277.6239	5	reading aloud	89	word	incongruent	chambre	c ha mb re	1	0.5126	413.31	7	4	1.75	1
279.802	0.2017	280.0037	5	reading aloud	90	word	incongruent	amphore	a mp ho re	1	0.6636	1.35	7	4	1.75	2
282.1818	0.2017	282.3835	5	reading aloud	91	word	congruent	humour	hu m ou r	1	0.6299	16.76	6	4	1.5	2
284.9412	0.202	285.1432	5	reading aloud	92	word	congruent	fourneau	f ou r n eau	1	0.6353	15.34	8	5	1.6	2
287.3203	0.2018	287.5221	5	reading aloud	93	word	congruent	fourreau	f ou rr eau	1	0.5884	4.32	8	4	2	2
292.2855	0.2033	292.4888	5	reading aloud	94	word	incongruent	plaine	p la i ne	1	0.6644	39.86	6	4	1.5	1
294.722	0.2015	294.9236	5	reading aloud	95	word	congruent	andouille	an d ou ille	1	0.6995	6.28	9	4	2.25	2
297.0987	0.2015	297.3002	5	reading aloud	96	word	incongruent	banquet	ba nq ue t	1	0.6678	5.88	7	4	1.75	2
299.8575	0.2016	300.0591	5	reading aloud	97	pseudoword	incongruent	nange	na nge	1	0.6969	n/a	5	3	1.667	1
304.9253	0.2016	305.1269	5	reading aloud	98	word	incongruent	audience	a ud ie n ce	1	0.5995	9.53	8	5	1.6	2
