onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.24282567496266	5	5.24282567496266	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5493	0.2014	10.7507	5	reading aloud	1	word	incongruent	souffrance	so u ff ra nc e	1	0.7373	47.16	10	6	1.667	2
13.2896	0.2014	13.4911	5	reading aloud	2	pseudoword	congruent	mouquetant	m ou qu e t ant	0	n/a	n/a	10	6	1.667	3
15.6486	0.2013	15.85	5	reading aloud	3	word	incongruent	aimant	a ima nt	1	0.6063	2.97	6	3	2	2
18.0291	0.2015	18.2306	5	reading aloud	4	word	congruent	souche	s ou che	1	0.5983	10.54	6	3	2	1
20.4907	0.2015	20.6923	5	reading aloud	5	pseudoword	incongruent	roncoeuf	ro n co e uf	0	n/a	n/a	8	5	1.6	2
22.8687	0.202	23.0707	5	reading aloud	6	word	congruent	gain	g ain	1	0.6627	5.88	4	2	2	1
25.5313	0.2016	25.7329	5	reading aloud	7	pseudoword	congruent	cansant	c an s ant	1	0.9471	n/a	7	4	1.75	2
27.911	0.2015	28.1125	5	reading aloud	8	word	congruent	honteuse	hon t eu se	1	0.6865	22.3	8	4	2	2
30.292	0.2015	30.4936	5	reading aloud	9	pseudoword	incongruent	aubluche	a ub l uc he	1	0.7653	n/a	8	5	1.6	2
33.0517	0.2017	33.2534	5	reading aloud	10	pseudoword	congruent	batougne	ba t ou gne	1	0.8441	n/a	8	5	1.6	2
35.5106	0.2015	35.7121	5	reading aloud	11	word	congruent	laineux	l ai n eux	1	0.6488	1.89	7	4	1.75	2
37.8884	0.2027	38.0911	5	reading aloud	12	pseudoword	congruent	queute	qu eu te	1	0.6614	n/a	6	3	2	1
42.578	0.2015	42.7795	5	reading aloud	13	word	incongruent	choquante	c ho q ua n te	0	n/a	1.69	9	5	1.8	2
45.0111	0.2017	45.2129	5	reading aloud	14	pseudoword	congruent	pouchant	p ou ch ant	1	0.7689	n/a	8	4	2	2
47.4706	0.2029	47.6735	5	reading aloud	15	word	incongruent	entrain	e nt rai n	1	0.7409	7.97	7	4	1.75	2
50.1495	0.2016	50.3511	5	reading aloud	16	pseudoword	congruent	chotant	ch o t ant	1	0.5853	n/a	7	4	1.75	2
52.6128	0.2015	52.8143	5	reading aloud	17	word	congruent	confident	c on f i d ent	1	0.6304	5.54	9	6	1.5	3
54.9923	0.2015	55.1938	5	reading aloud	18	word	congruent	audience	au d i en ce	1	0.6991	9.53	8	5	1.6	2
57.4524	0.2016	57.654	5	reading aloud	19	word	incongruent	gloussant	g lo us sa nt	1	0.7246	0.54	9	5	1.8	2
60.1285	0.2016	60.3301	5	reading aloud	20	word	congruent	langue	l an gue	1	0.6841	126.28	6	3	2	1
62.59	0.2014	62.7914	5	reading aloud	21	pseudoword	congruent	abanffant	a b an ff ant	1	1.164	n/a	9	5	1.8	3
64.9686	0.2012	65.1698	5	reading aloud	22	pseudoword	congruent	élignant	é l i gn ant	1	0.6568	n/a	8	5	1.6	3
67.3475	0.2013	67.5488	5	reading aloud	23	word	incongruent	blaireau	b la i rea u	1	0.6569	3.78	8	5	1.6	2
69.7077	0.2015	69.9092	5	reading aloud	24	word	congruent	babouche	b a b ou che	1	0.6077	2.64	8	5	1.6	2
72.3875	0.2014	72.589	5	reading aloud	25	pseudoword	incongruent	peuleau	pe u lea u	0	n/a	n/a	7	4	1.75	2
75.1492	0.2016	75.3507	5	reading aloud	26	pseudoword	congruent	lausseur	l au ss eur	1	0.6566	n/a	8	5	1.6	2
77.9089	0.2015	78.1104	5	reading aloud	27	pseudoword	incongruent	banqueur	ba nq ue u r	1	0.7737	n/a	8	5	1.6	2
82.892	0.2021	83.0941	5	reading aloud	28	pseudoword	incongruent	pombant	po mb a nt	1	0.768	n/a	7	4	1.75	2
88.2346	0.2022	88.4368	5	reading aloud	29	pseudoword	congruent	santeuse	s an t eu se	0	n/a	n/a	8	5	1.6	2
95.5571	0.2018	95.7589	5	reading aloud	30	word	incongruent	cinglant	ci ng la nt	1	0.5254	2.77	8	5	1.6	2
100.2719	0.2016	100.4735	5	reading aloud	31	word	congruent	essaim	e ss aim	1	0.6451	4.53	6	3	2	2
103.0081	0.2016	103.2096	5	reading aloud	32	word	congruent	éléphant	é l é ph ant	1	0.5971	15.2	8	5	1.6	3
105.6884	0.2015	105.8899	5	reading aloud	33	word	congruent	quignon	qu i gn on	1	0.6728	2.43	7	4	1.75	2
110.35	0.2016	110.5516	5	reading aloud	34	pseudoword	incongruent	géein	gé ei n	1	1.1576	n/a	5	3	1.667	2
115.0913	0.2013	115.2926	5	reading aloud	35	pseudoword	incongruent	mounnon	mo un no n	1	0.6926	n/a	7	4	1.75	2
117.4462	0.2014	117.6476	5	reading aloud	36	pseudoword	incongruent	vencouge	ve n co u ge	1	0.6552	n/a	8	5	1.6	2
119.8069	0.2013	120.0082	5	reading aloud	37	pseudoword	incongruent	baiffier	ba if f ie r	1	0.9412	n/a	8	5	1.6	2
122.1866	0.2013	122.3879	5	reading aloud	38	pseudoword	incongruent	blondeau	b lo n dea u	0	n/a	n/a	8	5	1.6	2
124.5515	0.2015	124.753	5	reading aloud	39	pseudoword	incongruent	cêfrouille	c êf ro ui l le	0	n/a	n/a	10	6	1.667	2
126.9279	0.2016	127.1295	5	reading aloud	40	word	congruent	baignoire	b ai gn oi re	1	1.7051	15.27	9	6	1.5	2
129.3076	0.2015	129.5092	5	reading aloud	41	pseudoword	congruent	traichant	t r ai ch ant	0	n/a	n/a	9	5	1.8	2
131.6683	0.2016	131.8699	5	reading aloud	42	word	incongruent	poumon	po um o n	1	0.7592	21.55	6	4	1.5	2
134.0504	0.2015	134.2519	5	reading aloud	43	pseudoword	congruent	sonfflant	s on ff l ant	1	0.5728	n/a	9	5	1.8	2
136.4073	0.2015	136.6088	5	reading aloud	44	pseudoword	congruent	combache	c om b a che	0	n/a	n/a	8	5	1.6	2
139.0869	0.2015	139.2884	5	reading aloud	45	word	congruent	tranchant	t r an ch ant	1	0.6721	5.27	9	5	1.8	2
141.7484	0.2015	141.9499	5	reading aloud	46	word	congruent	mendiant	m en d i ant	1	0.6911	11.76	8	5	1.6	2
144.4285	0.2019	144.6303	5	reading aloud	47	pseudoword	congruent	manviant	m an v i ant	1	0.7667	n/a	8	5	1.6	2
146.7898	0.2015	146.9913	5	reading aloud	48	word	incongruent	angoisse	a n go i sse	1	0.658	68.99	8	5	1.6	2
149.1673	0.2015	149.3688	5	reading aloud	49	word	congruent	souterrain	s ou t e rr ain	1	0.5765	13.04	10	6	1.667	3
151.5257	0.2015	151.7272	5	reading aloud	50	pseudoword	incongruent	rangessant	ra ng es sa nt	1	0.7913	n/a	10	6	1.667	3
153.9062	0.2017	154.1079	5	reading aloud	51	word	congruent	guinguette	gu in gu ette	1	0.7613	3.04	10	5	2	2
158.8909	0.2016	159.0924	5	reading aloud	52	pseudoword	congruent	feuillate	f eu ill a te	0	n/a	n/a	9	5	1.8	2
161.3273	0.202	161.5292	5	reading aloud	53	word	incongruent	prochain	p ro c hai n	1	0.6782	59.32	8	5	1.6	2
163.6844	0.2013	163.8858	5	reading aloud	54	pseudoword	congruent	lambe	l am be	1	0.7334	n/a	5	3	1.667	1
166.065	0.2014	166.2665	5	reading aloud	55	word	incongruent	mourant	mo ur a nt	1	0.6582	5.74	7	4	1.75	2
171.0286	0.2013	171.2298	5	reading aloud	56	pseudoword	incongruent	dapheau	da p hea u	1	0.89	n/a	7	4	1.75	2
175.7696	0.2016	175.9712	5	reading aloud	57	word	congruent	fougueuse	f ou gu eu se	1	0.689	3.45	9	5	1.8	2
178.5063	0.2015	178.7079	5	reading aloud	58	pseudoword	congruent	campisant	c am p i s ant	0	n/a	n/a	9	6	1.5	3
183.789	0.2016	183.9905	5	reading aloud	59	pseudoword	incongruent	enquandée	e nq ua ndé e	0	n/a	n/a	9	5	1.8	3
186.1265	0.2017	186.3282	5	reading aloud	60	word	incongruent	nouveau	no uv ea u	1	0.7077	292.43	7	4	1.75	2
188.8843	0.2015	189.0858	5	reading aloud	61	word	incongruent	géant	g éa nt	1	0.5834	22.91	5	3	1.667	2
191.265	0.2015	191.4665	5	reading aloud	62	word	incongruent	guerrier	g u er rie r	1	0.7015	10	8	5	1.6	2
193.6233	0.2018	193.825	5	reading aloud	63	word	congruent	jambe	j am be	1	0.5942	220.95	5	3	1.667	1
196.3023	0.2015	196.5038	5	reading aloud	64	pseudoword	congruent	chouse	ch ou se	1	0.6426	n/a	6	3	2	1
198.6641	0.2016	198.8657	5	reading aloud	65	word	congruent	honneur	ho nn eur	1	0.687	97.36	7	4	1.75	2
201.349	0.2017	201.5507	5	reading aloud	66	pseudoword	incongruent	choucetant	c ho uc e ta n t	1	0.6482	n/a	10	6	1.667	3
206.6115	0.2017	206.8132	5	reading aloud	67	word	incongruent	condiment	co n d i me nt	1	0.695	0.61	9	6	1.5	3
208.9456	0.2015	209.1471	5	reading aloud	68	pseudoword	incongruent	plochant	p lo c ha nt	1	1.0832	n/a	8	5	1.6	2
213.9277	0.2014	214.1291	5	reading aloud	69	pseudoword	congruent	enssête	en ss ê te	1	0.8463	n/a	7	4	1.75	2
216.2637	0.2013	216.4651	5	reading aloud	70	pseudoword	incongruent	blauche	b la uc he	1	0.6365	n/a	7	4	1.75	1
218.9252	0.2014	219.1266	5	reading aloud	71	pseudoword	incongruent	veincheur	v ei n c he ur	1	0.6795	n/a	9	5	1.8	2
221.6033	0.2016	221.8049	5	reading aloud	72	word	incongruent	amphore	a mp ho re	1	0.6482	1.35	7	4	1.75	2
223.9624	0.2018	224.1642	5	reading aloud	73	pseudoword	congruent	phadeuge	ph a d eu ge	1	1.2548	n/a	8	5	1.6	2
