onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5829	0.1848	12.7677	1	word	irregular	high	super	1	0.5352	13.19	5	5	2	1.9245
14.9689	0.1848	15.1537	2	word	regular	low	crin	1	0.6394	2.65	4	3	1	4.1887
17.6287	0.1856	17.8143	3	word	irregular	low	transat	1	0.6885	0.52	7	6	2	4.6226
20.0085	0.2015	20.21	4	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.3663	0.2016	22.5679	5	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.7476	0.1849	24.9325	6	word	regular	low	trachée	1	0.6989	1.03	7	5	2	4.0189
n/a	n/a	n/a	7	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.7864	0.1848	29.9712	8	word	regular	high	vert	1	0.6556	63.35	4	3	1	4.4717
32.4452	0.2014	32.6466	9	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34.827	0.1853	35.0123	10	word	regular	low	nef	1	0.7948	4.52	3	3	1	3.7925
37.4847	0.2016	37.6863	11	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
39.8651	0.2014	40.0665	12	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	13	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.2064	0.1848	45.3912	14	word	irregular	high	iris	1	0.8701	5.55	4	4	2	4.5094
47.566	0.1854	47.7514	15	word	regular	low	moisi	1	0.6581	2.94	5	5	2	4.0189
50.2458	0.1846	50.4304	16	word	irregular	high	huit	1	0.7879	116.03	4	3	1	3.7358
52.6053	0.1847	52.7899	17	word	irregular	low	cacahuète	1	0.7571	0.39	9	7	3	4.8679
54.9852	0.1851	55.1703	18	word	regular	low	odorat	1	0.954	1.65	6	5	3	2.434
n/a	n/a	n/a	19	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
60.0234	0.2016	60.2249	20	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
62.6835	0.2014	62.885	21	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
65.0649	0.1853	65.2502	22	word	regular	low	berline	1	0.8247	1.35	7	6	2	3.8868
67.4227	0.2021	67.6248	23	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.8053	0.1858	69.9912	24	word	irregular	high	femme	1	0.7971	400.52	5	3	1	4.8302
72.1855	0.185	72.3704	25	word	regular	high	approche	1	0.9153	42.68	8	5	2	1.7736
74.8435	0.2015	75.045	26	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
77.5051	0.1853	77.6904	27	word	irregular	high	tabac	1	0.7149	25.45	5	4	2	4.3774
79.8856	0.1851	80.0708	28	word	irregular	low	dot	1	0.7769	3.1	3	3	1	2.1509
82.263	0.2015	82.4644	29	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	30	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.3055	0.1849	87.4904	31	word	regular	low	preux	1	0.6456	1.71	5	3	1	2.1132
n/a	n/a	n/a	32	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92.0449	0.1849	92.2297	33	word	regular	high	nul	1	1.0427	55.1	3	3	1	2.2642
94.4053	0.1848	94.5901	34	word	regular	low	duo	1	0.7939	2.06	3	3	1	3.4528
96.7829	0.2014	96.9843	35	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.4442	0.1854	99.6296	36	word	regular	high	jaloux	1	0.534	12.42	6	4	2	2.4151
101.8247	0.1847	102.0093	37	word	regular	high	revenant	1	1.0567	14.45	8	6	3	3.3019
104.2036	0.1847	104.3883	38	word	irregular	high	estomac	1	0.8311	22.97	7	6	3	4.3019
106.8626	0.1851	107.0477	39	word	regular	low	muret	1	0.8845	1.58	5	4	2	4.5472
109.2422	0.1847	109.4268	40	word	irregular	high	outil	1	0.8265	11.94	5	3	2	4.0755
111.6029	0.1846	111.7875	41	word	regular	high	forêt	1	0.7325	72.39	5	4	2	4.8679
113.9839	0.1867	114.1706	42	word	irregular	low	azimut	1	0.5507	0.48	6	6	3	1.6415
116.3437	0.1849	116.5286	43	word	regular	high	animal	1	0.6132	52.94	6	6	3	4.3208
118.7238	0.1849	118.9086	44	word	irregular	high	second	1	0.7036	95.42	6	4	2	2.7358
121.1035	0.1853	121.2889	45	word	regular	high	coeur	1	0.8096	274.94	5	3	1	4.7547
123.7629	0.1848	123.9477	46	word	irregular	low	escroc	1	0.7629	1.58	6	5	2	2.8868
n/a	n/a	n/a	47	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
128.804	0.1849	128.989	48	word	irregular	high	nerf	1	1.0492	11.23	4	3	1	3.7358
n/a	n/a	n/a	49	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.5434	0.1849	133.7284	50	word	irregular	low	baptiser	1	0.771	1.35	8	6	3	3.717
n/a	n/a	n/a	51	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
138.5808	0.2016	138.7824	52	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
140.9628	0.1848	141.1477	53	word	irregular	low	barman	1	0.7191	5.13	6	6	2	4.6792
143.3237	0.1848	143.5086	54	word	regular	high	force	1	0.817	205.97	5	4	1	2.717
146.0037	0.1849	146.1887	55	word	irregular	low	scout	1	0.8301	1.84	5	4	1	4.5849
148.3631	0.1849	148.548	56	word	irregular	high	sens	1	0.5801	335.77	4	2	1	2.0755
150.7442	0.1848	150.929	57	word	irregular	low	placenta	1	0.5957	1.42	8	7	3	3.717
153.1026	0.1847	153.2873	58	word	regular	high	squelette	1	0.4821	8.52	9	6	2	4.9245
n/a	n/a	n/a	59	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
158.1402	0.1847	158.3249	60	word	regular	low	bambou	1	0.7855	2.55	6	4	2	4.8679
160.5211	0.1847	160.7058	61	word	regular	high	flou	1	0.5257	6.32	4	3	1	3.4717
n/a	n/a	n/a	62	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
165.8617	0.1862	166.0479	63	word	irregular	low	paon	1	1.0359	2.84	4	2	1	4.9057
168.222	0.1852	168.4071	64	word	regular	high	papillon	1	0.5714	13.03	8	6	3	4.9434
170.6	0.2017	170.8017	65	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	66	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
175.7413	0.1849	175.9262	67	word	regular	high	créature	1	0.6271	12.19	8	7	3	3.2453
178.1225	0.1848	178.3074	68	word	irregular	high	baptême	1	0.6691	7.23	7	5	2	3.6981
180.7819	0.1851	180.967	69	word	irregular	low	minus	1	0.5695	1.61	5	5	2	2.3208
183.4416	0.1849	183.6265	70	word	regular	high	seul	1	0.4763	400.32	4	3	1	3.1132
186.12	0.2015	186.3215	71	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
188.4812	0.1856	188.6668	72	word	irregular	high	automne	1	1.0022	27.61	7	4	2	4.1698
191.1601	0.1852	191.3453	73	word	irregular	high	enfer	1	0.6846	25.42	5	4	2	3.6792
193.5209	0.1849	193.7057	74	word	irregular	high	écho	1	0.605	26.48	4	3	2	2.7547
195.9007	0.1853	196.086	75	word	regular	high	explosion	1	0.6067	17.55	9	9	3	4.6038
198.5587	0.2025	198.7612	76	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
200.9412	0.185	201.1262	77	word	regular	high	aveu	1	0.6124	10.52	4	3	2	1.6226
203.601	0.1847	203.7857	78	word	regular	high	aise	1	0.634	31.45	4	2	1	1.6038
n/a	n/a	n/a	79	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
208.6384	0.1846	208.823	80	word	irregular	high	septième	1	0.8388	9.06	8	6	2	2.434
n/a	n/a	n/a	81	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
213.3993	0.185	213.5843	82	word	regular	high	faim	1	0.525	46.71	4	2	1	2.5283
n/a	n/a	n/a	83	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
218.1412	0.1855	218.3267	84	word	irregular	low	linguiste	1	0.9545	1.42	9	7	2	2.2453
220.5001	0.1849	220.685	85	word	regular	low	octroi	1	0.7059	4.9	6	6	2	1.283
n/a	n/a	n/a	86	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
225.6395	0.1856	225.8251	87	word	regular	low	levain	1	0.681	1.29	6	4	2	2.8868
228.0204	0.1849	228.2053	88	word	regular	high	fouet	1	0.5958	10.35	5	3	1	4.8491
230.3801	0.185	230.5652	89	word	regular	low	belette	1	0.801	0.35	7	5	2	4.5094
n/a	n/a	n/a	90	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
235.4199	0.1849	235.6048	91	word	regular	high	balai	1	0.7469	7.71	5	4	2	4.9057
237.7994	0.1853	237.9847	92	word	irregular	high	net	1	0.7349	29.26	3	3	1	2.6226
n/a	n/a	n/a	93	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	94	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
245.2196	0.1848	245.4044	95	word	regular	low	pneumonie	1	1.2486	1.13	9	7	3	2.8868
247.5788	0.1848	247.7636	96	word	irregular	high	août	1	0.4989	37.77	4	2	1	2.7358
n/a	n/a	n/a	97	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
252.3197	0.1861	252.5058	98	word	irregular	high	porc	1	0.6089	7.84	4	3	1	4.9434
254.6968	0.2014	254.8981	99	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
257.4578	0.1846	257.6424	100	word	regular	high	sultan	1	0.5137	13.42	6	5	2	4.0943
259.8351	0.2014	260.0364	101	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
262.2175	0.1846	262.4022	102	word	regular	low	postal	1	0.6717	2.19	6	6	2	2.717
264.5779	0.1848	264.7627	103	word	irregular	low	transit	1	0.7253	4.03	7	5	2	2.3208
266.9588	0.1848	267.1436	104	word	regular	low	oie	1	0.7691	3.48	3	2	1	4.9623
269.6195	0.1853	269.8047	105	word	regular	low	piloter	1	0.4682	1.19	7	6	3	3.5283
272.3574	0.2015	272.5589	106	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	107	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	108	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
279.7979	0.1851	279.9829	109	word	irregular	low	parasol	1	0.9298	2.32	7	7	3	4.8679
282.1773	0.1848	282.3621	110	word	regular	high	bleu	1	0.7441	99.03	4	3	1	4.6226
284.5369	0.1848	284.7217	111	word	irregular	low	faisan	1	0.7481	1	6	4	2	4.5472
286.9192	0.1848	287.104	112	word	irregular	low	cassis	0	n/a	3.39	6	4	2	4.5283
289.5778	0.1852	289.7629	113	word	regular	low	bitume	1	0.568	4.1	6	5	2	4
292.2573	0.1848	292.4421	114	word	irregular	high	fusil	1	0.4726	22.39	5	4	2	4.9434
294.6183	0.1848	294.8031	115	word	regular	low	girouette	1	0.6396	1	9	6	2	4.4717
297.2971	0.1848	297.4819	116	word	irregular	high	orchestre	1	0.748	18.65	9	7	2	4.8113
299.6568	0.1848	299.8416	117	word	irregular	high	équateur	1	0.6873	5.84	8	7	3	3.8679
302.0386	0.1848	302.2234	118	word	irregular	low	pouls	1	0.5483	5.06	5	2	1	3.1887
304.3974	0.1851	304.5825	119	word	regular	high	meilleur	1	0.6657	52.32	8	5	2	2.1698
306.7767	0.1847	306.9614	120	word	irregular	low	oignon	1	0.7921	4.1	6	3	2	4.9811
n/a	n/a	n/a	121	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
311.5156	0.185	311.7006	122	word	regular	high	taper	1	0.7349	10	5	4	2	3.8113
313.8952	0.1847	314.08	123	word	regular	low	carnage	1	0.6471	2.16	7	6	2	3.4717
n/a	n/a	n/a	124	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
319.2378	0.1849	319.4227	125	word	irregular	high	éther	1	1.0903	7.26	5	4	2	2.4151
n/a	n/a	n/a	126	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
323.9758	0.1848	324.1606	127	word	irregular	low	pentagone	1	0.5303	0.87	9	7	3	4.6226
326.3372	0.1848	326.522	128	word	irregular	low	orchidée	1	0.7316	0.87	8	6	3	4.7925
328.7165	0.1849	328.9013	129	word	irregular	low	opus	1	0.7559	2.19	4	4	2	1.5849
331.3751	0.1848	331.5599	130	word	irregular	low	oasis	1	0.8501	4.32	5	5	3	4.6792
333.7561	0.1848	333.9409	131	word	regular	low	parvis	1	0.5376	3.58	6	5	2	3.9434
336.196	0.1852	336.3812	132	word	irregular	low	imper	1	0.6586	1.19	5	4	2	4.1887
338.8938	0.2018	339.0956	133	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
341.2565	0.1848	341.4413	134	word	irregular	high	revolver	1	0.9806	14.9	8	8	3	4.8302
n/a	n/a	n/a	135	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
346.2959	0.1848	346.4807	136	word	regular	high	onze	1	0.6447	25.58	4	2	1	3.434
348.6756	0.1851	348.8607	137	word	irregular	high	moelle	1	0.7699	7.81	6	4	1	3.8868
n/a	n/a	n/a	138	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
354.0148	0.2016	354.2164	139	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
356.3751	0.1853	356.5604	140	word	irregular	high	virus	1	0.6312	28.61	5	5	2	3.7547
359.0559	0.1847	359.2406	141	word	irregular	high	ours	1	0.7723	12.94	4	3	1	4.9623
361.4121	0.2014	361.6135	142	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	143	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
366.4524	0.1847	366.6371	144	word	regular	high	muscle	1	0.793	7.26	6	5	1	4.3962
369.1333	0.1846	369.3179	145	word	regular	low	oxyde	1	0.6877	4.61	5	5	2	2.1321
371.4948	0.1849	371.6797	146	word	regular	low	daurade	1	0.8457	0.35	7	5	2	4.2642
374.1739	0.1859	374.3598	147	word	irregular	high	million	1	0.8575	11.58	7	5	2	2.5283
376.5351	0.1848	376.7198	148	word	irregular	high	compte	1	0.6489	249.23	6	3	1	2.3208
379.2149	0.1848	379.3997	149	word	regular	low	caboteur	1	0.6679	0.52	8	7	3	1.8302
381.5733	0.186	381.7593	150	word	regular	high	adresse	1	0.7441	44	7	5	2	3.1509
384.2519	0.2015	384.4534	151	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
