onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.33650886602118	5	12.3365088660212	1	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5677	0.2015	17.7692	1	lexical decision	1	pseudoword	incongruent	vanchente	va nc he n te	1	1.1049	n/a	9	5	1.8	2
22.5839	0.2015	22.7854	1	lexical decision	2	word	incongruent	rancoeur	ra n co e ur	1	0.6778	6.15	8	5	1.6	2
24.9516	0.2016	25.1532	1	lexical decision	3	word	incongruent	vaillante	v ai l la nte	1	0.7689	8.58	9	5	1.8	2
29.9162	0.2018	30.118	1	lexical decision	4	pseudoword	incongruent	fairche	fa i rc he	1	0.7873	n/a	7	4	1.75	1
34.855	0.2016	35.0566	1	lexical decision	5	pseudoword	congruent	queute	qu eu te	1	0.8375	n/a	6	3	2	1
37.1887	0.2015	37.3901	1	lexical decision	6	pseudoword	incongruent	breuil	b re ui l	1	1.0348	n/a	6	4	1.5	2
39.8716	0.2015	40.0731	1	lexical decision	7	pseudoword	incongruent	chochoute	c ho c ho u te	0	0.7018	n/a	9	5	1.8	2
42.2323	0.2017	42.4339	1	lexical decision	8	pseudoword	congruent	blondeau	b l on d eau	1	1.5021	n/a	8	5	1.6	2
44.8941	0.2024	45.0965	1	lexical decision	9	pseudoword	incongruent	sonffreite	so n ff re it e	1	0.9252	n/a	10	6	1.667	2
47.5725	0.2015	47.7739	1	lexical decision	10	pseudoword	incongruent	pouffler	po uf f l er	0	0.7569	n/a	8	5	1.6	2
50.2502	0.2013	50.4516	1	lexical decision	11	word	congruent	incessant	in c e ss ant	1	0.802	12.23	9	5	1.8	3
52.6101	0.2021	52.8121	1	lexical decision	12	pseudoword	incongruent	fanrrouse	fa nr ro u se	1	0.7713	n/a	9	5	1.8	2
57.594	0.2017	57.7957	1	lexical decision	13	pseudoword	congruent	intuiquant	in t u i qu ant	1	1.4392	n/a	10	6	1.667	3
59.9406	0.2014	60.1419	1	lexical decision	14	word	incongruent	causant	ca u sa nt	1	0.5916	1.96	7	4	1.75	2
62.3245	0.2028	62.5273	1	lexical decision	15	word	congruent	fougueuse	f ou gu eu se	1	0.8036	3.45	9	5	1.8	2
64.6708	0.2015	64.8723	1	lexical decision	16	pseudoword	congruent	beillement	b e ill e m ent	1	1.6282	n/a	10	6	1.667	3
67.0528	0.2019	67.2547	1	lexical decision	17	pseudoword	congruent	canreau	c an r eau	0	1.1472	n/a	7	4	1.75	2
69.4109	0.2015	69.6123	1	lexical decision	18	word	congruent	bouillant	b ou ill ant	1	0.5382	8.11	9	4	2.25	2
72.0907	0.2022	72.2929	1	lexical decision	19	word	congruent	pinceau	p in c eau	1	0.5473	17.91	7	4	1.75	2
74.4509	0.2016	74.6525	1	lexical decision	20	pseudoword	incongruent	traichant	t ra ic ha nt	1	0.9431	n/a	9	5	1.8	2
77.1311	0.2015	77.3326	1	lexical decision	21	word	congruent	chancelant	ch an c e l ant	1	0.6288	2.23	10	6	1.667	3
79.4887	0.2015	79.6901	1	lexical decision	22	word	congruent	mouton	m ou t on	1	0.7583	30.47	6	4	1.5	2
82.1703	0.2014	82.3718	1	lexical decision	23	pseudoword	congruent	aucience	au c i en ce	1	0.7996	n/a	8	5	1.6	2
84.5279	0.2015	84.7294	1	lexical decision	24	word	congruent	manchette	m an ch ette	1	0.6031	6.22	9	5	1.8	2
86.9108	0.2015	87.1123	1	lexical decision	25	pseudoword	congruent	fendéanre	f en d é an re	1	0.956	n/a	9	6	1.5	3
89.2687	0.2015	89.4701	1	lexical decision	26	word	congruent	bronche	b r on che	1	0.9742	2.23	7	4	1.75	1
91.9473	0.2015	92.1488	1	lexical decision	27	pseudoword	congruent	nousse	n ou sse	1	0.7614	n/a	6	3	2	1
96.9117	0.2015	97.1132	1	lexical decision	28	pseudoword	congruent	coupoint	c ou p oint	1	1.351	n/a	8	5	1.6	2
99.2835	0.2016	99.4851	1	lexical decision	29	pseudoword	incongruent	sendampe	se n da mp e	1	0.7532	n/a	8	5	1.6	2
104.2326	0.2013	104.4339	1	lexical decision	30	word	incongruent	champagne	c ha mp ag ne	1	0.5692	29.86	9	5	1.8	2
106.5689	0.2014	106.7704	1	lexical decision	31	pseudoword	congruent	tronchalle	t r on ch a lle	1	1.3407	n/a	10	6	1.667	2
108.9217	0.2013	109.123	1	lexical decision	32	pseudoword	congruent	pouchant	p ou ch ant	1	0.9298	n/a	8	4	2	2
111.607	0.2013	111.8083	1	lexical decision	33	pseudoword	congruent	mougnette	m ou gn ette	1	0.7886	n/a	9	5	1.8	2
114.2891	0.2016	114.4907	1	lexical decision	34	word	incongruent	bouquin	bo uq ui n	1	0.5795	27.7	7	4	1.75	2
116.6473	0.2021	116.8494	1	lexical decision	35	pseudoword	incongruent	trinche	t ri nc he	1	0.7123	n/a	7	4	1.75	1
119.0275	0.2016	119.2291	1	lexical decision	36	pseudoword	congruent	gainple	g ain p le	1	0.9259	n/a	7	4	1.75	1
121.6905	0.2014	121.8919	1	lexical decision	37	word	congruent	plongeant	p l on ge ant	1	0.64	1.28	9	5	1.8	2
124.3679	0.2016	124.5695	1	lexical decision	38	word	incongruent	aisance	a isa nc e	1	0.8006	15.41	7	4	1.75	2
126.7279	0.2015	126.9294	1	lexical decision	39	pseudoword	congruent	croiffend	c r oi ff end	1	0.8976	n/a	9	6	1.5	2
129.0511	0.2025	129.2536	1	lexical decision	40	word	incongruent	feuilleton	fe ui lle t o n	1	0.6492	6.28	10	6	1.667	3
131.3669	0.2015	131.5685	1	lexical decision	41	word	incongruent	ouvrant	o uv ra nt	1	0.5824	3.18	7	4	1.75	2
134.0502	0.2029	134.2531	1	lexical decision	42	pseudoword	incongruent	roupentre	ro u pe n t re	1	0.746	n/a	9	6	1.5	2
136.7079	0.2016	136.9095	1	lexical decision	43	word	incongruent	troupeau	tr o up ea u	1	0.5184	25.54	8	5	1.6	2
139.3882	0.2018	139.59	1	lexical decision	44	word	congruent	complainte	c om p l ain te	1	0.7439	2.3	10	6	1.667	2
141.7463	0.2016	141.9479	1	lexical decision	45	word	congruent	reine	r ei ne	1	0.483	33.78	5	3	1.667	1
151.64	0.2016	151.8416	1	lexical decision	46	word	incongruent	auteur	a ut e ur	1	0.6261	41.89	6	4	1.5	2
154.0083	0.2013	154.2096	1	lexical decision	47	word	incongruent	citrouille	c it ro ui l le	1	0.8427	2.91	10	6	1.667	2
156.3551	0.2012	156.5564	1	lexical decision	48	word	congruent	humeur	hu m eu r	1	0.7209	58.04	6	4	1.5	2
158.7458	0.2013	158.9471	1	lexical decision	49	word	incongruent	rouleau	ro ul ea u	1	0.6463	19.19	7	4	1.75	2
163.728	0.2016	163.9296	1	lexical decision	50	word	congruent	geindre	g ein d re	0	0.657	1.96	7	4	1.75	1
166.0659	0.2015	166.2674	1	lexical decision	51	pseudoword	congruent	chaiguette	ch ai gu ette	1	0.7569	n/a	10	5	2	2
168.4246	0.2016	168.6262	1	lexical decision	52	word	incongruent	emprunt	e mp ru nt	1	0.6533	4.73	7	4	1.75	2
170.8054	0.2015	171.0069	1	lexical decision	53	pseudoword	incongruent	sougne	so ug ne	1	0.7335	n/a	6	3	2	1
175.7716	0.2014	175.9731	1	lexical decision	54	word	congruent	gourmand	g ou r m and	1	0.5782	9.86	8	5	1.6	2
178.1137	0.2024	178.3161	1	lexical decision	55	pseudoword	incongruent	aivant	a iva nt	1	1.0732	n/a	6	3	2	2
180.7857	0.2017	180.9874	1	lexical decision	56	pseudoword	incongruent	semphle	se mp hl e	1	0.7	n/a	7	4	1.75	1
183.4457	0.2023	183.6481	1	lexical decision	57	pseudoword	congruent	manron	m an r on	1	1.322	n/a	6	4	1.5	2
186.1433	0.2015	186.3449	1	lexical decision	58	pseudoword	incongruent	minchant	mi nc ha nt	1	0.6873	n/a	8	4	2	2
190.7908	0.2015	190.9923	1	lexical decision	59	pseudoword	congruent	sonfflant	s on ff l ant	0	0.8028	n/a	9	5	1.8	2
193.1933	0.2018	193.3951	1	lexical decision	60	word	incongruent	envoûtant	e nvo ût a nt	0	0.7313	1.49	9	5	1.8	3
195.909	0.2016	196.1105	1	lexical decision	61	pseudoword	congruent	bitoumeau	b i t ou m eau	1	1.2435	n/a	9	6	1.5	3
198.2307	0.2015	198.4322	1	lexical decision	62	pseudoword	incongruent	vrein	vre in	1	0.7928	n/a	5	3	1.667	1
203.5492	0.2015	203.7507	1	lexical decision	63	pseudoword	congruent	incantrant	in c an t r ant	1	0.8983	n/a	10	6	1.667	3
205.882	0.2013	206.0834	1	lexical decision	64	pseudoword	congruent	tougne	t ou gne	1	0.7586	n/a	6	3	2	1
210.8483	0.2013	211.0496	1	lexical decision	65	word	congruent	vendange	v en d an ge	1	1.1241	3.38	8	5	1.6	2
213.1865	0.2013	213.3878	1	lexical decision	66	pseudoword	incongruent	saillaîte	s ai lla ît e	0	0.9578	n/a	9	5	1.8	2
218.1663	0.2016	218.3679	1	lexical decision	67	pseudoword	incongruent	maubeau	ma u bea u	1	1.153	n/a	7	4	1.75	2
220.5048	0.2016	220.7065	1	lexical decision	68	word	congruent	lointain	l oin t ain	1	0.5315	91.96	8	5	1.6	2
222.886	0.2017	223.0877	1	lexical decision	69	word	congruent	anglaise	an g l ai se	1	0.5283	79.53	8	5	1.6	2
225.3007	0.2017	225.5023	1	lexical decision	70	word	incongruent	condiment	co n d i me nt	1	0.6656	0.61	9	6	1.5	3
229.9287	0.2015	230.1302	1	lexical decision	71	pseudoword	congruent	fangueuse	f an gu eu se	1	2.3594	n/a	9	5	1.8	2
232.5987	0.2015	232.8002	1	lexical decision	72	word	incongruent	houleuse	ho ule us e	1	0.7345	2.16	8	4	2	2
234.9344	0.2016	235.136	1	lexical decision	73	pseudoword	congruent	tambain	t am b ain	1	0.7847	n/a	7	4	1.75	2
237.3042	0.2015	237.5057	1	lexical decision	74	word	incongruent	instant	i ns ta nt	1	0.5819	340.2	7	4	1.75	2
239.6853	0.2014	239.8868	1	lexical decision	75	word	congruent	banquier	b an qu i er	1	0.6357	12.7	8	5	1.6	2
242.0595	0.2016	242.2611	1	lexical decision	76	word	incongruent	hautain	ha ut ai n	1	0.6036	10.88	7	3	2.333	2
244.4221	0.2032	244.6253	1	lexical decision	77	word	incongruent	souche	so uc he	1	0.4019	10.54	6	3	2	1
246.804	0.2014	247.0055	1	lexical decision	78	word	congruent	croissant	c r oi ss ant	1	0.5929	18.72	9	6	1.5	2
249.1636	0.2015	249.3651	1	lexical decision	79	pseudoword	incongruent	cêfrouille	c êf ro ui l le	1	0.6664	n/a	10	6	1.667	2
253.847	0.2012	254.0483	1	lexical decision	80	word	incongruent	contrainte	co n t rai nt e	1	0.5459	5.81	10	6	1.667	2
256.4837	0.2014	256.6851	1	lexical decision	81	pseudoword	incongruent	bancessant	ba n c es sa nt	1	0.8281	n/a	10	6	1.667	3
261.7431	0.2013	261.9445	1	lexical decision	82	word	congruent	train	t r ain	1	0.4576	288.65	5	3	1.667	1
266.9869	0.2026	267.1895	1	lexical decision	83	pseudoword	incongruent	cauffon	ca uf fo n	1	0.7448	n/a	7	4	1.75	2
269.3227	0.2015	269.5241	1	lexical decision	84	word	incongruent	louange	lo ua ng e	1	0.714	6.35	7	4	1.75	1
271.7042	0.2024	271.9066	1	lexical decision	85	word	incongruent	pamphlet	pa mp h l et	1	0.6774	1.42	8	5	1.6	2
274.3626	0.2015	274.5641	1	lexical decision	86	pseudoword	incongruent	haumoût	ha um o ût	1	0.8281	n/a	7	3	2.333	2
276.7427	0.2015	276.9442	1	lexical decision	87	word	incongruent	faussaire	fa us sa i re	1	0.7739	1.35	9	5	1.8	2
279.1052	0.2015	279.3067	1	lexical decision	88	word	congruent	tranquille	t r an qu i lle	1	0.5864	91.96	10	6	1.667	2
281.4825	0.2018	281.6844	1	lexical decision	89	pseudoword	congruent	voussette	v ou ss ette	1	0.795	n/a	9	5	1.8	2
283.8736	0.2015	284.0751	1	lexical decision	90	pseudoword	congruent	chirquance	ch i r qu an ce	1	0.8988	n/a	10	6	1.667	2
286.2213	0.2015	286.4228	1	lexical decision	91	word	congruent	bouillon	b ou ill on	1	0.4802	8.92	8	4	2	2
290.9056	0.2015	291.1071	1	lexical decision	92	word	congruent	mensonge	m en s on ge	1	0.6099	35.41	8	5	1.6	2
293.2416	0.2015	293.4431	1	lexical decision	93	pseudoword	incongruent	guenquette	g ue nq ue tte	1	0.6698	n/a	10	5	2	2
295.6103	0.2016	295.8119	1	lexical decision	94	pseudoword	incongruent	échille	éc hi lle	0	0.955	n/a	7	4	1.75	2
297.9824	0.2022	298.1846	1	lexical decision	95	word	incongruent	souffrance	so u ff ra nc e	1	0.573	47.16	10	6	1.667	2
300.3609	0.2016	300.5625	1	lexical decision	96	word	incongruent	bouchon	bo uc ho n	1	0.5734	14.46	7	4	1.75	2
302.7226	0.2015	302.9241	1	lexical decision	97	pseudoword	congruent	raisissant	r ai s i ss ant	1	1.3387	n/a	10	6	1.667	3
305.0366	0.2013	305.2379	1	lexical decision	98	pseudoword	incongruent	auceur	a uc e ur	1	0.8356	n/a	6	4	1.5	2
307.3828	0.2018	307.5846	1	lexical decision	99	pseudoword	incongruent	banquin	ba nq ui n	1	0.8033	n/a	7	4	1.75	2
309.7379	0.2015	309.9394	1	lexical decision	100	word	incongruent	neige	ne ige	1	0.5953	80.88	5	3	1.667	1
312.1211	0.2013	312.3224	1	lexical decision	101	pseudoword	incongruent	trympaine	try m pa in e	1	1.2	n/a	9	6	1.5	2
314.7776	0.2018	314.9795	1	lexical decision	102	word	incongruent	vraie	vra ie	1	0.4976	430.07	5	3	1.667	1
317.1633	0.2016	317.3649	1	lexical decision	103	word	incongruent	abaissant	a ba is sa nt	1	0.7738	0.27	9	5	1.8	3
319.5205	0.2015	319.722	1	lexical decision	104	word	incongruent	bambou	ba m bo u	1	0.6256	6.15	6	4	1.5	2
321.8984	0.2022	322.1006	1	lexical decision	105	word	congruent	langue	l an gue	1	0.5037	126.28	6	3	2	1
324.239	0.2015	324.4404	1	lexical decision	106	pseudoword	incongruent	houtouse	ho uto us e	0	0.51	n/a	8	4	2	2
329.2453	0.2014	329.4468	1	lexical decision	107	pseudoword	congruent	couvoeur	c ou v oeu r	1	0.9875	n/a	8	5	1.6	2
331.5817	0.2019	331.7836	1	lexical decision	108	word	congruent	chercheuse	ch e r ch eu se	1	0.5783	3.78	10	6	1.667	2
336.266	0.2015	336.4675	1	lexical decision	109	word	congruent	ascension	a sc en s i on	0	0.6139	8.04	9	6	1.5	3
338.8974	0.202	339.0994	1	lexical decision	110	pseudoword	congruent	trant	t r ant	1	0.7554	n/a	5	3	1.667	1
341.2622	0.2033	341.4655	1	lexical decision	111	word	congruent	moustache	m ou s t a che	1	0.5807	45.07	9	6	1.5	2
343.639	0.2015	343.8405	1	lexical decision	112	word	congruent	rousse	r ou sse	1	0.8337	40.41	6	3	2	1
346.0215	0.2021	346.2236	1	lexical decision	113	pseudoword	incongruent	harcheuse	h ar c he use	1	0.9351	n/a	9	5	1.8	2
348.681	0.2015	348.8824	1	lexical decision	114	word	congruent	audience	au d i en ce	1	0.6168	9.53	8	5	1.6	2
353.643	0.2015	353.8445	1	lexical decision	115	pseudoword	congruent	raite	r ai te	1	0.8336	n/a	5	3	1.667	1
356.2882	0.2013	356.4896	1	lexical decision	116	pseudoword	incongruent	ranfant	ra nf a nt	1	0.8545	n/a	7	4	1.75	2
358.6594	0.2014	358.8608	1	lexical decision	117	pseudoword	congruent	mantroche	m an t r o che	1	0.7922	n/a	9	6	1.5	2
361.341	0.2014	361.5424	1	lexical decision	118	word	incongruent	échelle	éc he lle	1	0.5407	31.76	7	4	1.75	2
363.9981	0.2013	364.1994	1	lexical decision	119	word	congruent	chignon	ch i gn on	1	0.9623	12.77	7	4	1.75	2
368.6858	0.2015	368.8874	1	lexical decision	120	pseudoword	congruent	incerdant	in cer d ant	1	0.6557	n/a	9	6	1.5	3
371.205890553741	5	376.205890553741	2	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
381.3983	0.2016	381.5998	2	reading aloud	1	word	congruent	phalange	ph a l an ge	1	0.8643	5.2	8	5	1.6	2
388.7641	0.2019	388.966	2	reading aloud	2	word	incongruent	saint	sai nt	1	0.6073	42.77	5	2	2.5	1
391.1774	0.2014	391.3788	2	reading aloud	3	word	congruent	chauffeur	ch au ff eur	1	0.6836	49.86	9	5	1.8	2
393.9384	0.2015	394.1399	2	reading aloud	4	word	incongruent	paillasson	p ai ll a sso n	1	0.7882	4.39	10	6	1.667	3
396.698	0.2015	396.8995	2	reading aloud	5	word	congruent	moussante	m ou ss an te	1	0.691	0.61	9	5	1.8	2
399.0793	0.2015	399.2808	2	reading aloud	6	word	congruent	dénouement	d é n oue m ent	1	0.8493	4.05	10	6	1.667	3
403.7599	0.202	403.9619	2	reading aloud	7	word	incongruent	instance	i ns ta n ce	1	0.7848	4.59	8	5	1.6	2
406.0958	0.2015	406.2973	2	reading aloud	8	word	congruent	chaud	ch aud	1	0.5609	113.31	5	2	2.5	1
408.7575	0.2017	408.9592	2	reading aloud	9	word	congruent	empreinte	em p r ein te	1	0.6602	15.61	9	5	1.8	2
411.1356	0.2013	411.3369	2	reading aloud	10	word	incongruent	naissance	na is sa n ce	1	0.6878	52.91	9	5	1.8	2
413.7987	0.2012	413.9999	2	reading aloud	11	pseudoword	incongruent	choucetant	c ho uc e ta n t	0	n/a	n/a	10	6	1.667	3
416.474	0.2014	416.6754	2	reading aloud	12	pseudoword	incongruent	donche	do nc he	1	0.6393	n/a	6	3	2	1
418.8368	0.2025	419.0393	2	reading aloud	13	word	incongruent	souplesse	so up le s se	1	0.6071	9.86	9	6	1.5	2
421.2165	0.2015	421.418	2	reading aloud	14	pseudoword	congruent	bronguille	b r on gu ille	1	1.0472	n/a	10	6	1.667	2
423.5751	0.2015	423.7766	2	reading aloud	15	word	incongruent	coût	co ût	1	0.6786	1.35	4	2	2	1
425.9573	0.202	426.1593	2	reading aloud	16	pseudoword	incongruent	ronteau	ro n tea u	1	0.7403	n/a	7	4	1.75	2
428.7162	0.2015	428.9177	2	reading aloud	17	pseudoword	congruent	treussant	t r eu ss ant	1	0.8841	n/a	9	5	1.8	2
431.0978	0.2017	431.2996	2	reading aloud	18	pseudoword	congruent	indantant	in d an t ant	1	1.3408	n/a	9	5	1.8	3
433.4758	0.2014	433.6773	2	reading aloud	19	pseudoword	congruent	sauhant	s au hant	0	n/a	n/a	7	3	2.333	1
