onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5586	0.1849	12.7435	1	word	irregular	high	moelle	1	0.8796	7.81	6	4	1	3.8868
n/a	n/a	n/a	2	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.3274	0.1848	17.5122	3	word	regular	high	créature	1	0.971	12.19	8	7	3	3.2453
n/a	n/a	n/a	4	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.167	0.2014	22.3684	5	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.5482	0.1849	24.7331	6	word	irregular	low	pouls	1	0.7319	5.06	5	2	1	3.1887
26.927	0.1853	27.1123	7	word	regular	high	nul	1	0.638	55.1	3	3	1	2.2642
29.5866	0.1848	29.7715	8	word	irregular	high	gentil	1	0.5662	22.65	6	4	2	2.434
31.9677	0.1849	32.1526	9	word	irregular	high	nerf	1	0.7869	11.23	4	3	1	3.7358
34.6273	0.1853	34.8126	10	word	irregular	low	minus	1	0.6908	1.61	5	5	2	2.3208
37.286	0.1848	37.4709	11	word	irregular	low	dolmen	1	0.7098	0.61	6	6	2	4.3585
39.6651	0.2015	39.8666	12	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
42.0473	0.185	42.2323	13	word	irregular	low	scout	1	1.1865	1.84	5	4	1	4.5849
44.7054	0.1853	44.8908	14	word	regular	low	piloter	1	0.6383	1.19	7	6	3	3.5283
47.3663	0.1848	47.5511	15	word	regular	low	blaguer	1	0.7412	0.39	7	5	2	2.5849
50.0466	0.185	50.2316	16	word	regular	high	chevelure	1	0.7677	13.65	9	7	3	4.6226
52.7068	0.1848	52.8916	17	word	regular	high	aise	1	0.7826	31.45	4	2	1	1.6038
55.0868	0.1862	55.273	18	word	irregular	high	porc	1	0.7269	7.84	4	3	1	4.9434
57.7469	0.185	57.9319	19	word	regular	low	pneumonie	1	0.695	1.13	9	7	3	2.8868
60.1264	0.1849	60.3114	20	word	irregular	high	net	1	0.6619	29.26	3	3	1	2.6226
n/a	n/a	n/a	21	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
65.4649	0.1846	65.6495	22	word	irregular	low	pentagone	1	0.8672	0.87	9	7	3	4.6226
67.8246	0.2014	68.0259	23	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.2054	0.1846	70.39	24	word	regular	high	hors	1	0.5622	88.74	4	2	1	1.8113
72.5652	0.1848	72.75	25	word	regular	high	carnet	1	0.6157	14.19	6	5	2	4.8302
