onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.29290748720314	5	12.2929074872031	1	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.7382	0.2005	19.9387	1	lexical decision	1	word	incongruent	lionceau	l io nc ea u	1	0.9755	1.01	8	5	1.6	2
22.0629	0.2005	22.2635	1	lexical decision	2	pseudoword	congruent	maubeau	m au b eau	1	0.6377	n/a	7	4	1.75	2
24.4446	0.201	24.6456	1	lexical decision	3	word	congruent	manquant	m an qu ant	1	0.605	2.23	8	4	2	2
26.7694	0.201	26.9704	1	lexical decision	4	word	incongruent	pamphlet	pa mp h l et	1	0.7692	1.42	8	5	1.6	2
29.3824	0.201	29.5834	1	lexical decision	5	pseudoword	incongruent	oeur	o eur	1	0.9011	n/a	4	2	2	1
31.7168	0.2017	31.9186	1	lexical decision	6	word	incongruent	arrangeant	a rra ng ea nt	1	0.6417	0.47	10	5	2	3
34.1249	0.201	34.3259	1	lexical decision	7	word	congruent	complainte	c om p l ain te	1	0.5846	2.3	10	6	1.667	2
39.1065	0.201	39.3075	1	lexical decision	8	word	incongruent	vaisselle	va i sse lle	1	0.6339	25.95	9	5	1.8	2
41.7457	0.2009	41.9466	1	lexical decision	9	word	incongruent	fournaise	fo ur n a is e	1	0.6597	3.18	9	6	1.5	2
44.4031	0.201	44.6041	1	lexical decision	10	pseudoword	incongruent	chodouille	c ho do ui lle	1	0.8342	n/a	10	5	2	2
46.7567	0.201	46.9577	1	lexical decision	11	pseudoword	incongruent	breuil	b re ui l	1	0.8925	n/a	6	4	1.5	2
49.1439	0.2009	49.3448	1	lexical decision	12	word	congruent	innocence	i nn o c en ce	1	0.6524	20	9	6	1.5	3
51.5242	0.201	51.7252	1	lexical decision	13	word	congruent	desséchant	d e ss é ch ant	1	0.795	0.2	10	6	1.667	3
54.1843	0.201	54.3854	1	lexical decision	14	word	incongruent	bondissant	bo n d is sa nt	0	0.9558	2.77	10	6	1.667	3
56.5639	0.2019	56.7659	1	lexical decision	15	word	incongruent	envieuse	e nv ie u se	1	0.5862	1.76	8	5	1.6	2
58.964	0.2015	59.1656	1	lexical decision	16	pseudoword	congruent	canchin	c an ch in	1	0.7462	n/a	7	4	1.75	2
61.3035	0.201	61.5045	1	lexical decision	17	pseudoword	incongruent	soutresse	so ut re s se	1	0.8885	n/a	9	6	1.5	2
65.9138	0.2006	66.1144	1	lexical decision	18	pseudoword	congruent	pombant	p om b ant	1	0.7352	n/a	7	4	1.75	2
70.8211	0.2005	71.0216	1	lexical decision	19	pseudoword	incongruent	chougnon	cho u gno n	1	0.7048	n/a	8	4	2	2
73.1599	0.2006	73.3605	1	lexical decision	20	word	congruent	caisson	c ai ss on	1	0.609	3.04	7	4	1.75	2
78.1253	0.2009	78.3263	1	lexical decision	21	pseudoword	incongruent	incerdant	i nc e rd a nt	1	0.6475	n/a	9	6	1.5	3
80.4919	0.2011	80.6929	1	lexical decision	22	pseudoword	congruent	saimeau	s ai m eau	1	0.6429	n/a	7	4	1.75	2
83.1418	0.201	83.3428	1	lexical decision	23	word	incongruent	chausson	cha u sso n	1	0.639	5.95	8	4	2	2
85.5037	0.201	85.7047	1	lexical decision	24	word	congruent	conseiller	c on s e ill er	1	0.615	19.32	10	6	1.667	3
87.8824	0.2012	88.0836	1	lexical decision	25	word	congruent	raisin	r ai s in	1	0.6253	9.53	6	4	1.5	2
90.2629	0.201	90.464	1	lexical decision	26	pseudoword	congruent	chatreuil	ch a t r euil	1	0.6917	n/a	9	6	1.5	2
92.9224	0.2011	93.1234	1	lexical decision	27	pseudoword	incongruent	hulour	h ul o ur	1	0.6893	n/a	6	4	1.5	2
95.3022	0.201	95.5031	1	lexical decision	28	word	incongruent	champignon	c ha mp ig no n	1	0.5524	12.97	10	6	1.667	3
100.2639	0.2012	100.4651	1	lexical decision	29	word	congruent	chambre	ch am b re	1	0.6936	413.31	7	4	1.75	1
102.6474	0.201	102.8484	1	lexical decision	30	pseudoword	incongruent	jinge	ji ng e	1	0.6421	n/a	5	3	1.667	1
104.9821	0.201	105.1831	1	lexical decision	31	word	incongruent	ronronnant	ro n r on na nt	0	0.6603	0.81	10	6	1.667	3
107.6619	0.2011	107.863	1	lexical decision	32	pseudoword	congruent	aucience	au c i en ce	1	0.8455	n/a	8	5	1.6	2
110.021	0.2011	110.2221	1	lexical decision	33	word	congruent	impatient	im p a t i ent	1	0.7154	16.76	9	6	1.5	3
112.6391	0.201	112.8401	1	lexical decision	34	word	congruent	gouttière	g ou tt i è re	1	0.6122	10.95	9	6	1.5	2
115.2594	0.2006	115.46	1	lexical decision	35	word	congruent	croissant	c r oi ss ant	1	0.6319	18.72	9	6	1.5	2
119.9248	0.2006	120.1254	1	lexical decision	36	pseudoword	congruent	santeuse	s an t eu se	0	1.0774	n/a	8	5	1.6	2
122.3054	0.2005	122.506	1	lexical decision	37	pseudoword	congruent	aivant	ai v ant	1	0.6577	n/a	6	3	2	2
124.6387	0.2006	124.8394	1	lexical decision	38	word	incongruent	vaisseau	va is sea u	1	0.6684	12.43	8	4	2	2
127.3205	0.201	127.5216	1	lexical decision	39	pseudoword	incongruent	queute	que u te	1	0.5946	n/a	6	3	2	1
129.6808	0.2016	129.8824	1	lexical decision	40	word	congruent	guerrier	gu e rr i er	1	0.6694	10	8	5	1.6	2
134.3609	0.201	134.5619	1	lexical decision	41	pseudoword	incongruent	détouille	d ét o ui lle	1	0.6471	n/a	9	5	1.8	2
139.3013	0.2011	139.5025	1	lexical decision	42	pseudoword	congruent	aupoune	au p ou ne	1	0.5278	n/a	7	4	1.75	2
141.6399	0.2015	141.8414	1	lexical decision	43	word	congruent	andouille	an d ou ille	1	0.611	6.28	9	4	2.25	2
144.3195	0.201	144.5205	1	lexical decision	44	word	congruent	choquante	ch o qu an te	1	0.7723	1.69	9	5	1.8	2
146.6784	0.2009	146.8793	1	lexical decision	45	pseudoword	congruent	nange	n an ge	0	0.9124	n/a	5	3	1.667	1
149.0599	0.201	149.2609	1	lexical decision	46	word	incongruent	fondant	fo n da nt	1	0.7258	2.7	7	4	1.75	2
153.7206	0.2015	153.9221	1	lexical decision	47	word	congruent	meilleure	m eill eu re	1	0.6041	86.82	9	5	1.8	2
156.0782	0.201	156.2792	1	lexical decision	48	pseudoword	congruent	croiffend	c r oi ff end	1	0.6094	n/a	9	6	1.5	2
158.4389	0.2009	158.6398	1	lexical decision	49	word	congruent	gagnant	g a gn ant	1	0.7707	1.89	7	4	1.75	2
160.8198	0.2016	161.0214	1	lexical decision	50	word	congruent	entourage	en t ou r a ge	1	0.6507	10.74	9	6	1.5	3
163.1799	0.201	163.3809	1	lexical decision	51	pseudoword	incongruent	accounnant	a cco un na nt	1	0.7537	n/a	10	5	2	3
165.858	0.2005	166.0585	1	lexical decision	52	word	incongruent	bouchon	bo uc ho n	1	0.5917	14.46	7	4	1.75	2
168.216	0.2005	168.4165	1	lexical decision	53	word	congruent	peigné	p ei gn é	1	0.5845	1.89	6	4	1.5	2
170.5956	0.2005	170.7961	1	lexical decision	54	pseudoword	incongruent	nent	ne nt	1	0.6	n/a	4	2	2	1
172.9921	0.2007	173.1928	1	lexical decision	55	word	congruent	essai	e ss ai	1	0.5483	14.86	5	3	1.667	2
175.3369	0.2006	175.5375	1	lexical decision	56	word	incongruent	ambiance	a mb ia n ce	1	0.6455	11.55	8	5	1.6	2
178.0194	0.201	178.2204	1	lexical decision	57	word	congruent	mensonge	m en s on ge	1	0.5809	35.41	8	5	1.6	2
182.9799	0.201	183.1809	1	lexical decision	58	pseudoword	congruent	arreau	a rr eau	1	0.6064	n/a	6	3	2	2
185.3166	0.2015	185.5181	1	lexical decision	59	word	incongruent	quinte	qui n te	1	0.6926	4.86	6	3	2	1
192.6041	0.201	192.8051	1	lexical decision	60	pseudoword	incongruent	bancessant	ba n c es sa nt	1	0.899	n/a	10	6	1.667	3
195.2972	0.201	195.4982	1	lexical decision	61	pseudoword	incongruent	fantresse	fa nt re sse	1	0.6638	n/a	9	6	1.5	2
197.9771	0.2009	198.1781	1	lexical decision	62	word	congruent	banquet	b an qu et	1	0.7479	5.88	7	4	1.75	2
200.3385	0.201	200.5395	1	lexical decision	63	pseudoword	congruent	ingutient	in g u t i ent	1	0.6075	n/a	9	6	1.5	3
202.7182	0.2011	202.9193	1	lexical decision	64	word	congruent	citrouille	c i t r ou ille	1	0.5977	2.91	10	6	1.667	2
205.0555	0.2009	205.2564	1	lexical decision	65	pseudoword	congruent	eussopie	eu ss o p ie	1	0.6464	n/a	8	5	1.6	3
207.4577	0.201	207.6587	1	lexical decision	66	pseudoword	incongruent	élignant	él ig na n t	1	0.7752	n/a	8	5	1.6	3
209.8156	0.201	210.0166	1	lexical decision	67	word	incongruent	enfantin	e nf a nti n	1	0.5822	31.15	8	5	1.6	3
212.4975	0.2016	212.6991	1	lexical decision	68	pseudoword	congruent	feuillate	f eu ill a te	1	0.7533	n/a	9	5	1.8	2
214.8321	0.2009	215.033	1	lexical decision	69	word	incongruent	humeur	h um e ur	1	0.5967	58.04	6	4	1.5	2
217.236	0.2006	217.4365	1	lexical decision	70	word	congruent	frein	f r ein	1	0.5877	13.18	5	3	1.667	1
