onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5678	0.1847	12.7525	1	word	irregular	low	linguiste	1	0.8053	1.42	9	7	2	2.2453
14.964	0.1847	15.1487	2	word	regular	low	caboteur	1	0.755	0.52	8	7	3	1.8302
17.3258	0.1847	17.5104	3	word	irregular	high	ours	1	0.5614	12.94	4	3	1	4.9623
19.7068	0.1847	19.8915	4	word	regular	high	seul	1	0.5364	400.32	4	3	1	3.1132
22.0665	0.1847	22.2512	5	word	regular	high	créature	1	0.6335	12.19	8	7	3	3.2453
n/a	n/a	n/a	6	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.2062	0.1849	27.3911	7	word	regular	low	trognon	1	0.6224	1.13	7	5	2	4.6038
29.8864	0.1848	30.0713	8	word	regular	high	sorcier	1	0.4701	5.87	7	6	2	4.5094
32.2464	0.185	32.4314	9	word	irregular	low	mazout	1	0.6129	3.13	6	5	2	3.7358
34.6262	0.2018	34.828	10	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.0066	0.1849	37.1915	11	word	irregular	low	tempo	1	0.6473	0.77	5	5	2	2.4717
n/a	n/a	n/a	12	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
41.7463	0.1849	41.9312	13	word	irregular	high	porc	1	0.7372	7.84	4	3	1	4.9434
44.107	0.1852	44.2922	14	word	irregular	low	bacille	1	0.672	1.74	7	5	2	3.0189
n/a	n/a	n/a	15	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.4471	0.1849	49.632	16	word	irregular	high	orchestre	1	0.6828	18.65	9	7	2	4.8113
51.8264	0.1849	52.0112	17	word	regular	low	bouffon	1	0.692	2.06	7	4	2	3.9057
54.1864	0.1848	54.3712	18	word	irregular	high	automne	1	0.6669	27.61	7	4	2	4.1698
56.5646	0.2015	56.7662	19	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.2265	0.1848	59.4113	20	word	regular	low	odorat	1	0.6793	1.65	6	5	3	2.434
61.6056	0.1862	61.7918	21	word	regular	high	nul	1	0.5894	55.1	3	3	1	2.2642
n/a	n/a	n/a	22	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
66.7441	0.1847	66.9287	23	word	irregular	low	agenda	1	0.6662	3.06	6	5	3	4.566
n/a	n/a	n/a	24	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.4815	0.2014	71.6829	25	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.8636	0.1851	74.0487	26	word	irregular	low	pastis	1	0.5749	2.55	6	6	2	4.4151
76.5248	0.1849	76.7096	27	word	regular	low	levain	1	0.5718	1.29	6	4	2	2.8868
78.9054	0.1857	79.0911	28	word	regular	low	pastel	1	0.6663	1.74	6	6	2	3.7925
81.2642	0.1854	81.4496	29	word	irregular	low	saoul	0	n/a	4.84	5	2	1	3.8302
83.944	0.1849	84.1289	30	word	regular	high	venir	1	0.6388	126.16	5	5	2	2.3019
86.6058	0.185	86.7908	31	word	regular	high	papillon	1	0.6795	13.03	8	6	3	4.9434
89.262	0.2018	89.4637	32	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.6442	0.1849	91.8291	33	word	regular	high	forêt	1	0.6583	72.39	5	4	2	4.8679
94.3022	0.2027	94.505	34	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
96.9851	0.1862	97.1713	35	word	regular	low	ordure	1	0.6484	5.39	6	5	2	4.2075
99.6439	0.1851	99.829	36	word	regular	low	label	1	0.6746	0.87	5	5	2	2.4528
102.0243	0.1849	102.2091	37	word	regular	high	vert	1	0.6796	63.35	4	3	1	4.4717
104.3835	0.1849	104.5684	38	word	irregular	low	opus	1	0.6439	2.19	4	4	2	1.5849
107.0616	0.2016	107.2631	39	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.7238	0.1848	109.9086	40	word	regular	high	explosion	1	0.5629	17.55	9	9	3	4.6038
112.4041	0.1853	112.5894	41	word	irregular	low	pouls	1	0.7484	5.06	5	2	1	3.1887
114.7633	0.1851	114.9484	42	word	irregular	low	coyote	1	0.6579	0.35	6	5	2	4.3774
117.142	0.1846	117.3266	43	word	irregular	low	parasol	1	0.6426	2.32	7	7	3	4.8679
119.5017	0.1846	119.6864	44	word	irregular	high	mille	1	0.5798	124.9	5	3	1	2.5849
121.8824	0.1852	122.0675	45	word	regular	high	﻿abri	1	0.6366	35.52	4	4	2	4
124.261	0.1847	124.4457	46	word	irregular	low	jazz	1	0.6746	5.29	4	4	1	3.4151
126.6244	0.1849	126.8092	47	word	irregular	low	damner	1	0.6482	0.42	6	4	2	1.7736
n/a	n/a	n/a	48	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
131.6629	0.1848	131.8477	49	word	regular	high	bureau	1	0.7064	97.77	6	4	2	4.7358
134.041	0.2015	134.2425	50	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	51	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	52	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	53	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.1195	0.2018	144.3213	54	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
