onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5932	0.1849	12.7781	1	word	irregular	low	pastis	1	0.8436	2.55	6	6	2	4.4151
15.3474	0.1847	15.5321	2	word	irregular	high	outil	1	0.5383	11.94	5	3	2	4.0755
18.0254	0.1855	18.2109	3	word	irregular	low	aquarelle	1	0.5993	3.35	9	7	3	4.3019
n/a	n/a	n/a	4	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.7662	0.1846	22.9508	5	word	regular	high	mer	1	0.529	216.9	3	3	1	4.7925
n/a	n/a	n/a	6	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.5075	0.2016	27.709	7	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.888	0.1849	30.0729	8	word	irregular	high	éther	1	0.5703	7.26	5	4	2	2.4151
32.5486	0.185	32.7336	9	word	regular	high	bureau	1	0.5844	97.77	6	4	2	4.7358
n/a	n/a	n/a	10	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.5854	0.1849	37.7703	11	word	irregular	high	compte	1	0.6552	249.23	6	3	1	2.3208
40.2664	0.1848	40.4513	12	word	regular	low	adepte	1	0.5845	1.71	6	5	2	1.717
42.9269	0.1849	43.1118	13	word	regular	low	porcelet	1	0.6457	0.16	8	7	3	4.6226
n/a	n/a	n/a	14	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.9651	0.2015	48.1666	15	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.6269	0.185	50.8119	16	word	irregular	high	aiguille	1	0.5686	16.16	8	5	2	4.9057
53.3046	0.2015	53.5061	17	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	18	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58.3462	0.1849	58.531	19	word	irregular	low	croc	1	0.7692	1.32	4	3	1	4.2264
60.7037	0.2017	60.9054	20	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.0853	0.1847	63.27	21	word	regular	high	boisson	1	0.5988	7.06	7	5	2	4.4151
65.4651	0.1847	65.6498	22	word	irregular	high	poêle	1	0.7334	9.68	5	4	1	4.9057
67.8252	0.1847	68.0099	23	word	regular	high	vice	1	0.6534	16.26	4	3	1	1.8302
70.5037	0.2018	70.7055	24	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.863	0.1846	73.0476	25	word	irregular	low	parasol	1	0.6077	2.32	7	7	3	4.8679
75.245	0.185	75.43	26	word	regular	high	aise	1	0.634	31.45	4	2	1	1.6038
77.9061	0.1848	78.0909	27	word	regular	low	trognon	1	0.5732	1.13	7	5	2	4.6038
80.2841	0.1849	80.469	28	word	regular	low	bovin	1	0.5317	1.45	5	4	2	4.3019
82.6453	0.1848	82.8302	29	word	irregular	high	examen	1	0.6047	58.74	6	6	3	3.434
85.3257	0.1849	85.5106	30	word	regular	low	levain	1	0.5288	1.29	6	4	2	2.8868
n/a	n/a	n/a	31	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
90.3646	0.1849	90.5495	32	word	irregular	low	orchidée	1	0.5716	0.87	8	6	3	4.7925
92.7245	0.1853	92.9098	33	word	regular	low	nef	1	0.5402	4.52	3	3	1	3.7925
95.1046	0.1849	95.2894	34	word	regular	high	mission	1	0.5426	44.19	7	5	2	2.0566
97.7648	0.1849	97.9496	35	word	irregular	high	huit	1	0.4908	116.03	4	3	1	3.7358
100.1444	0.1853	100.3298	36	word	irregular	high	clef	1	0.601	24.13	4	3	1	4.9623
102.5242	0.1848	102.7091	37	word	irregular	low	machisme	1	0.6193	0.13	8	7	2	2.3208
105.1837	0.2022	105.3859	38	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	39	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
110.5241	0.1848	110.7089	40	word	irregular	low	gin	0	n/a	3.13	3	4	1	3.7925
112.8837	0.1855	113.0692	41	word	irregular	high	fusil	1	0.5518	22.39	5	4	2	4.9434
115.2624	0.1847	115.4471	42	word	regular	low	oxyde	1	0.565	4.61	5	5	2	2.1321
117.9231	0.1848	118.1079	43	word	irregular	low	papaye	1	0.6324	0.06	6	5	2	4.3208
120.3022	0.1846	120.4869	44	word	regular	high	forêt	1	0.6471	72.39	5	4	2	4.8679
122.6833	0.1847	122.868	45	word	irregular	low	dot	0	n/a	3.1	3	3	1	2.1509
125.043	0.1851	125.228	46	word	regular	low	blaguer	1	0.5658	0.39	7	5	2	2.5849
127.7227	0.1849	127.9076	47	word	regular	low	ordure	1	0.5316	5.39	6	5	2	4.2075
130.0835	0.1849	130.2684	48	word	irregular	high	gentil	1	0.5614	22.65	6	4	2	2.434
132.7618	0.2015	132.9633	49	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.121	0.2015	135.3225	50	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	51	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
