onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.33994795294711	5	12.3399479529471	1	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5753	0.2015	17.7767	1	reading aloud	1	word	incongruent	mouton	mo u to n	1	0.6997	30.47	6	4	1.5	2
20.0136	0.2016	20.2152	1	reading aloud	2	word	incongruent	fourchette	fo ur c he tte	1	0.7378	14.19	10	6	1.667	2
22.3719	0.2025	22.5745	1	reading aloud	3	word	incongruent	oiseau	o is ea u	1	0.5873	113.04	6	4	1.5	2
24.7514	0.2015	24.9529	1	reading aloud	4	pseudoword	congruent	mengement	m en ge m ent	1	0.6213	n/a	9	6	1.5	3
27.5116	0.2015	27.7131	1	reading aloud	5	word	congruent	baignoire	b ai gn oi re	1	0.6189	15.27	9	6	1.5	2
32.4992	0.2021	32.7013	1	reading aloud	6	word	congruent	impatient	im p a t i ent	1	0.6341	16.76	9	6	1.5	3
35.2301	0.2015	35.4316	1	reading aloud	7	word	incongruent	jambe	ja mb e	1	0.5673	220.95	5	3	1.667	1
37.8907	0.2022	38.0929	1	reading aloud	8	pseudoword	congruent	fangueuse	f an gu eu se	0	n/a	n/a	9	5	1.8	2
40.2693	0.2024	40.4717	1	reading aloud	9	pseudoword	congruent	gachain	g a ch ain	1	0.6523	n/a	7	4	1.75	2
42.6323	0.2017	42.834	1	reading aloud	10	word	congruent	maîtresse	m aî t r esse	1	0.587	53.92	9	6	1.5	2
45.0099	0.2015	45.2114	1	reading aloud	11	word	congruent	nouveau	n ou v eau	1	0.5704	292.43	7	4	1.75	2
47.371	0.2015	47.5724	1	reading aloud	12	pseudoword	incongruent	confrainte	co n f rai n te	1	0.7163	n/a	10	6	1.667	2
49.7493	0.2024	49.9517	1	reading aloud	13	word	incongruent	fraîche	f ra îc he	1	0.6013	111.69	7	4	1.75	1
54.7132	0.2017	54.9149	1	reading aloud	14	word	congruent	angoisse	an g oi sse	1	0.6065	68.99	8	5	1.6	2
59.3709	0.2014	59.5723	1	reading aloud	15	pseudoword	incongruent	pangné	pa ng né	1	0.7753	n/a	6	4	1.5	2
61.8097	0.2013	62.011	1	reading aloud	16	pseudoword	congruent	entrouille	en t r ou ille	1	0.665	n/a	10	5	2	2
66.5739	0.2016	66.7755	1	reading aloud	17	word	incongruent	soupirant	so u p ir a nt	1	0.6551	2.23	9	6	1.5	3
68.9312	0.2016	69.1328	1	reading aloud	18	pseudoword	congruent	naissirron	n ai ss i rr on	1	0.6484	n/a	10	6	1.667	3
71.2903	0.2018	71.4921	1	reading aloud	19	pseudoword	incongruent	saimeau	sa i me au	1	0.6594	n/a	7	4	1.75	2
73.6702	0.2015	73.8717	1	reading aloud	20	word	congruent	bouée	b ou ée	1	0.6278	5.47	5	3	1.667	1
76.1298	0.2017	76.3315	1	reading aloud	21	pseudoword	incongruent	phadeuge	p ha de u ge	1	0.9	n/a	8	5	1.6	2
81.1134	0.2018	81.3152	1	reading aloud	22	word	incongruent	guinguette	g ui ng ue tte	1	0.6691	3.04	10	5	2	2
