onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.239520919822098	5	5.2395209198221	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5591	0.2014	10.7604	5	reading aloud	1	word	congruent	dessein	d e ss ein	1	0.6578	14.86	7	4	1.75	2
15.2979	0.2014	15.4993	5	reading aloud	2	pseudoword	incongruent	intratait	i nt ra ta i t	1	0.7239	n/a	9	6	1.5	3
17.7327	0.2016	17.9342	5	reading aloud	3	pseudoword	incongruent	souson	so u so n	0	n/a	n/a	6	4	1.5	2
20.3888	0.2014	20.5902	5	reading aloud	4	pseudoword	incongruent	aitance	a ita nc e	1	0.95	n/a	7	4	1.75	2
22.7687	0.2015	22.9703	5	reading aloud	5	pseudoword	incongruent	tanchant	ta nc ha nt	1	0.9449	n/a	8	4	2	2
27.7554	0.2017	27.9571	5	reading aloud	6	word	congruent	abaissant	a b ai ss ant	1	0.6569	0.27	9	5	1.8	3
32.7757	0.202	32.9777	5	reading aloud	7	pseudoword	congruent	foncousie	f on c ou s ie	0	n/a	n/a	9	6	1.5	3
35.51	0.2015	35.7115	5	reading aloud	8	pseudoword	incongruent	nonte	no n te	1	0.8209	n/a	5	3	1.667	1
40.4962	0.2015	40.6976	5	reading aloud	9	word	incongruent	humeur	h um e ur	1	0.6123	58.04	6	4	1.5	2
42.9291	0.2016	43.1307	5	reading aloud	10	pseudoword	congruent	arreau	a rr eau	1	0.6607	n/a	6	3	2	2
45.5889	0.2018	45.7906	5	reading aloud	11	pseudoword	congruent	vrein	v r ein	1	0.6463	n/a	5	3	1.667	1
50.273	0.202	50.475	5	reading aloud	12	word	congruent	bronche	b r on che	1	0.5536	2.23	7	4	1.75	1
57.6174	0.2023	57.8197	5	reading aloud	13	word	incongruent	hargneuse	h ar g ne use	1	0.8785	9.46	9	5	1.8	2
60.0298	0.2015	60.2313	5	reading aloud	14	pseudoword	incongruent	ceinritin	c ei nr i ti n	0	n/a	n/a	9	6	1.5	3
62.6871	0.2014	62.8885	5	reading aloud	15	pseudoword	incongruent	sougne	so ug ne	1	0.6973	n/a	6	3	2	1
67.373	0.2013	67.5742	5	reading aloud	16	pseudoword	incongruent	indantant	i nda n ta nt	1	1.2928	n/a	9	5	1.8	3
69.8081	0.2013	70.0094	5	reading aloud	17	pseudoword	incongruent	enchose	e nc ho se	1	0.8555	n/a	7	4	1.75	2
72.188	0.2013	72.3893	5	reading aloud	18	word	incongruent	enseignant	e nse ig na nt	1	0.7026	1.69	10	5	2	3
74.55	0.2018	74.7518	5	reading aloud	19	pseudoword	congruent	enquandée	en qu an d ée	0	n/a	n/a	9	5	1.8	3
79.236	0.2016	79.4376	5	reading aloud	20	word	congruent	nourrisson	n ou rr i ss on	1	0.6195	4.53	10	6	1.667	3
