onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5872	0.1848	12.772	1	word	irregular	low	cassis	1	0.6451	3.39	6	4	2	4.5283
14.9689	0.185	15.1538	2	word	irregular	low	clerc	1	0.6737	4.52	5	4	1	3.2264
17.3267	0.1849	17.5115	3	word	regular	low	cursif	1	0.5096	0.23	6	6	2	1.6981
n/a	n/a	n/a	4	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.4681	0.1849	22.653	5	word	irregular	high	outil	1	0.6276	11.94	5	3	2	4.0755
n/a	n/a	n/a	6	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	7	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	8	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.9684	0.1849	32.1533	9	word	irregular	low	imper	1	0.646	1.19	5	4	2	4.1887
34.3287	0.185	34.5137	10	word	irregular	low	agenda	1	0.606	3.06	6	5	3	4.566
36.7063	0.1849	36.8912	11	word	irregular	low	jazz	1	0.6407	5.29	4	4	1	3.4151
39.3664	0.1848	39.5512	12	word	irregular	high	enfer	1	0.5447	25.42	5	4	2	3.6792
41.7463	0.1848	41.9311	13	word	irregular	high	bourg	1	0.5625	10.23	5	3	1	3.5849
44.4063	0.2016	44.6079	14	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	15	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	16	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
51.8273	0.1847	52.012	17	word	irregular	low	cacahuète	1	0.6357	0.39	9	7	3	4.8679
54.1841	0.1846	54.3687	18	word	regular	high	marin	1	0.5967	22.03	5	4	2	4.6226
56.5648	0.1847	56.7495	19	word	regular	low	magma	1	0.5919	2.9	5	5	2	4.3774
59.2239	0.2022	59.4261	20	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.9044	0.1847	62.0891	21	word	irregular	low	azimut	1	0.6318	0.48	6	6	3	1.6415
64.2666	0.1849	64.4515	22	word	regular	low	belette	1	0.5133	0.35	7	5	2	4.5094
n/a	n/a	n/a	23	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.026	0.1848	69.2108	24	word	regular	low	aval	1	0.5452	4.03	4	4	2	2.3585
71.6859	0.1849	71.8708	25	word	irregular	high	million	1	0.634	11.58	7	5	2	2.5283
74.3461	0.185	74.5311	26	word	regular	high	papillon	1	0.5519	13.03	8	6	3	4.9434
76.7247	0.2015	76.9262	27	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.1043	0.1859	79.2902	28	word	irregular	low	linguiste	1	0.5549	1.42	9	7	2	2.2453
81.463	0.2015	81.6645	29	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
83.8448	0.1854	84.0301	30	word	regular	high	force	1	0.5444	205.97	5	4	1	2.717
86.5046	0.1855	86.6902	31	word	irregular	high	granit	1	0.6852	5.97	6	6	2	4.0377
89.1858	0.1851	89.3709	32	word	regular	low	carnage	1	0.6239	2.16	7	6	2	3.4717
91.5442	0.1854	91.7296	33	word	regular	low	faucon	1	0.6531	1.58	6	4	2	4.8113
94.2229	0.2015	94.4244	34	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
96.585	0.1849	96.7699	35	word	regular	high	masse	1	0.4986	91.52	5	4	1	3.0377
n/a	n/a	n/a	36	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
101.6239	0.2015	101.8254	37	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.0036	0.1847	104.1883	38	word	regular	high	faim	1	0.63	46.71	4	2	1	2.5283
106.6631	0.1848	106.8479	39	word	irregular	low	accroc	1	0.5537	1.52	6	4	2	2.717
109.0435	0.1851	109.2286	40	word	regular	high	nul	1	0.6122	55.1	3	3	1	2.2642
111.7013	0.2013	111.9026	41	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
114.0847	0.1852	114.2699	42	word	regular	high	jaloux	1	0.5743	12.42	6	4	2	2.4151
116.7431	0.2015	116.9446	43	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
119.504	0.1848	119.6888	44	word	irregular	high	poêle	1	0.6497	9.68	5	4	1	4.9057
122.1814	0.2015	122.3829	45	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
124.543	0.1848	124.7278	46	word	irregular	low	dot	1	0.6572	3.1	3	3	1	2.1509
126.9207	0.2017	127.1225	47	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	48	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
