onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5507	0.2013	12.752	1	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	2	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.0474	0.1846	18.232	3	word	regular	low	belette	0	n/a	0.35	7	5	2	4.5094
20.7871	0.1852	20.9723	4	word	irregular	high	tabac	1	0.6119	25.45	5	4	2	4.3774
23.1659	0.1846	23.3505	5	word	irregular	high	virus	1	0.5768	28.61	5	5	2	3.7547
25.5278	0.1848	25.7126	6	word	irregular	low	linguiste	1	0.6721	1.42	9	7	2	2.2453
27.9076	0.1853	28.0929	7	word	regular	high	marin	1	0.6367	22.03	5	4	2	4.6226
30.2857	0.2016	30.4873	8	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.6493	0.1848	32.8341	9	word	irregular	high	estomac	1	0.6255	22.97	7	6	3	4.3019
35.0283	0.1859	35.2142	10	word	regular	low	astronome	1	0.6156	2.42	9	8	3	4.0189
n/a	n/a	n/a	11	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.3673	0.1848	40.5522	12	word	irregular	high	femme	1	0.5815	400.52	5	3	1	4.8302
42.7265	0.1849	42.9114	13	word	irregular	low	opus	1	0.6029	2.19	4	4	2	1.5849
n/a	n/a	n/a	14	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.7668	0.1848	47.9516	15	word	irregular	high	équateur	1	0.6537	5.84	8	7	3	3.8679
50.1469	0.1848	50.3317	16	word	regular	low	duo	1	0.5781	2.06	3	3	1	3.4528
52.8056	0.1853	52.9909	17	word	irregular	low	faisan	0	n/a	1	6	4	2	4.5472
n/a	n/a	n/a	18	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	19	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.9277	0.1848	60.1125	20	word	regular	low	blaguer	1	0.9293	0.39	7	5	2	2.5849
62.3649	0.2015	62.5664	21	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	22	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.7252	0.185	67.9102	23	word	irregular	low	laser	1	0.6736	0.77	5	5	2	4.3585
70.1052	0.1847	70.29	24	word	regular	high	aveu	1	0.6377	10.52	4	3	2	1.6226
72.4631	0.2016	72.6647	25	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
75.1467	0.1851	75.3318	26	word	irregular	low	accroc	1	0.7571	1.52	6	4	2	2.717
n/a	n/a	n/a	27	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
80.1861	0.1854	80.3715	28	word	irregular	low	biceps	1	0.673	1.9	6	6	2	4.4528
82.5443	0.1848	82.7291	29	word	regular	high	hors	1	0.7112	88.74	4	2	1	1.8113
n/a	n/a	n/a	30	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.5856	0.185	87.7706	31	word	regular	high	adresse	1	0.7187	44	7	5	2	3.1509
90.2651	0.1848	90.45	32	word	regular	low	ordure	1	0.6512	5.39	6	5	2	4.2075
92.6264	0.1849	92.8113	33	word	regular	high	boisson	1	0.7023	7.06	7	5	2	4.4151
95.3057	0.1855	95.4913	34	word	regular	high	bleu	1	0.5982	99.03	4	3	1	4.6226
97.9644	0.1848	98.1493	35	word	irregular	low	damner	1	1.1005	0.42	6	4	2	1.7736
100.3451	0.1849	100.53	36	word	regular	high	forêt	1	0.6145	72.39	5	4	2	4.8679
103.0051	0.1855	103.1906	37	word	irregular	high	hiver	1	0.6149	70.39	5	4	2	4.3208
