onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.2528477241367	5	5.2528477241367	5	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5475	0.2019	10.7494	5	reading aloud	1	word	congruent	laineux	l ai n eux	1	1.2661	1.89	7	4	1.75	2
13.2923	0.2013	13.4936	5	reading aloud	2	pseudoword	incongruent	veillouse	v ei l lo use	1	1.8319	n/a	9	5	1.8	2
15.9501	0.2022	16.1523	5	reading aloud	3	word	congruent	bleuet	b l eu et	1	0.9275	1.22	6	4	1.5	2
18.3301	0.2015	18.5315	5	reading aloud	4	word	congruent	fauteuil	f au t euil	1	0.7202	102.03	8	5	1.6	2
23.2968	0.2014	23.4982	5	reading aloud	5	word	incongruent	moussant	mo us sa nt	1	1.2331	0.61	8	4	2	2
26.0307	0.2017	26.2324	5	reading aloud	6	pseudoword	congruent	mougnette	m ou gn ette	1	0.8629	n/a	9	5	1.8	2
28.4105	0.2015	28.612	5	reading aloud	7	word	incongruent	échelle	éc he lle	1	0.7391	31.76	7	4	1.75	2
35.3773	0.2015	35.5788	5	reading aloud	8	pseudoword	congruent	quau	qu au	1	0.7484	n/a	4	2	2	1
40.0967	0.2019	40.2986	5	reading aloud	9	pseudoword	incongruent	treussant	tre us sa n t	1	0.9547	n/a	9	5	1.8	2
42.4308	0.2028	42.6336	5	reading aloud	10	word	congruent	champagne	ch am p a gne	1	0.6386	29.86	9	5	1.8	2
47.4154	0.2022	47.6176	5	reading aloud	11	pseudoword	congruent	ennionde	en n i on de	0	n/a	n/a	8	5	1.6	2
50.1528	0.2016	50.3544	5	reading aloud	12	word	congruent	impatient	im p a t i ent	1	0.6554	16.76	9	6	1.5	3
52.5113	0.2015	52.7128	5	reading aloud	13	pseudoword	congruent	seuillête	s eu ill ê te	1	0.6871	n/a	9	5	1.8	2
54.8914	0.2015	55.0929	5	reading aloud	14	pseudoword	incongruent	bitoumeau	b it o um ea u	1	1.0096	n/a	9	6	1.5	3
57.5499	0.202	57.7519	5	reading aloud	15	pseudoword	incongruent	banquin	ba nq ui n	1	0.7727	n/a	7	4	1.75	2
62.5357	0.2016	62.7372	5	reading aloud	16	word	congruent	allégeance	a ll é ge an ce	1	0.8391	1.42	10	6	1.667	3
