onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.248766103937669	5	5.24876610393767	5	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.161	0.2013	13.3623	5	lexical decision	1	pseudoword	incongruent	caillon	c ai llo n	1	0.9157	n/a	7	4	1.75	2
15.5533	0.2013	15.7546	5	lexical decision	2	pseudoword	incongruent	soichante	so ic ha n te	1	0.8095	n/a	9	6	1.5	2
17.9351	0.2013	18.1364	5	lexical decision	3	word	congruent	touchant	t ou ch ant	1	0.5745	9.73	8	4	2	2
20.2661	0.2017	20.4679	5	lexical decision	4	word	incongruent	enchanteur	e nc ha nte ur	1	0.5985	2.64	10	6	1.667	3
22.6697	0.2015	22.8712	5	lexical decision	5	pseudoword	congruent	alaissée	a l ai ss ée	1	0.6509	n/a	8	5	1.6	3
27.6772	0.2021	27.8793	5	lexical decision	6	word	congruent	chapeau	ch a p eau	1	0.5473	88.04	7	4	1.75	2
30.3909	0.2016	30.5925	5	lexical decision	7	word	congruent	fauteuil	f au t euil	1	0.4916	102.03	8	5	1.6	2
32.7512	0.202	32.9532	5	lexical decision	8	pseudoword	congruent	serchouffe	s e r ch ou ffe	1	0.5583	n/a	10	6	1.667	2
37.7335	0.2015	37.935	5	lexical decision	9	pseudoword	incongruent	pausson	pa us so n	1	0.6579	n/a	7	4	1.75	2
40.0537	0.2016	40.2553	5	lexical decision	10	word	incongruent	souffle	so u ff le	1	0.4896	100.2	7	4	1.75	1
44.7356	0.2018	44.9374	5	lexical decision	11	word	incongruent	enseignant	e nse ig na nt	1	0.5466	1.69	10	5	2	3
47.069	0.2015	47.2705	5	lexical decision	12	word	incongruent	offensant	o ffe ns a nt	1	0.6143	1.01	9	5	1.8	3
52.0548	0.2017	52.2565	5	lexical decision	13	word	incongruent	couchette	co uc het te	1	0.7433	6.28	9	5	1.8	2
54.3891	0.2015	54.5906	5	lexical decision	14	pseudoword	congruent	condant	c on d ant	1	0.7581	n/a	7	4	1.75	2
59.3737	0.2015	59.5752	5	lexical decision	15	word	incongruent	confondant	co n fo n da nt	1	0.5684	0.95	10	6	1.667	3
62.0108	0.2017	62.2126	5	lexical decision	16	pseudoword	incongruent	souperrant	so u p err a nt	1	0.6861	n/a	10	6	1.667	3
64.369	0.2013	64.5703	5	lexical decision	17	pseudoword	congruent	feurchille	f eu r ch ille	1	0.669	n/a	10	6	1.667	2
69.0519	0.2013	69.2532	5	lexical decision	18	pseudoword	incongruent	pouchant	po uc ha nt	1	0.753	n/a	8	4	2	2
73.6933	0.2016	73.8948	5	lexical decision	19	pseudoword	congruent	moeutien	m oeu t i en	1	0.7385	n/a	8	5	1.6	2
76.0273	0.2016	76.2289	5	lexical decision	20	word	congruent	douillet	d ou ill et	1	0.6155	6.96	8	4	2	2
78.4081	0.2023	78.6104	5	lexical decision	21	pseudoword	congruent	tanleau	t an l eau	1	0.7856	n/a	7	4	1.75	2
81.0697	0.2019	81.2716	5	lexical decision	22	word	congruent	rancoeur	r an c oeu r	1	0.571	6.15	8	5	1.6	2
83.7474	0.2015	83.9489	5	lexical decision	23	word	congruent	bandeau	b an d eau	1	0.6963	6.49	7	4	1.75	2
86.4091	0.2017	86.6108	5	lexical decision	24	pseudoword	incongruent	naidant	na id an t	1	0.6086	n/a	7	4	1.75	2
88.7893	0.2024	88.9917	5	lexical decision	25	word	incongruent	maillon	m ai llo n	1	0.5883	3.18	7	4	1.75	2
93.45	0.2015	93.6516	5	lexical decision	26	word	congruent	essaim	e ss aim	1	0.6355	4.53	6	3	2	2
95.7982	0.2016	95.9998	5	lexical decision	27	pseudoword	congruent	innalence	i nn a l en ce	1	0.6853	n/a	9	6	1.5	3
100.7715	0.2022	100.9736	5	lexical decision	28	pseudoword	incongruent	roupentre	ro u pe n t re	1	0.6549	n/a	9	6	1.5	2
105.4114	0.2018	105.6132	5	lexical decision	29	word	congruent	embrun	em b r un	1	0.6109	2.97	6	4	1.5	2
108.05	0.2017	108.2517	5	lexical decision	30	word	incongruent	soucoupe	so u co up e	1	0.6104	8.85	8	5	1.6	2
110.4261	0.2016	110.6277	5	lexical decision	31	pseudoword	congruent	éphouce	é ph ou ce	1	0.6141	n/a	7	4	1.75	2
112.7888	0.2013	112.9901	5	lexical decision	32	pseudoword	congruent	incantrant	in c an t r ant	1	0.8146	n/a	10	6	1.667	3
115.4665	0.2018	115.6683	5	lexical decision	33	word	congruent	outrance	ou t r an ce	1	0.5966	3.51	8	5	1.6	2
117.8242	0.2014	118.0255	5	lexical decision	34	word	congruent	néant	n é ant	1	0.646	23.99	5	3	1.667	2
120.5054	0.2019	120.7073	5	lexical decision	35	word	incongruent	toucher	to uc he r	1	0.5417	10.14	7	4	1.75	2
122.8668	0.2014	123.0682	5	lexical decision	36	word	incongruent	pamphlet	pa mp h l et	1	0.6903	1.42	8	5	1.6	2
125.2462	0.2015	125.4477	5	lexical decision	37	word	incongruent	frein	f rei n	1	0.6079	13.18	5	3	1.667	1
127.9051	0.2022	128.1073	5	lexical decision	38	word	congruent	douche	d ou che	1	0.5709	23.85	6	3	2	1
130.588	0.2017	130.7897	5	lexical decision	39	word	incongruent	guinguette	g ui ng ue tte	1	0.656	3.04	10	5	2	2
132.9492	0.2015	133.1507	5	lexical decision	40	word	congruent	innocence	i nn o c en ce	1	0.5268	20	9	6	1.5	3
135.3279	0.2016	135.5295	5	lexical decision	41	word	congruent	cinglant	c in g l ant	1	0.49	2.77	8	5	1.6	2
137.7374	0.2017	137.9391	5	lexical decision	42	word	incongruent	bambou	ba m bo u	1	0.5015	6.15	6	4	1.5	2
140.0672	0.2023	140.2695	5	lexical decision	43	pseudoword	congruent	ennoûlant	en n oû l ant	1	0.6957	n/a	9	5	1.8	3
147.6547	0.2018	147.8566	5	lexical decision	44	word	congruent	bouleau	b ou l eau	1	0.661	4.05	7	4	1.75	2
150.047	0.2015	150.2485	5	lexical decision	45	word	incongruent	bourreau	bo u rr ea u	1	0.6177	12.91	8	4	2	2
152.4252	0.2016	152.6268	5	lexical decision	46	word	incongruent	bleuet	b le ue t	1	1.1204	1.22	6	4	1.5	2
154.7858	0.2017	154.9875	5	lexical decision	47	pseudoword	incongruent	ransaise	ra ns a is e	1	0.6778	n/a	8	5	1.6	2
157.4671	0.202	157.6691	5	lexical decision	48	word	congruent	mensonge	m en s on ge	1	0.5554	35.41	8	5	1.6	2
160.127	0.2015	160.3285	5	lexical decision	49	pseudoword	congruent	heudaise	heu d ai se	1	0.6516	n/a	8	4	2	2
162.5055	0.2017	162.7072	5	lexical decision	50	word	congruent	plongeuse	p l on g eu se	1	0.5189	3.11	9	6	1.5	2
167.468	0.2013	167.6693	5	lexical decision	51	word	incongruent	éreintant	é rei n ta nt	1	0.6724	0.14	9	5	1.8	3
170.1049	0.2013	170.3062	5	lexical decision	52	word	incongruent	chaudron	c ha ud ro n	1	0.5335	5.81	8	5	1.6	2
172.484	0.2013	172.6853	5	lexical decision	53	pseudoword	incongruent	bombin	bo m bi n	1	0.6663	n/a	6	4	1.5	2
177.4972	0.2024	177.6996	5	lexical decision	54	pseudoword	incongruent	entouillé	e n to ui llé	1	0.718	n/a	9	5	1.8	3
179.8751	0.2015	180.0767	5	lexical decision	55	word	congruent	gloussant	g l ou ss ant	1	0.6842	0.54	9	5	1.8	2
182.2653	0.2017	182.467	5	lexical decision	56	word	congruent	surchauffe	s u r ch au ffe	1	0.672	0.27	10	6	1.667	2
184.8784	0.2019	185.0803	5	lexical decision	57	word	incongruent	pince	pi nc e	1	0.5158	14.73	5	3	1.667	1
187.204	0.2016	187.4056	5	lexical decision	58	pseudoword	congruent	pambant	p am b ant	1	0.6771	n/a	7	4	1.75	2
189.8988	0.2019	190.1008	5	lexical decision	59	pseudoword	incongruent	quophon	q uop ho n	1	0.6583	n/a	7	4	1.75	2
192.2453	0.2019	192.4472	5	lexical decision	60	pseudoword	incongruent	vencouge	ve n co u ge	1	0.6638	n/a	8	5	1.6	2
194.6402	0.2016	194.8417	5	lexical decision	61	pseudoword	incongruent	offouzant	o ffo uz a nt	1	0.7528	n/a	9	5	1.8	3
197.2816	0.2016	197.4832	5	lexical decision	62	pseudoword	congruent	lambe	l am be	1	0.9923	n/a	5	3	1.667	1
199.6676	0.2015	199.8691	5	lexical decision	63	word	congruent	dépeint	d é p eint	1	0.6623	0.41	7	4	1.75	2
