onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.33421647135583	5	12.3342164713558	1	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5597	0.2014	17.7611	1	lexical decision	1	pseudoword	incongruent	ouplant	o up la nt	1	0.7839	n/a	7	4	1.75	2
19.98	0.2014	20.1814	1	lexical decision	2	pseudoword	congruent	enteuvant	en t eu v ant	1	0.8056	n/a	9	5	1.8	3
22.3749	0.2017	22.5767	1	lexical decision	3	pseudoword	incongruent	fairnouse	fa ir n o us e	1	0.7027	n/a	9	6	1.5	2
24.7594	0.2028	24.9623	1	lexical decision	4	word	incongruent	baignoire	ba ig no ir e	1	0.593	15.27	9	6	1.5	2
27.1134	0.2015	27.3149	1	lexical decision	5	word	congruent	composant	c om p o s ant	1	0.7501	1.49	9	6	1.5	3
29.4889	0.2021	29.691	1	lexical decision	6	word	congruent	aire	ai re	1	0.8305	5.14	4	2	2	1
31.8365	0.2015	32.038	1	lexical decision	7	word	incongruent	meilleure	me i lle ur e	1	0.6568	86.82	9	5	1.8	2
34.5324	0.2016	34.734	1	lexical decision	8	word	congruent	amphore	am ph o re	1	0.693	1.35	7	4	1.75	2
37.1903	0.2015	37.3918	1	lexical decision	9	word	congruent	moussante	m ou ss an te	0	0.806	0.61	9	5	1.8	2
39.5713	0.2016	39.7729	1	lexical decision	10	pseudoword	incongruent	endombrain	e ndo m b ra in	1	0.8518	n/a	10	6	1.667	3
41.921	0.2016	42.1226	1	lexical decision	11	word	incongruent	cinglant	ci ng la nt	1	0.6591	2.77	8	5	1.6	2
44.3107	0.2014	44.5122	1	lexical decision	12	word	congruent	échange	é ch an ge	1	0.6154	32.43	7	4	1.75	2
46.9901	0.2017	47.1918	1	lexical decision	13	word	congruent	vaisselle	v ai ss elle	1	0.662	25.95	9	5	1.8	2
49.3517	0.2016	49.5533	1	lexical decision	14	word	incongruent	tronche	t ro nc he	1	0.6314	25.68	7	4	1.75	1
56.9416	0.2015	57.1431	1	lexical decision	15	pseudoword	congruent	antoiffant	an t oi ff ant	1	0.7443	n/a	10	6	1.667	3
59.3287	0.2013	59.53	1	lexical decision	16	pseudoword	congruent	banchon	b an ch on	1	0.8243	n/a	7	4	1.75	2
62.0098	0.2013	62.2111	1	lexical decision	17	pseudoword	congruent	roupentre	r ou p en t re	1	0.666	n/a	9	6	1.5	2
64.6697	0.2014	64.8711	1	lexical decision	18	pseudoword	incongruent	chochoute	c ho c ho u te	1	0.8552	n/a	9	5	1.8	2
69.3093	0.2018	69.5111	1	lexical decision	19	word	incongruent	louveteau	lo uv et ea u	1	0.9705	2.36	9	6	1.5	3
74.2942	0.202	74.4963	1	lexical decision	20	word	congruent	soignante	s oi gn an te	1	0.9274	0.27	9	6	1.5	2
76.628	0.2015	76.8295	1	lexical decision	21	word	congruent	nymphe	n ym phe	1	0.6935	5.81	6	3	2	1
79.2884	0.2029	79.4913	1	lexical decision	22	pseudoword	incongruent	floupeau	f lo up ea u	1	0.7461	n/a	8	5	1.6	2
81.9685	0.2016	82.1701	1	lexical decision	23	word	congruent	bouleau	b ou l eau	1	0.8038	4.05	7	4	1.75	2
84.3283	0.2015	84.5298	1	lexical decision	24	pseudoword	incongruent	houtouse	ho uto us e	1	0.8062	n/a	8	4	2	2
87.0078	0.2021	87.2099	1	lexical decision	25	pseudoword	congruent	feutteau	f eu tt eau	1	0.8145	n/a	8	4	2	2
89.6686	0.2015	89.8701	1	lexical decision	26	pseudoword	congruent	campisant	c am p i s ant	1	0.8519	n/a	9	6	1.5	3
92.0495	0.202	92.2515	1	lexical decision	27	word	incongruent	haussement	ha u sse me nt	1	1.1768	5.68	10	5	2	3
97.0147	0.2018	97.2165	1	lexical decision	28	word	congruent	mensonge	m en s on ge	1	0.6234	35.41	8	5	1.6	2
99.6501	0.2016	99.8517	1	lexical decision	29	word	incongruent	pamphlet	pa mp h l et	1	0.7892	1.42	8	5	1.6	2
104.3344	0.2025	104.537	1	lexical decision	30	pseudoword	incongruent	fourmand	fo ur m a nd	1	0.6687	n/a	8	5	1.6	2
106.9672	0.2029	107.1701	1	lexical decision	31	word	incongruent	fourneau	fo ur n ea u	1	0.6928	15.34	8	5	1.6	2
109.6263	0.2015	109.8278	1	lexical decision	32	word	incongruent	teigne	te ig ne	1	0.7167	1.15	6	3	2	1
