onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.245838904115772	5	5.24583890411577	3	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5471	0.2016	10.7487	3	reading aloud	1	pseudoword	incongruent	canchin	ca nc hi n	1	0.9915	n/a	7	4	1.75	2
15.3031	0.2014	15.5045	3	reading aloud	2	word	congruent	anglaise	an g l ai se	1	0.7786	79.53	8	5	1.6	2
17.731	0.2013	17.9322	3	reading aloud	3	word	incongruent	imparfait	i mp a rf a it	1	0.74	3.11	9	6	1.5	3
23.0939	0.2023	23.2963	3	reading aloud	4	word	congruent	endeuillée	en d eu ill ée	1	0.9725	1.35	10	5	2	3
25.831	0.2019	26.0329	3	reading aloud	5	word	incongruent	mousson	mo us so n	1	0.7312	17.36	7	4	1.75	2
28.5111	0.2015	28.7126	3	reading aloud	6	word	incongruent	auteur	a ut e ur	1	0.7007	41.89	6	4	1.5	2
30.8705	0.2015	31.0721	3	reading aloud	7	word	congruent	moussante	m ou ss an te	1	0.8341	0.61	9	5	1.8	2
33.2504	0.2015	33.4519	3	reading aloud	8	word	congruent	saignant	s ai gn ant	1	0.7508	4.32	8	4	2	2
35.9098	0.2018	36.1116	3	reading aloud	9	pseudoword	incongruent	enreinte	e nre i nte	1	0.9928	n/a	8	4	2	2
40.892	0.2025	41.0945	3	reading aloud	10	pseudoword	incongruent	poute	po ut e	1	0.8841	n/a	5	3	1.667	1
43.3302	0.2019	43.5321	3	reading aloud	11	pseudoword	incongruent	enssête	e ns sêt e	1	0.8873	n/a	7	4	1.75	2
45.6928	0.2014	45.8942	3	reading aloud	12	pseudoword	incongruent	saillaîte	s ai lla ît e	1	0.934	n/a	9	5	1.8	2
48.3713	0.2015	48.5728	3	reading aloud	13	pseudoword	congruent	lointeau	l oin t eau	1	1.0445	n/a	8	5	1.6	2
55.939	0.2019	56.1409	3	reading aloud	14	pseudoword	congruent	moeutien	m oeu t i en	1	0.9242	n/a	8	5	1.6	2
60.9543	0.2014	61.1557	3	reading aloud	15	pseudoword	congruent	psougeuse	p s ou g eu se	0	n/a	n/a	9	6	1.5	2
63.3897	0.2023	63.5919	3	reading aloud	16	pseudoword	congruent	fanrrouse	f an rr ou se	0	n/a	n/a	9	5	1.8	2
65.7489	0.2015	65.9503	3	reading aloud	17	pseudoword	incongruent	abanffant	a ba nf fa nt	0	n/a	n/a	9	5	1.8	3
68.4259	0.2014	68.6272	3	reading aloud	18	pseudoword	congruent	éphon	é ph on	1	0.7834	n/a	5	3	1.667	2
71.0865	0.2019	71.2885	3	reading aloud	19	word	congruent	chignon	ch i gn on	1	0.5433	12.77	7	4	1.75	2
73.77	0.2016	73.9716	3	reading aloud	20	word	incongruent	chercheuse	c he rc he u se	1	0.5257	3.78	10	6	1.667	2
78.7345	0.2022	78.9367	3	reading aloud	21	pseudoword	congruent	manviant	m an v i ant	1	0.8089	n/a	8	5	1.6	2
81.172	0.202	81.3739	3	reading aloud	22	word	congruent	mouvement	m ou v e m ent	1	0.9006	182.97	9	6	1.5	3
83.5521	0.2016	83.7536	3	reading aloud	23	pseudoword	congruent	fendéanre	f en d é an re	1	0.7631	n/a	9	6	1.5	3
85.9083	0.2015	86.1098	3	reading aloud	24	pseudoword	congruent	janguelle	j an gu elle	0	n/a	n/a	9	5	1.8	2
