onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
7.3238966366248	5	12.3238966366248	1	instructions reading aloud	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5773	0.2014	17.7787	1	reading aloud	1	pseudoword	congruent	détouille	d é t ou ille	1	0.9998	n/a	9	5	1.8	2
20.0172	0.2014	20.2186	1	reading aloud	2	pseudoword	congruent	vessouillé	v e ss ou ill é	1	0.738	n/a	10	6	1.667	3
22.3697	0.2014	22.5711	1	reading aloud	3	word	incongruent	abaissant	a ba is sa nt	1	0.8119	0.27	9	5	1.8	3
24.7536	0.2016	24.9552	1	reading aloud	4	pseudoword	congruent	lausseur	l au ss eur	1	0.8	n/a	8	5	1.6	2
27.2094	0.2015	27.4109	1	reading aloud	5	word	congruent	rousse	r ou sse	1	0.6627	40.41	6	3	2	1
29.8915	0.202	30.0935	1	reading aloud	6	word	incongruent	autruche	a ut r uc he	1	0.6725	3.04	8	5	1.6	2
32.2497	0.2015	32.4511	1	reading aloud	7	pseudoword	congruent	mouquon	m ou qu on	1	0.7449	n/a	7	4	1.75	2
34.6305	0.2015	34.832	1	reading aloud	8	word	incongruent	geindre	ge i nd re	1	0.8659	1.96	7	4	1.75	1
37.0101	0.202	37.2121	1	reading aloud	9	word	incongruent	plongeant	plo n g ea nt	1	1.0092	1.28	9	5	1.8	2
39.6689	0.2018	39.8707	1	reading aloud	10	word	congruent	tronche	t r on che	1	0.8063	25.68	7	4	1.75	1
42.0517	0.2017	42.2535	1	reading aloud	11	pseudoword	congruent	enquanseur	en qu an s eur	1	0.9068	n/a	10	6	1.667	3
44.7132	0.2015	44.9148	1	reading aloud	12	pseudoword	incongruent	ingutient	i ng u t ie nt	0	n/a	n/a	9	6	1.5	3
47.0919	0.2015	47.2934	1	reading aloud	13	word	incongruent	instance	i ns ta n ce	1	0.8976	4.59	8	5	1.6	2
49.4475	0.2015	49.649	1	reading aloud	14	pseudoword	congruent	loutte	l ou tte	1	0.7133	n/a	6	3	2	1
51.8323	0.2015	52.0338	1	reading aloud	15	pseudoword	congruent	choucetant	ch ou c e t ant	1	0.8958	n/a	10	6	1.667	3
