onset	duration	offset	trial	condition	regularity	frequency	word	correct	response_time	word_freq	nb_letters	nb_phonemes	nb_syllables	imageability
12.5635	0.1853	12.7488	1	word	irregular	high	août	1	0.4941	37.77	4	2	1	2.7358
15.3471	0.1847	15.5318	2	word	irregular	high	huit	1	0.5638	116.03	4	3	1	3.7358
17.7245	0.1849	17.9094	3	word	irregular	high	revolver	1	0.5489	14.9	8	8	3	4.8302
20.1064	0.1847	20.2911	4	word	irregular	low	quartz	1	0.6287	5.35	6	6	1	3.5094
22.767	0.2013	22.9683	5	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.1463	0.1852	25.3315	6	word	irregular	low	aquarelle	1	0.6106	3.35	9	7	3	4.3019
27.807	0.1851	27.9922	7	word	irregular	low	oasis	1	0.5187	4.32	5	5	3	4.6792
n/a	n/a	n/a	8	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.8473	0.1848	33.0321	9	word	regular	high	masse	1	0.5417	91.52	5	4	1	3.0377
35.2274	0.1863	35.4138	10	word	irregular	high	fusil	1	0.5072	22.39	5	4	2	4.9434
37.5875	0.185	37.7725	11	word	regular	high	muscle	1	0.5381	7.26	6	5	1	4.3962
n/a	n/a	n/a	12	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
42.3261	0.1849	42.511	13	word	regular	low	échiquier	1	0.6073	2.61	9	6	3	4.9057
44.7071	0.1849	44.892	14	word	irregular	low	damner	0	n/a	0.42	6	4	2	1.7736
47.085	0.2015	47.2865	15	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	16	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	17	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.187	0.1848	54.3718	18	word	regular	low	cursif	1	0.6625	0.23	6	6	2	1.6981
n/a	n/a	n/a	19	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58.9455	0.1849	59.1304	20	word	irregular	high	équateur	1	0.5527	5.84	8	7	3	3.8679
n/a	n/a	n/a	21	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.985	0.1848	64.1698	22	word	regular	high	encre	1	0.5468	18.19	5	3	1	4.5094
66.343	0.2014	66.5444	23	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.1034	0.1846	69.2881	24	word	irregular	high	granit	1	0.8238	5.97	6	6	2	4.0377
71.4842	0.1846	71.6688	25	word	regular	high	chic	1	0.523	9.13	4	3	1	3.283
n/a	n/a	n/a	26	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
76.2241	0.1852	76.4094	27	word	irregular	high	examen	1	0.5152	58.74	6	6	3	3.434
78.9052	0.185	79.0901	28	word	irregular	high	clef	1	0.5959	24.13	4	3	1	4.9623
81.5646	0.1854	81.75	29	word	regular	low	berline	1	0.5812	1.35	7	6	2	3.8868
83.9454	0.1849	84.1303	30	word	irregular	high	poêle	1	0.6059	9.68	5	4	1	4.9057
86.3055	0.1859	86.4914	31	word	regular	high	chevelure	1	0.6228	13.65	9	7	3	4.6226
88.9827	0.2018	89.1845	32	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.3422	0.2015	91.5436	33	checker	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
93.7245	0.1849	93.9093	34	word	irregular	low	papaye	0	n/a	0.06	6	5	2	4.3208
96.3847	0.1848	96.5696	35	word	regular	low	saule	1	1.0281	1.65	5	3	1	4.434
