onset	duration	offset	block	task	trial	lexicality	congruency	stimulus	stimulus_spaced	correct	response_time	word_freq	nb_letters	nb_phonemes	ratio	nb_syllables
0.250305019460939	5	5.25030501946094	5	instructions lexical decision	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.5462	0.2016	10.7478	5	lexical decision	1	pseudoword	congruent	heudaise	heu d ai se	1	0.8796	n/a	8	4	2	2
13.1978	0.2014	13.3993	5	lexical decision	2	pseudoword	incongruent	fouillomon	fo ui llo m o n	1	0.6579	n/a	10	6	1.667	3
15.5477	0.2022	15.7499	5	lexical decision	3	pseudoword	congruent	beinf	b ein f	1	0.6859	n/a	5	3	1.667	1
20.8343	0.2014	21.0356	5	lexical decision	4	pseudoword	incongruent	cauchette	ca uc het te	1	1.5074	n/a	9	5	1.8	2
25.846	0.2016	26.0476	5	lexical decision	5	pseudoword	congruent	beuillant	b eu ill ant	1	0.9317	n/a	9	4	2.25	2
28.1832	0.2015	28.3847	5	lexical decision	6	word	incongruent	pinceau	pi nc ea u	1	0.6083	17.91	7	4	1.75	2
30.5709	0.2015	30.7725	5	lexical decision	7	pseudoword	congruent	imbrante	im b r an te	1	0.8197	n/a	8	5	1.6	2
32.9494	0.2015	33.1509	5	lexical decision	8	word	congruent	goutte	g ou tte	1	0.6543	64.32	6	3	2	1
35.3422	0.2015	35.5437	5	lexical decision	9	pseudoword	incongruent	nuant	n ua nt	1	0.9233	n/a	5	3	1.667	2
37.6919	0.2015	37.8934	5	lexical decision	10	word	congruent	constante	c on s t an te	1	0.6286	16.82	9	6	1.5	2
42.3753	0.2021	42.5774	5	lexical decision	11	pseudoword	incongruent	entrouille	e nt ro ui lle	1	1.4201	n/a	10	5	2	2
44.7898	0.2015	44.9913	5	lexical decision	12	pseudoword	congruent	caitiment	c ai t i m ent	1	1.0095	n/a	9	6	1.5	3
47.1896	0.2017	47.3913	5	lexical decision	13	word	congruent	fantaisie	f an t ai s ie	1	0.7918	16.89	9	6	1.5	3
49.5492	0.2017	49.7509	5	lexical decision	14	word	congruent	boeuf	b oeu f	1	0.6481	21.01	5	3	1.667	1
